Unbelievable	unbeliev	Unbelievable
!	!	!

Women	women	Women
s	s	s
March	march	March
Activist	activist	Activist
went	went	went
off	off	off
on	on	on
a	a	a
crazy	crazi	crazy
rant	rant	rant
claiming	claim	claiming
that	that	that
somehow	somehow	somehow
President	presid	President
Trump	trump	Trump
s	s	s
tax	tax	tax
returns	return	return
are	are	are
linked	link	linked
to	to	to
missing	miss	missing
black	black	black
girls	girl	girl
in	in	in
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Transcript	transcript	Transcript
to	to	to
lock	lock	lock
arms	arm	arm
with	with	with
one	one	one
another	anoth	another
.	.	.

We	we	We
demand	demand	demand
that	that	that
we	we	we
see	see	see
Trump	trump	Trump
s	s	s
taxes	tax	tax
while	while	while
we	we	we
also	also	also
demand	demand	demand
that	that	that
all	all	all
of	of	of
our	our	our
rights	right	right
are	are	are
protected	protect	protected
.	.	.

We	we	We
demand	demand	demand
that	that	that
we	we	we
see	see	see
Trump	trump	Trump
s	s	s
taxes	tax	tax
while	while	while
we	we	we
also	also	also
demand	demand	demand
that	that	that
women	women	woman
s	s	s
rights	right	right
be	be	be
treated	treat	treated
as	as	a
human	human	human
rights	right	right
.	.	.

We	we	We
must	must	must
speak	speak	speak
with	with	with
one	one	one
voice	voic	voice
and	and	and
one	one	one
accord	accord	accord
and	and	and
we	we	we
must	must	must
draw	draw	draw
a	a	a
direct	direct	direct
line	line	line
between	between	between
Trump	trump	Trump
s	s	s
taxes	tax	tax
and	and	and
missing	miss	missing
girls	girl	girl
,	,	,
missing	miss	missing
black	black	black
girls	girl	girl
all	all	all
across	across	across
this	this	this
country	countri	country
.	.	.
We	we	We
must	must	must
say	say	say
that	that	that
while	while	while
we	we	we
resist	resist	resist
one	one	one
,	,	,
we	we	we
resist	resist	resist
all	all	all
or	or	or
else	els	else
our	our	our
fight	fight	fight
is	is	is
inauthentic	inauthent	inauthentic
.	.	.

We	we	We
must	must	must
say	say	say
Trump	trump	Trump
s	s	s
taxes	tax	tax
and	and	and
equal	equal	equal
education	educ	education
.	.	.

We	we	We
must	must	must
say	say	say
Trump	trump	Trump
s	s	s
taxes	tax	tax
no	no	no
more	more	more
police	polic	police
brutality	brutal	brutality
.	.	.

We	we	We
must	must	must
say	say	say
that	that	that
Trump	trump	Trump
s	s	s
taxes	tax	tax
is	is	is
where	where	where
we	we	we
start	start	start
today	today	today
but	but	but
we	we	we
will	will	will
not	not	not
end	end	end
there	there	there
.	.	.

That	that	That
all	all	all
our	our	our
rights	right	right
must	must	must
be	be	be
protected	protect	protected
and	and	and
who	who	who
the	the	the
hell	hell	hell
do	do	do
you	you	you
think	think	think
you	you	you
are	are	are
to	to	to
hide	hide	hide
anything	anyth	anything
and	and	and
treat	treat	treat
us	us	u
as	as	a
though	though	though
we	we	we
are	are	are
less	less	le
than	than	than
human	human	human
?	?	?
Via	via	Via
GP	gp	GP

