Bravo	bravo	Bravo
!	!	!
This	this	This
woman	woman	woman
is	is	is
example	exampl	example
of	of	of
true	true	true
courage	courag	courage
.	.	.
More	more	More
Americans	american	Americans
need	need	need
to	to	to
take	take	take
a	a	a
stand	stand	stand
against	against	against
anyone	anyon	anyone
who	who	who
attempts	attempt	attempt
to	to	to
silence	silenc	silence
their	their	their
First	first	First
Amendment	amend	Amendment
right	right	right
Whenever	whenev	Whenever
folks	folk	folk
in	in	in
Penfield	penfield	Penfield
,	,	,
New	new	New
York	york	York
get	get	get
a	a	a
hankering	hanker	hankering
for	for	for
pancakes	pancak	pancake
for	for	for
lunch	lunch	lunch
they	they	they
head	head	head
over	over	over
to	to	to
the	the	the
5	5	5
Mile	mile	Mile
Caf	caf	Caf
.	.	.
The	the	The
family	famili	family
-owned	-own	-owned
restaurant	restaur	restaurant
is	is	is
known	known	known
in	in	in
those	those	those
parts	part	part
for	for	for
serving	serv	serving
breakfast	breakfast	breakfast
any	ani	any
time	time	time
of	of	of
the	the	the
day	day	day
order	order	order
their	their	their
homemade	homemad	homemade
corned	corn	corned
beef	beef	beef
hash	hash	hash
.	.	.
They	they	They
are	are	are
also	also	also
known	known	known
for	for	for
their	their	their
patriotism	patriot	patriotism
.	.	.
We	we	We
are	are	are
very	veri	very
patriotic	patriot	patriotic
here	here	here
at	at	at
the	the	the
caf	caf	caf
all	all	all
year	year	year
round	round	round
not	not	not
just	just	just
this	this	this
time	time	time
of	of	of
year	year	year
,	,	,
owner	owner	owner
Jennifer	jennif	Jennifer
Aquino	aquino	Aquino
told	told	told
me	me	me
.	.	.
We	we	We
have	have	have
American	american	American
flags	flag	flag
and	and	and
patriotic	patriot	patriotic
things	thing	thing
around	around	around
the	the	the
caf	caf	caf
.	.	.
So	so	So
Jennifer	jennif	Jennifer
decided	decid	decided
to	to	to
ask	ask	ask
the	the	the
town	town	town
for	for	for
a	a	a
permit	permit	permit
so	so	so
she	she	she
could	could	could
post	post	post
a	a	a
God	god	God
Bless	bless	Bless
America	america	America
banner	banner	banner
on	on	on
the	the	the
front	front	front
of	of	of
her	her	her
restaurant	restaur	restaurant
.	.	.
She	she	She
wanted	want	wanted
to	to	to
display	display	display
the	the	the
banner	banner	banner
from	from	from
Memorial	memori	Memorial
Day	day	Day
through	through	through
Independence	independ	Independence
Day	day	Day
.	.	.
There	there	There
was	was	wa
just	just	just
one	one	one
significant	signific	significant
problem	problem	problem
.	.	.
Penfield	penfield	Penfield
has	has	ha
a	a	a
strict	strict	strict
banner	banner	banner
allotment	allot	allotment
policy	polici	policy
.	.	.
Businesses	busi	Businesses
are	are	are
only	onli	only
allowed	allow	allowed
to	to	to
post	post	post
banners	banner	banner
for	for	for
a	a	a
total	total	total
of	of	of
three	three	three
weeks	week	week
out	out	out
of	of	of
the	the	the
year	year	year
.	.	.
And	and	And
Jennifer	jennif	Jennifer
had	had	had
used	use	used
up	up	up
her	her	her
allotment	allot	allotment
.	.	.
At	at	At
one	one	one
point	point	point
we	we	we
had	had	had
banners	banner	banner
all	all	all
over	over	over
the	the	the
town	town	town
and	and	and
the	the	the
town	town	town
just	just	just
looked	look	looked
trashy	trashi	trashy
and	and	and
our	our	our
residents	resid	resident
said	said	said
enough	enough	enough
s	s	s
enough	enough	enough
,	,	,
town	town	town
supervisor	supervisor	supervisor
Tony	toni	Tony
