Colin	colin	Colin
Powell	powel	Powell
is	is	is
NOT	not	NOT
voting	vote	voting
for	for	for
Donald	donald	Donald
Trump	trump	Trump
,	,	,
at	at	at
least	least	least
according	accord	according
to	to	to
emails	email	email
disclosed	disclos	disclosed
by	by	by
a	a	a
hacker	hacker	hacker
group	group	group
to	to	to
BuzzFeed	buzzfe	BuzzFeed
and	and	and
on	on	on
DCLeaks	dcleak	DCLeaks
.	.	.
com	com	com
,	,	,
who	who	who
reported	report	reported
that	that	that
the	the	the
leaks	leak	leak
came	came	came
from	from	from
Russia	russia	Russia
.	.	.
The	the	The
emails	email	email
reveal	reveal	reveal
that	that	that
Powell	powel	Powell
thinks	think	think
Trump	trump	Trump
is	is	is
a	a	a
national	nation	national
disgrace	disgrac	disgrace
,	,	,
and	and	and
that	that	that
his	his	his
campaign	campaign	campaign
is	is	is
built	built	built
on	on	on
racism	racism	racism
.	.	.
He	he	He
also	also	also
has	has	ha
strong	strong	strong
opinions	opinion	opinion
on	on	on
the	the	the
birther	birther	birther
movement	movement	movement
,	,	,
which	which	which
Trump	trump	Trump
thoroughly	thorough	thoroughly
embraced	embrac	embraced
.	.	.
In	in	In
an	an	an
Aug	aug	Aug
.	.	.
21	21	21
email	email	email
from	from	from
Powell	powel	Powell
to	to	to
Miller	miller	Miller
,	,	,
he	he	he
blasted	blast	blasted
Trump	trump	Trump
for	for	for
embarking	embark	embarking
on	on	on
a	a	a
racist	racist	racist
movement	movement	movement
that	that	that
believes	believ	belief
President	presid	President
Obama	obama	Obama
was	was	wa
not	not	not
born	born	born
in	in	in
the	the	the
US	us	US
.	.	.
Yup	yup	Yup
,	,	,
the	the	the
whole	whole	whole
birther	birther	birther
movement	movement	movement
was	was	wa
racist	racist	racist
,	,	,
Powell	powel	Powell
wrote	wrote	wrote
.	.	.
That	that	That
s	s	s
what	what	what
the	the	the
99	99	99
believe	believ	believe
.	.	.
When	when	When
Trump	trump	Trump
couldn	couldn	couldn
t	t	t
keep	keep	keep
that	that	that
up	up	up
he	he	he
said	said	said
he	he	he
also	also	also
wanted	want	wanted
to	to	to
see	see	see
if	if	if
the	the	the
certificate	certif	certificate
noted	note	noted
that	that	that
he	he	he
was	was	wa
a	a	a
Muslim	muslim	Muslim
.	.	.
Powell	powel	Powell
says	say	say
that	that	that
Trump	trump	Trump
has	has	ha
no	no	no
chance	chanc	chance
at	at	at
the	the	the
African	african	African
-American	-american	-American
vote	vote	vote
The	the	The
leak	leak	leak
shows	show	show
that	that	that
Powell	powel	Powell
criticized	critic	criticized
Trump	trump	Trump
s	s	s
lack	lack	lack
of	of	of
outreach	outreach	outreach
to	to	to
black	black	black
voters	voter	voter
,	,	,
saying	say	saying
there	there	there
is	is	is
nothing	noth	nothing
he	he	he
can	can	can
say	say	say
to	to	to
convince	convinc	convince
black	black	black
Americans	american	Americans
to	to	to
give	give	give
him	him	him
their	their	their
votes	vote	vote
,	,	,
and	and	and
criticizing	critic	criticizing
the	the	the
birther	birther	birther
movement	movement	movement
.	.	.
He	he	He
takes	take	take
us	us	u
for	for	for
idiots	idiot	idiot
,	,	,
Powell	powel	Powell
wrote	wrote	wrote
,	,	,
according	accord	according
to	to	to
CBS	cbs	CBS
.	.	.
He	he	He
can	can	can
never	never	never
overcome	overcom	overcome
what	what	what
he	he	he
tried	tri	tried
to	to	to
do	do	do
to	to	to
Obama	obama	Obama
with	with	with
his	his	his
search	search	search
for	for	for
the	the	the
birth	birth	birth
certificate	certif	certificate
the	the	the
whole	whole	whole
birther	birther	birther
movement	movement	movement
was	was	wa
racist	racist	racist
.	.	.
Source	sourc	Source
Huffington	huffington	Huffington
PostPowell	postpowel	PostPowell
doesn	doesn	doesn
t	t	t
think	think	think
Trump	trump	Trump
has	has	ha
a	a	a
much	much	much
better	better	better
chance	chanc	chance
with	with	with
women	women	woman
,	,	,
at	at	at
least	least	least
not	not	not
after	after	after
he	he	he
aligned	align	aligned
himself	himself	himself
with	with	with
disgraced	disgrac	disgraced
former	former	former
Fox	fox	Fox
News	news	News
head	head	head
,	,	,
Roger	roger	Roger
Ailes	ail	Ailes
,	,	,
who	who	who
left	left	left
after	after	after
numerous	numer	numerous
allegations	alleg	allegation
of	of	of
sexual	sexual	sexual
harassment	harass	harassment
.	.	.
And	and	And
Ailes	ail	Ailes
as	as	a
an	an	an
advisor	advisor	advisor
wont	wont	wont
heal	heal	heal
women	women	woman
,	,	,
don	don	don
t	t	t
you	you	you
think	think	think
?	?	?
Powell	powel	Powell
wrote	wrote	wrote
.	.	.
The	the	The
Republican	republican	Republican
former	former	former
Secretary	secretari	Secretary
of	of	of
State	state	State
isn	isn	isn
t	t	t
a	a	a
Hillary	hillari	Hillary
Clinton	clinton	Clinton
fan	fan	fan
either	either	either
.	.	.
The	the	The
latest	latest	latest
email	email	email
leak	leak	leak
reveals	reveal	reveals
Powell	powel	Powell
also	also	also
criticized	critic	criticized
Democratic	democrat	Democratic
presidential	presidenti	presidential
nominee	nomine	nominee
Hillary	hillari	Hillary
Clinton	clinton	Clinton
for	for	for
her	her	her
handling	handl	handling
of	of	of
her	her	her
email	email	email
scandal	scandal	scandal
,	,	,
saying	say	saying
she	she	she
could	could	could
have	have	have
killed	kill	killed
this	this	this
two	two	two
years	year	year
ago	ago	ago
by	by	by
merely	mere	merely
telling	tell	telling
everyone	everyon	everyone
honestly	honest	honestly
what	what	what
she	she	she
had	had	had
done	done	done
and	and	and
not	not	not
tie	tie	tie
me	me	me
to	to	to
it	it	it
,	,	,
according	accord	according
to	to	to
The	the	The
Intercept	intercept	Intercept
.	.	.
Documents	document	Documents
released	releas	released
this	this	this
month	month	month
as	as	a
part	part	part
of	of	of
the	the	the
FBI	fbi	FBI
s	s	s
investigation	investig	investigation
into	into	into
Clinton	clinton	Clinton
s	s	s
emails	email	email
showed	show	showed
Powell	powel	Powell
had	had	had
told	told	told
Clinton	clinton	Clinton
to	to	to
be	be	be
very	veri	very
careful	care	careful
if	if	if
she	she	she
used	use	used
a	a	a
Blackberry	blackberri	Blackberry
for	for	for
email	email	email
,	,	,
warning	warn	warning
that	that	that
if	if	if
her	her	her
use	use	use
of	of	of
a	a	a
BlackBerry	blackberri	BlackBerry
became	becam	became
public	public	public
knowledge	knowledg	knowledge
,	,	,
those	those	those
emails	email	email
could	could	could
become	becom	become
official	offici	official
record	record	record
s	s	s
and	and	and
subject	subject	subject
to	to	to
the	the	the
law	law	law
.	.	.
Powell	powel	Powell
s	s	s
only	onli	only
advice	advic	advice
seemed	seem	seemed
to	to	to
be	be	be
for	for	for
the	the	the
media	media	medium
,	,	,
which	which	which
he	he	he
accused	accus	accused
of	of	of
giving	give	giving
him	him	him
too	too	too
much	much	much
attention	attent	attention
.	.	.
You	you	You
guys	guy	guy
are	are	are
playing	play	playing
this	this	this
game	game	game
,	,	,
you	you	you
are	are	are
his	his	his
oxygen	oxygen	oxygen
.	.	.
A	a	A
spokesman	spokesman	spokesman
for	for	for
Powell	powel	Powell
admits	admit	admits
that	that	that
the	the	the
emails	email	email
are	are	are
legitimate	legitim	legitimate
and	and	and
that	that	that
Powell	powel	Powell
was	was	wa
hacked	hack	hacked
,	,	,
although	although	although
,	,	,
if	if	if
Powell	powel	Powell
s	s	s
people	peopl	people
know	know	know
who	who	who
did	did	did
the	the	the
hack	hack	hack
,	,	,
they	they	they
aren	aren	aren
t	t	t
admitting	admit	admitting
it	it	it
.	.	.
As	as	As
for	for	for
Powell	powel	Powell
s	s	s
advice	advic	advice
to	to	to
Clinton	clinton	Clinton
,	,	,
well	well	well
,	,	,
perhaps	perhap	perhaps
he	he	he
should	should	should
have	have	have
followed	follow	followed
it	it	it
as	as	a
well	well	well
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Kris	kris	Kris
Connor	connor	Connor
Getty	getti	Getty
Images	imag	Images
.	.	.
