UK	uk	UK
MailOnline	mailonlin	MailOnline
was	was	wa
given	given	given
exclusive	exclus	exclusive
access	access	access
into	into	into
the	the	the
lives	live	life
of	of	of
the	the	the
vigilante	vigilant	vigilante
group	group	group
,	,	,
Soldiers	soldier	Soldiers
of	of	of
Odin	odin	Odin
.	.	.
The	the	The
publication	public	publication
however	howev	however
seems	seem	seems
hell	hell	hell
-bent	-bent	-bent
on	on	on
tying	tie	tying
this	this	this
group	group	group
of	of	of
men	men	men
,	,	,
patrolling	patrol	patrolling
the	the	the
streets	street	street
to	to	to
protect	protect	protect
Finnish	finnish	Finnish
women	women	woman
and	and	and
children	children	child
,	,	,
to	to	to
their	their	their
founder	founder	founder
who	who	who
was	was	wa
admittedly	admit	admittedly
a	a	a
neo	neo	neo
-Nazi	-nazi	-Nazi
.	.	.
The	the	The
one	one	one
point	point	point
they	they	they
seem	seem	seem
to	to	to
be	be	be
missing	miss	missing
in	in	in
their	their	their
attempt	attempt	attempt
to	to	to
cast	cast	cast
a	a	a
negative	negat	negative
shadow	shadow	shadow
on	on	on
this	this	this
group	group	group
,	,	,
is	is	is
that	that	that
they	they	they
are	are	are
keeping	keep	keeping
the	the	the
Muslim	muslim	Muslim
migrant	migrant	migrant
rapists	rapist	rapist
in	in	in
line	line	line
.	.	.
There	there	There
has	has	ha
not	not	not
been	been	been
one	one	one
reported	report	reported
incident	incid	incident
of	of	of
violence	violenc	violence
by	by	by
this	this	this
vigilante	vigilant	vigilante
group	group	group
to	to	to
date	date	date
,	,	,
and	and	and
we	we	we
have	have	have
to	to	to
believe	believ	believe
the	the	the
women	women	woman
and	and	and
children	children	child
in	in	in
the	the	the
neighborhoods	neighborhood	neighborhood
they	they	they
re	re	re
patrolling	patrol	patrolling
must	must	must
be	be	be
grateful	grate	grateful
for	for	for
their	their	their
presence	presenc	presence
.	.	.
I	i	I
think	think	think
it	it	it
s	s	s
going	go	going
to	to	to
be	be	be
a	a	a
war	war	war
between	between	between
local	local	local
people	peopl	people
and	and	and
immigrants	immigr	immigrant
.	.	.
Soldiers	soldier	Soldiers
of	of	of
Odin	odin	Odin
member	member	member
Foreigners	foreign	Foreigners
can	can	can
t	t	t
go	go	go
out	out	out
alone	alon	alone
after	after	after
dark	dark	dark
anymore	anymor	anymore
.	.	.
It	it	It
used	use	used
to	to	to
be	be	be
safe	safe	safe
to	to	to
go	go	go
out	out	out
in	in	in
Finland	finland	Finland
at	at	at
night	night	night
,	,	,
even	even	even
by	by	by
yourself	yourself	yourself
,	,	,
but	but	but
now	now	now
we	we	we
just	just	just
don	don	don
t	t	t
have	have	have
the	the	the
courage	courag	courage
to	to	to
do	do	do
it	it	it
.	.	.
MigrantA	migranta	MigrantA
gang	gang	gang
of	of	of
vigilantes	vigilant	vigilante
led	led	led
by	by	by
a	a	a
violent	violent	violent
neo	neo	neo
-Nazi	-nazi	-Nazi
go	go	go
on	on	on
night	night	night
time	time	time
migrant	migrant	migrant
patrols	patrol	patrol
on	on	on
the	the	the
streets	street	street
of	of	of
Finland	finland	Finland
,	,	,
with	with	with
some	some	some
talking	talk	talking
of	of	of
ethnic	ethnic	ethnic
cleansing	cleans	cleansing
in	in	in
the	the	the
wake	wake	wake
of	of	of
the	the	the
country	countri	country
s	s	s
mounting	mount	mounting
immigration	immigr	immigration
crisis	crisi	crisis
.	.	.
The	the	The
self	self	self
-styled	-style	-styled
Soldiers	soldier	Soldiers
of	of	of
Odin	odin	Odin
march	march	march
in	in	in
a	a	a
mob	mob	mob
,	,	,
wearing	wear	wearing
bomber	bomber	bomber
