Seriously	serious	Seriously
.	.	.

This	this	This
actually	actual	actually
happened	happen	happened
in	in	in
America	america	America
.	.	.
Milk	milk	Milk
costs	cost	cost
65	65	65
cents	cent	cent
at	at	at
Graham	graham	Graham
Park	park	Park
Middle	middl	Middle
School	school	School
in	in	in
Prince	princ	Prince
William	william	William
County	counti	County
,	,	,
Virginia	virginia	Virginia
.	.	.

But	but	But
like	like	like
millions	million	million
of	of	of
other	other	other
children	children	child
across	across	across
the	the	the
country	countri	country
,	,	,
Ryan	ryan	Ryan
Turk	turk	Turk
is	is	is
enrolled	enrol	enrolled
in	in	in
the	the	the
free	free	free
lunch	lunch	lunch
program	program	program
because	becaus	because
his	his	his
family	famili	family
can	can	can
t	t	t
afford	afford	afford
his	his	his
meals	meal	meal
.	.	.
One	one	One
day	day	day
after	after	after
going	go	going
through	through	through
the	the	the
lunch	lunch	lunch
line	line	line
,	,	,
Turk	turk	Turk
sat	sat	sat
down	down	down
and	and	and
realized	realiz	realized
that	that	that
he	he	he
had	had	had
forgotten	forgotten	forgotten
to	to	to
grab	grab	grab
a	a	a
milk	milk	milk
so	so	so
he	he	he
went	went	went
back	back	back
and	and	and
grabbed	grab	grabbed
one	one	one
like	like	like
any	ani	any
other	other	other
kid	kid	kid
would	would	would
do	do	do
.	.	.
Except	except	Except
that	that	that
Ryan	ryan	Ryan
Turk	turk	Turk
is	is	is
black	black	black
,	,	,
so	so	so
the	the	the
school	school	school
security	secur	security
guard	guard	guard
automatically	automat	automatically
assumed	assum	assumed
he	he	he
stole	stole	stole
it	it	it
.	.	.

He	he	He
confronted	confront	confronted
Ryan	ryan	Ryan
,	,	,
accused	accus	accused
him	him	him
of	of	of
a	a	a
crime	crime	crime
,	,	,
and	and	and
demanded	demand	demanded
that	that	that
he	he	he
go	go	go
to	to	to
the	the	the
principal	princip	principal
s	s	s
office	offic	office
.	.	.

Ryan	ryan	Ryan
refused	refus	refused
because	becaus	because
he	he	he
did	did	did
nothing	noth	nothing
wrong	wrong	wrong
.	.	.
Rather	rather	Rather
than	than	than
check	check	check
out	out	out
Ryan	ryan	Ryan
s	s	s
story	stori	story
,	,	,
which	which	which
would	would	would
have	have	have
been	been	been
as	as	a
simple	simpl	simple
as	as	a
looking	look	looking
at	at	at
his	his	his
tray	tray	tray
and	and	and
realizing	realiz	realizing
that	that	that
he	he	he
only	onli	only
had	had	had
one	one	one
milk	milk	milk
which	which	which
he	he	he
would	would	would
have	have	have
known	known	known
was	was	wa
free	free	free
for	for	for
Ryan	ryan	Ryan
if	if	if
he	he	he
had	had	had
bothered	bother	bothered
to	to	to
check	check	check
if	if	if
he	he	he
is	is	is
enrolled	enrol	enrolled
to	to	to
get	get	get
free	free	free
school	school	school
lunches	lunch	lunch
,	,	,
the	the	the
security	secur	security
officer	offic	officer
arrested	arrest	arrested
him	him	him
and	and	and
charged	charg	charged
him	him	him
with	with	with
disorderly	disord	disorderly
conduct	conduct	conduct
and	and	and
petty	petti	petty
larceny	larceni	larceny
,	,	,
charges	charg	charge
that	that	that
will	will	will
now	now	now
be	be	be
on	on	on
Ryan	ryan	Ryan
s	s	s
record	record	record
.	.	.
The	the	The
school	school	school
