A	a	A
transcript	transcript	transcript
from	from	from
the	the	the
Friday	friday	Friday
,	,	,
July	juli	July
31	31	31
,	,	,
2015	2015	2015
Rush	rush	Rush
Limbaugh	limbaugh	Limbaugh
show	show	show
.	.	.

Rush	rush	Rush
is	is	is
truly	truli	truly
one	one	one
of	of	of
the	the	the
most	most	most
brilliant	brilliant	brilliant
political	polit	political
analysts	analyst	analyst
of	of	of
our	our	our
time	time	time
.	.	.

He	he	He
proves	prove	prof
it	it	it
with	with	with
this	this	this
commentary	commentari	commentary
on	on	on
Mitt	mitt	Mitt
Romney	romney	Romney
and	and	and
Ted	ted	Ted
Cruz	cruz	Cruz
RUSH	rush	RUSH
Mitt	mitt	Mitt
Romney	romney	Romney
is	is	is
out	out	out
there	there	there
ripping	rip	ripping
into	into	into
Ted	ted	Ted
Cruz	cruz	Cruz
,	,	,
and	and	and
I	i	I
made	made	made
the	the	the
observation	observ	observation
that	that	that
I	i	I
can	can	can
t	t	t
recall	recal	recall
a	a	a
presidential	presidenti	presidential
candidate	candid	candidate
losing	lose	losing
presidential	presidenti	presidential
candidate	candid	candidate
ripping	rip	ripping
presidential	presidenti	presidential
candidates	candid	candidate
in	in	in
his	his	his
own	own	own
party	parti	party
in	in	in
the	the	the
next	next	next
election	elect	election
cycle	cycl	cycle
.	.	.

I	i	I
was	was	wa
trying	tri	trying
to	to	to
think	think	think
,	,	,
in	in	in
the	the	the
modern	modern	modern
era	era	era
,	,	,
if	if	if
there	there	there
was	was	wa
an	an	an
example	exampl	example
of	of	of
it	it	it
.	.	.

I	i	I
couldn	couldn	couldn
t	t	t
think	think	think
of	of	of
one	one	one
.	.	.

It	it	It
wasn	wasn	wasn
t	t	t
so	so	so
much	much	much
trying	tri	trying
to	to	to
think	think	think
of	of	of
Reagan	reagan	Reagan
s	s	s
11th	11th	11th
commandment	command	commandment
as	as	a
I	i	I
was	was	wa
thinking	think	thinking
more	more	more
about	about	about
establishment	establish	establishment
Republican	republican	Republican
versus	versus	versus
upstart	upstart	upstart
Tea	tea	Tea
Party	parti	Party
conservative	conserv	conservative
.	.	.
By	by	By
the	the	the
way	way	way
,	,	,
here	here	here
s	s	s
another	anoth	another
thing	thing	thing
I	i	I
ve	ve	ve
been	been	been
doing	do	doing
In	in	In
the	the	the
course	cours	course
of	of	of
show	show	show
prep	prep	prep
,	,	,
I	i	I
ve	ve	ve
been	been	been
doing	do	doing
just	just	just
a	a	a
voluminous	volumin	voluminous
amount	amount	amount
of	of	of
reading	read	reading
about	about	about
the	the	the
divide	divid	divide
here	here	here
between	between	between
the	the	the
establishment	establish	establishment
in	in	in
Washington	washington	Washington
,	,	,
both	both	both
parties	parti	party
,	,	,
and	and	and
the	the	the
Republican	republican	Republican
Party	parti	Party
,	,	,
what	what	what
s	s	s
happening	happen	happening
with	with	with
Trump	trump	Trump
and	and	and
so	so	so
forth	forth	forth
.	.	.

Now	now	Now
,	,	,
I	i	I
