Amy	ami	Amy
Goodman	goodman	Goodman
sat	sat	sat
down	down	down
for	for	for
an	an	an
interview	interview	interview
with	with	with
CNN	cnn	CNN
s	s	s
Brian	brian	Brian
Stelter	stelter	Stelter
on	on	on
Sunday	sunday	Sunday
morning	morn	morning
.	.	.
Goodman	goodman	Goodman
,	,	,
the	the	the
award	award	award
-winning	-win	-winning
broadcast	broadcast	broadcast
journalist	journalist	journalist
and	and	and
the	the	the
host	host	host
of	of	of
Democracy	democraci	Democracy
Now	now	Now
!	!	!
did	did	did
what	what	what
she	she	she
does	doe	doe
best	best	best
grill	grill	grill
the	the	the
establishment	establish	establishment
with	with	with
fact	fact	fact
-based	-base	-based
analysis	analysi	analysis
.	.	.
It	it	It
s	s	s
been	been	been
shown	shown	shown
that	that	that
there	there	there
is	is	is
a	a	a
coverage	coverag	coverage
bias	bias	bias
against	against	against
Bernie	berni	Bernie
Sanders	sander	Sanders
in	in	in
the	the	the
corporate	corpor	corporate
media	media	medium
.	.	.
On	on	On
the	the	the
other	other	other
hand	hand	hand
,	,	,
when	when	when
it	it	it
comes	come	come
to	to	to
Donald	donald	Donald
Trump	trump	Trump
,	,	,
the	the	the
major	major	major
networks	network	network
have	have	have
given	given	given
the	the	the
Republican	republican	Republican
candidate	candid	candidate
who	who	who
wants	want	want
to	to	to
make	make	make
America	america	America
hate	hate	hate
again	again	again
total	total	total
domination	domin	domination
of	of	of
America	america	America
s	s	s
television	televis	television
screens	screen	screen
.	.	.
This	this	This
bias	bias	bias
was	was	wa
recently	recent	recently
exemplified	exemplifi	exemplified
when	when	when
the	the	the
big	big	big
three	three	three
news	news	news
networks	network	network
all	all	all
decided	decid	decided
not	not	not
show	show	show
Bernie	berni	Bernie
Sanders	sander	Sanders
concession	concess	concession
speech	speech	speech
on	on	on
Super	super	Super
Tuesday	tuesday	Tuesday
3	3	3
.	.	.
Goodman	goodman	Goodman
points	point	point
this	this	this
out	out	out
,	,	,
saying	say	saying
Let	let	Let
s	s	s
look	look	look
at	at	at
Super	super	Super
Tuesday	tuesday	Tuesday
3	3	3
,	,	,
you	you	you
had	had	had
major	major	major
coverage	coverag	coverage
here	here	here
at	at	at
CNN	cnn	CNN
,	,	,
at	at	at
MSNBC	msnbc	MSNBC
,	,	,
at	at	at
Fox	fox	Fox
all	all	all
the	the	the
networks	network	network
across	across	across
all	all	all
through	through	through
the	the	the
night	night	night
as	as	a
the	the	the
polls	poll	poll
are	are	are
closing	close	closing
.	.	.
You	you	You
see	see	see
the	the	the
concession	concess	concession
speeches	speech	speech
and	and	and
the	the	the
great	great	great
victory	victori	victory
speeches	speech	speech
,	,	,
you	you	you
see	see	see
Hillary	hillari	Hillary
Clinton	clinton	Clinton
,	,	,
Ted	ted	Ted
Cruz	cruz	Cruz
,	,	,
Kasich	kasich	Kasich
,	,	,
you	you	you
see	see	see
Donald	donald	Donald
Trump	trump	Trump
.	.	.
You	you	You
re	re	re
waiting	wait	waiting
here	here	here
at	at	at
CNN	cnn	CNN
,	,	,
at	at	at
MSNBC	msnbc	MSNBC
.	.	.
They	they	They
said	said	said
he	he	he
s	s	s
going	go	going
to	to	to
hold	hold	hold
a	a	a
news	news	news
conference	confer	conference
and	and	and
that	that	that
s	s	s
it	it	it
.	.	.
Goodman	goodman	Goodman
continues	continu	continues
,	,	,
saying	say	saying
Where	where	Where
was	was	wa
Bernie	berni	Bernie
Sanders	sander	Sanders
?	?	?
Well	well	Well
,	,	,
in	in	in
fact	fact	fact
,	,	,
Bernie	berni	Bernie
Sanders	sander	Sanders
was	was	wa
in	in	in
Phoenix	phoenix	Phoenix
,	,	,
Arizona	arizona	Arizona
before	befor	before
thousands	thousand	thousand
of	of	of
people	peopl	people
and	and	and
as	as	a
the	the	the
networks	network	network
were	were	were
waiting	wait	waiting
for	for	for
Donald	donald	Donald
Trump	trump	Trump
and	and	and
waiting	wait	waiting
and	and	and
all	all	all
the	the	the
pundits	pundit	pundit
are	are	are
weighing	weigh	weighing
in	in	in
,	,	,
they	they	they
don	don	don
t	t	t
even	even	even
say	say	say
that	that	that
Bernie	berni	Bernie
Sanders	sander	Sanders
is	is	is
about	about	about
to	to	to
speak	speak	speak
.	.	.
Commenting	comment	Commenting
on	on	on
how	how	how
the	the	the
corporate	corpor	corporate
media	media	medium
has	has	ha
given	given	given
Trump	trump	Trump
the	the	the
world	world	world
s	s	s
biggest	biggest	biggest
megaphone	megaphon	megaphone
to	to	to
preach	preach	preach
his	his	his
message	messag	message
,	,	,
at	at	at
the	the	the
expense	expens	expense
of	of	of
covering	cover	covering
all	all	all
other	other	other
major	major	major
candidates	candid	candidate
,	,	,
Goodman	goodman	Goodman
says	say	say
I	i	I
think	think	think
this	this	this
exposure	exposur	exposure
for	for	for
Trump	trump	Trump
is	is	is
frightening	frighten	frightening
.	.	.
Yes	yes	Yes
,	,	,
there	there	there
is	is	is
now	now	now
some	some	some
critical	critic	critical
coverage	coverag	coverage
.	.	.
But	but	But
for	for	for
the	the	the
year	year	year
2015	2015	2015
,	,	,
as	as	a
the	the	the
snowball	snowbal	snowball
rolled	roll	rolled
and	and	and
it	it	it
got	got	got
larger	larger	larger
and	and	and
larger	larger	larger
,	,	,
he	he	he
got	got	got
23	23	23
times	time	time
the	the	the
coverage	coverag	coverage
of	of	of
Bernie	berni	Bernie
Sanders	sander	Sanders
.	.	.
It	it	It
comes	come	come
down	down	down
to	to	to
ratings	rate	rating
.	.	.
Trump	trump	Trump
gives	give	give
the	the	the
corporate	corpor	corporate
media	media	medium
an	an	an
opportunity	opportun	opportunity
to	to	to
create	creat	create
and	and	and
sell	sell	sell
an	an	an
information	inform	information
-like-product	-like-product	-like-product
,	,	,
that	that	that
can	can	can
be	be	be
quickly	quick	quickly
reproduced	reproduc	reproduced
with	with	with
almost	almost	almost
no	no	no
manufacturing	manufactur	manufacturing
cost	cost	cost
.	.	.
Speaking	speak	Speaking
of	of	of
manufacturing	manufactur	manufacturing
,	,	,
Goodman	goodman	Goodman
borrows	borrow	borrows
a	a	a
phrase	phrase	phrase
from	from	from
Noam	noam	Noam
Chomsky	chomski	Chomsky
,	,	,
alleging	alleg	alleging
that	that	that
the	the	the
media	media	medium
is	is	is
manufacturing	manufactur	manufacturing
consent	consent	consent
with	with	with
their	their	their
election	elect	election
coverage	coverag	coverage
.	.	.
While	while	While
Chomsky	chomski	Chomsky
may	may	may
have	have	have
popularized	popular	popularized
the	the	the
phrase	phrase	phrase
,	,	,
its	it	it
origins	origin	origin
come	come	come
from	from	from
the	the	the
master	master	master
of	of	of
media	media	medium
manipulation	manipul	manipulation
,	,	,
Edward	edward	Edward
Bernays	bernay	Bernays
.	.	.
He	he	He
has	has	ha
a	a	a
far	far	far
more	more	more
apt	apt	apt
expression	express	expression
for	for	for
the	the	the
phenomenon	phenomenon	phenomenon
that	that	that
Goodman	goodman	Goodman
is	is	is
addressing	address	addressing
crystallizing	crystal	crystallizing
public	public	public
opinion	opinion	opinion
.	.	.
As	as	As
long	long	long
as	as	a
Trump	trump	Trump
remains	remain	remains
in	in	in
the	the	the
election	elect	election
,	,	,
the	the	the
corporate	corpor	corporate
media	media	medium
s	s	s
ratings	rate	rating
will	will	will
continue	continu	continue
to	to	to
benefit	benefit	benefit
from	from	from
his	his	his
status	status	status
.	.	.
You	you	You
can	can	can
watch	watch	watch
the	the	the
interview	interview	interview
below	below	below
,	,	,
in	in	in
full	full	full
.	.	.
https://www.youtube.com/watch?v=Bw4tKd9823QFeatured	https://www.youtube.com/watch?v=bw4tkd9823qfeatur	https://www.youtube.com/watch?v=Bw4tKd9823QFeatured
image	imag	image
from	from	from
video	video	video
screenshot	screenshot	screenshot
