Many	mani	Many
on	on	on
the	the	the
left	left	left
are	are	are
calling	call	calling
for	for	for
gun	gun	gun
control	control	control
in	in	in
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
The	the	The
people	peopl	people
who	who	who
are	are	are
so	so	so
concerned	concern	concerned
about	about	about
saving	save	saving
the	the	the
lives	live	life
of	of	of
victims	victim	victim
of	of	of
gun	gun	gun
violence	violenc	violence
,	,	,
are	are	are
usually	usual	usually
the	the	the
same	same	same
single	singl	single
issue	issu	issue
voters	voter	voter
who	who	who
are	are	are
driven	driven	driven
to	to	to
the	the	the
polls	poll	poll
for	for	for
every	everi	every
election	elect	election
to	to	to
ensure	ensur	ensure
that	that	that
women	women	woman
retain	retain	retain
the	the	the
right	right	right
to	to	to
extinguish	extinguish	extinguish
the	the	the
lives	live	life
of	of	of
the	the	the
most	most	most
vulnerable	vulner	vulnerable
among	among	among
us	us	u
in	in	in
the	the	the
most	most	most
violent	violent	violent
way	way	way
imaginable	imagin	imaginable
.	.	.
Over	over	Over
2	2	2
,	,	,
555	555	555
babies	babi	baby
have	have	have
been	been	been
aborted	abort	aborted
so	so	so
far	far	far
today	today	today
in	in	in
the	the	the
United	unit	United
States	state	States
.	.	.
Total	total	Total
number	number	number
of	of	of
all	all	all
firearm	firearm	firearm
deaths	death	death
in	in	in
US	us	US
in	in	in
2013	2013	2013
33	33	33
,	,	,
636Number	636number	636Number
of	of	of
firearm	firearm	firearm
homicides	homicid	homicide
in	in	in
US	us	US
2013	2013	2013
11	11	11
,	,	,
208Number	208number	208Number
of	of	of
suicides	suicid	suicide
by	by	by
firearms	firearm	firearm
21	21	21
,	,	,
175Firearms	175firearm	175Firearms
account	account	account
for	for	for
53	53	53
.	.	.
7	7	7
of	of	of
all	all	all
suicides	suicid	suicide
in	in	in
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Ratio	ratio	Ratio
of	of	of
babies	babi	baby
killed	kill	killed
by	by	by
abortion	abort	abortion
to	to	to
people	peopl	people
killed	kill	killed
by	by	by
handguns	handgun	handgun
107	107	107
.	.	.
1	1	1
to	to	to
1Manual	1manual	1Manual
Vaccum	vaccum	Vaccum
Aspiration	aspir	Aspiration
What	what	What
is	is	is
MVA	mva	MVA
?	?	?
MVA	mva	MVA
is	is	is
used	use	used
to	to	to
abort	abort	abort
a	a	a
child	child	child
from	from	from
3	3	3
weeks	week	week
to	to	to
12	12	12
weeks	week	week
of	of	of
age	age	age
.	.	.
This	this	This
handheld	handheld	handheld
syringe	syring	syringe
works	work	work
by	by	by
creating	creat	creating
its	it	it
own	own	own
vacuum	vacuum	vacuum
suction	suction	suction
.	.	.
MVAs	mvas	MVAs
are	are	are
used	use	used
and	and	and
reused	reus	reused
millions	million	million
of	of	of
times	time	time
a	a	a
year	year	year
around	around	around
the	the	the
world	world	world
.	.	.
The	the	The
major	major	major
problem	problem	problem
with	with	with
the	the	the
MVA	mva	MVA
is	is	is
that	that	that
it	it	it
has	has	ha
a	a	a
very	veri	very
weak	weak	weak
vacuum	vacuum	vacuum
.	.	.
This	this	This
means	mean	mean
that	that	that
the	the	the
child	child	child
is	is	is
ripped	rip	ripped
apart	apart	apart
slowly	slowli	slowly
.	.	.
Number	number	Number
of	of	of
Americans	american	Americans
of	of	of
all	all	all
ages	age	age
and	and	and
races	race	race
murdered	murder	murdered
daily	daili	daily
by	by	by
handguns	handgun	handgun
28Number	28number	28Number
of	of	of
American	american	American
babies	babi	baby
of	of	of
all	all	all
races	race	race
killed	kill	killed
every	everi	every
day	day	day
by	by	by
abortion	abort	abortion
3	3	3
,	,	,
000Uterine	000uterin	000Uterine
Currette	currett	Currette
One	one	One
side	side	side
of	of	of
the	the	the
loop	loop	loop
is	is	is
sharp	sharp	sharp
for	for	for
cutting	cut	cutting
the	the	the
child	child	child
apart	apart	apart
.	.	.
The	the	The
other	other	other
side	side	side
scrapes	scrape	scrape
the	the	the
uterus	uterus	uterus
to	to	to
remove	remov	remove
the	the	the
placenta	placenta	placenta
.	.	.
Syringe	syring	Syringe
with	with	with
