#disruptj20	#disruptj20	#disruptj20
protesters	protest	protester
blocking	block	blocking
men	men	men
in	in	in
Air	air	Air
Force	forc	Force
uniforms	uniform	uniform
from	from	from
getting	get	getting
through	through	through
the	the	the
#Inauguration	#inaugur	#Inauguration
checkpoint	checkpoint	checkpoint
pic.twitter.com/XVErOHHBwg	pic.twitter.com/xverohhbwg	pic.twitter.com/XVErOHHBwg
Ryan	ryan	Ryan
Lovelace	lovelac	Lovelace
@LovelaceRyanD	@lovelaceryand	@LovelaceRyanD
January	januari	January
20	20	20
,	,	,
2017	2017	2017

