Just	just	Just
so	so	so
we	we	we
have	have	have
this	this	this
straight	straight	straight
a	a	a
Somali	somali	Somali
cab	cab	cab
driver	driver	driver
had	had	had
already	alreadi	already
repeatedly	repeat	repeatedly
threatened	threaten	threatened
to	to	to
decapitate	decapit	decapitate
police	polic	police
officers	offic	officer
earlier	earlier	earlier
in	in	in
the	the	the
year	year	year
,	,	,
yet	yet	yet
he	he	he
may	may	may
still	still	still
be	be	be
driving	drive	driving
a	a	a
cab	cab	cab
?	?	?
We	we	We
re	re	re
gonna	gonna	gonna
go	go	go
out	out	out
on	on	on
a	a	a
limb	limb	limb
here	here	here
and	and	and
speculate	specul	speculate
that	that	that
this	this	this
Somali	somali	Somali
cab	cab	cab
driver	driver	driver
is	is	is
a	a	a
muslim	muslim	muslim
and	and	and
further	further	further
speculate	specul	speculate
that	that	that
he	he	he
may	may	may
even	even	even
be	be	be
a	a	a
racist	racist	racist
A	a	A
St	st	St
.	.	.
Louis	loui	Louis
cab	cab	cab
driver	driver	driver
faces	face	face
hate	hate	hate
crime	crime	crime
charges	charg	charge
after	after	after
attacking	attack	attacking
a	a	a
man	man	man
and	and	and
saying	say	saying
he	he	he
was	was	wa
going	go	going
to	to	to
kill	kill	kill
him	him	him
because	becaus	because
you	you	you
re	re	re
white	white	white
.	.	.
Mahad	mahad	Mahad
Abdinoor	abdinoor	Abdinoor
Abdi	abdi	Abdi
,	,	,
from	from	from
Somalia	somalia	Somalia
,	,	,
threatened	threaten	threatened
to	to	to
decapitate	decapit	decapitate
police	polic	police
officers	offic	officer
earlier	earlier	earlier
this	this	this
year	year	year
.	.	.
A	a	A
renegade	renegad	renegade
cab	cab	cab
driver	driver	driver
now	now	now
faces	face	face
hate	hate	hate
crime	crime	crime
charges	charg	charge
after	after	after
reportedly	report	reportedly
attacking	attack	attacking
a	a	a
man	man	man
for	for	for
being	be	being
white	white	white
.	.	.
Mahad	mahad	Mahad
Abdinoor	abdinoor	Abdinoor
Abdi	abdi	Abdi
is	is	is
the	the	the
same	same	same
suspect	suspect	suspect
we	we	we
exposed	expos	exposed
in	in	in
a	a	a
FOX	fox	FOX
2	2	2
report	report	report
after	after	after
witnesses	wit	witness
said	said	said
he	he	he
threatened	threaten	threatened
to	to	to
decapitate	decapit	decapitate
police	polic	police
officers	offic	officer
.	.	.
These	these	These
are	are	are
extremely	extrem	extremely
rare	rare	rare
charges	charg	charge
because	becaus	because
prosecutors	prosecutor	prosecutor
say	say	say
hate	hate	hate
crimes	crime	crime
can	can	can
be	be	be
very	veri	very
