Oh	oh	Oh
my	my	my
gosh	gosh	gosh
!	!	!
This	this	This
is	is	is
awesome	awesom	awesome
!	!	!
President	presid	President
Trump	trump	Trump
tweeted	tweet	tweeted
back	back	back
to	to	to
the	the	the
dad	dad	dad
of	of	of
the	the	the
UCLA	ucla	UCLA
basketball	basketbal	basketball
player	player	player
who	who	who
was	was	wa
arrested	arrest	arrested
while	while	while
in	in	in
China	china	China
Now	now	Now
that	that	that
the	the	the
three	three	three
basketball	basketbal	basketball
players	player	player
are	are	are
out	out	out
of	of	of
China	china	China
and	and	and
saved	save	saved
from	from	from
years	year	year
in	in	in
jail	jail	jail
,	,	,
LaVar	lavar	LaVar
Ball	ball	Ball
,	,	,
the	the	the
father	father	father
of	of	of
LiAngelo	liangelo	LiAngelo
,	,	,
is	is	is
unaccepting	unaccept	unaccepting
of	of	of
what	what	what
I	i	I
did	did	did
for	for	for
his	his	his
son	son	son
and	and	and
that	that	that
shoplifting	shoplift	shoplifting
is	is	is
no	no	no
big	big	big
deal	deal	deal
.	.	.
I	i	I
should	should	should
have	have	have
left	left	left
them	them	them
in	in	in
jail	jail	jail
!	!	!
,	,	,
Now	now	Now
that	that	that
the	the	the
three	three	three
basketball	basketbal	basketball
players	player	player
are	are	are
out	out	out
of	of	of
China	china	China
and	and	and
saved	save	saved
from	from	from
years	year	year
in	in	in
jail	jail	jail
,	,	,
LaVar	lavar	LaVar
Ball	ball	Ball
,	,	,
the	the	the
father	father	father
of	of	of
LiAngelo	liangelo	LiAngelo
,	,	,
is	is	is
unaccepting	unaccept	unaccepting
of	of	of
what	what	what
I	i	I
did	did	did
for	for	for
his	his	his
son	son	son
and	and	and
that	that	that
shoplifting	shoplift	shoplifting
is	is	is
no	no	no
big	big	big
deal	deal	deal
.	.	.
I	i	I
should	should	should
have	have	have
left	left	left
them	them	them
in	in	in
jail	jail	jail
!	!	!
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
November	novemb	November
19	19	19
,	,	,
2017THE	2017the	2017THE
JAPANESE	japanes	JAPANESE
PM	pm	PM
TWEETED	tweet	TWEETED
BACK	back	BACK
HIS	his	HIS
SUPPORT	support	SUPPORT
Great	great	Great
job	job	job
Donald	donald	Donald
!	!	!
I	i	I
know	know	know
firsthand	firsthand	firsthand
that	that	that
your	your	your
negotiating	negoti	negotiating
skills	skill	skill
are	are	are
world	world	world
