No	no	No
comment	comment	comment
is	is	is
expected	expect	expected
from	from	from
Barack	barack	Barack
Obama	obama	Obama
Members	member	Members
of	of	of
the	the	the
#FYF911	#fyf911	#FYF911
or	or	or
#FukYoFlag	#fukyoflag	#FukYoFlag
and	and	and
#BlackLivesMatter	#blacklivesmatt	#BlackLivesMatter
movements	movement	movement
called	call	called
for	for	for
the	the	the
lynching	lynch	lynching
and	and	and
hanging	hang	hanging
of	of	of
white	white	white
people	peopl	people
and	and	and
cops	cop	cop
.	.	.
They	they	They
encouraged	encourag	encouraged
others	other	others
on	on	on
a	a	a
radio	radio	radio
show	show	show
Tuesday	tuesday	Tuesday
night	night	night
to	to	to
turn	turn	turn
the	the	the
tide	tide	tide
and	and	and
kill	kill	kill
white	white	white
people	peopl	people
and	and	and
cops	cop	cop
to	to	to
send	send	send
a	a	a
message	messag	message
about	about	about
the	the	the
killing	kill	killing
of	of	of
black	black	black
people	peopl	people
in	in	in
America	america	America
.	.	.
One	one	One
of	of	of
the	the	the
F	f	F
YoFlag	yoflag	YoFlag
organizers	organ	organizer
is	is	is
called	call	called
Sunshine	sunshin	Sunshine
.	.	.
She	she	She
has	has	ha
a	a	a
radio	radio	radio
blog	blog	blog
show	show	show
hosted	host	hosted
from	from	from
Texas	texa	Texas
called	call	called
,	,	,
Sunshine	sunshin	Sunshine
s	s	s
F	f	F
ing	ing	ing
Opinion	opinion	Opinion
Radio	radio	Radio
Show	show	Show
.	.	.
A	a	A
snapshot	snapshot	snapshot
of	of	of
her	her	her
#FYF911	#fyf911	#FYF911
@LOLatWhiteFear	@lolatwhitefear	@LOLatWhiteFear
Twitter	twitter	Twitter
page	page	page
at	at	at
9	9	9
53	53	53
p	p	p
.	.	.
m	m	m
.	.	.
shows	show	show
that	that	that
she	she	she
was	was	wa
urging	urg	urging
supporters	support	supporter
to	to	to
Call	call	Call
now	now	now
!	!	!
!	!	!
#fyf911	#fyf911	#fyf911
tonight	tonight	tonight
we	we	we
continue	continu	continue
to	to	to
dismantle	dismantl	dismantle
the	the	the
illusion	illus	illusion
of	of	of
white	white	white
Below	below	Below
is	is	is
a	a	a
SNAPSHOT	snapshot	SNAPSHOT
Twitter	twitter	Twitter
Radio	radio	Radio
Call	call	Call
Invite	invit	Invite
#FYF911The	#fyf911th	#FYF911The
radio	radio	radio
show	show	show
aired	air	aired
at	at	at
10	10	10
00	00	00
p	p	p
.	.	.
m	m	m
.	.	.
eastern	eastern	eastern
standard	standard	standard
time	time	time
.	.	.
During	dure	During
the	the	the
show	show	show
,	,	,
callers	caller	caller
clearly	clear	clearly
call	call	call
for	for	for
lynching	lynch	lynching
and	and	and
killing	kill	killing
of	of	of
white	white	white
people	peopl	people
.	.	.
A	a	A
2	2	2
39	39	39
minute	minut	minute
clip	clip	clip
from	from	from
the	the	the
radio	radio	radio
show	show	show
can	can	can
be	be	be
heard	heard	heard
here	here	here
.	.	.
It	it	It
was	was	wa
provided	provid	provided
to	to	to
Breitbart	breitbart	Breitbart
Texas	texa	Texas
by	by	by
someone	someon	someone
who	who	who
would	would	would
like	like	like
to	to	to
be	be	be
referred	refer	referred
to	to	to
as	as	a
Hannibal	hannib	Hannibal
.	.	.
He	he	He
has	has	ha
already	alreadi	already
received	receiv	received
death	death	death
threats	threat	threat
as	as	a
a	a	a
result	result	result
of	of	of
interrupting	interrupt	interrupting
#FYF911	#fyf911	#FYF911
conference	confer	conference
calls	call	call
.	.	.
An	an	An
unidentified	unidentifi	unidentified
black	black	black
man	man	man
said	said	said
when	when	when
those	those	those
mother	mother	mother
f	f	f
kers	ker	kers
are	are	are
by	by	by
themselves	themselv	themselves
,	,	,
that	that	that
s	s	s
when	when	when
when	when	when
we	we	we
should	should	should
start	start	start
f	f	f
ing	ing	ing
them	them	them
up	up	up
.	.	.
Like	like	Like
they	they	they
do	do	do
us	us	u
,	,	,
when	when	when
a	a	a
bunch	bunch	bunch
of	of	of
them	them	them
ni	ni	ni
ers	er	er
takin	takin	takin
one	one	one
of	of	of
us	us	u
out	out	out
,	,	,
that	that	that
s	s	s
how	how	how
we	we	we
should	should	should
roll	roll	roll
up	up	up
.	.	.
He	he	He
said	said	said
,	,	,
Cause	caus	Cause
we	we	we
already	alreadi	already
roll	roll	roll
up	up	up
in	in	in
gangs	gang	gang
anyway	anyway	anyway
.	.	.
There	there	There
should	should	should
be	be	be
six	six	six
or	or	or
seven	seven	seven
black	black	black
mother	mother	mother
f	f	f
ckers	cker	ckers
,	,	,
see	see	see
that	that	that
white	white	white
person	person	person
,	,	,
and	and	and
then	then	then
lynch	lynch	lynch
their	their	their
ass	ass	as
.	.	.
Let	let	Let
s	s	s
turn	turn	turn
the	the	the
tables	tabl	table
.	.	.
They	they	They
conspired	conspir	conspired
that	that	that
if	if	if
cops	cop	cop
started	start	started
losing	lose	losing
people	peopl	people
,	,	,
then	then	then
there	there	there
will	will	will
be	be	be
a	a	a
state	state	state
of	of	of
emergency	emerg	emergency
.	.	.
He	he	He
speculated	specul	speculated
that	that	that
one	one	one
of	of	of
two	two	two
things	thing	thing
would	would	would
happen	happen	happen
,	,	,
a	a	a
big	big	big
-ass	-ass	-ass
R	r	R
s	s	s
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
war	war	war
,	,	,
or	or	or
ni	ni	ni
ers	er	er
,	,	,
they	they	they
are	are	are
going	go	going
to	to	to
start	start	start
backin	backin	backin
up	up	up
.	.	.
We	we	We
are	are	are
already	alreadi	already
getting	get	getting
killed	kill	killed
out	out	out
here	here	here
so	so	so
what	what	what
the	the	the
f	f	f
k	k	k
we	we	we
got	got	got
to	to	to
lose	lose	lose
?	?	?
Sunshine	sunshin	Sunshine
could	could	could
be	be	be
heard	heard	heard
saying	say	saying
,	,	,
Yep	yep	Yep
,	,	,
that	that	that
s	s	s
true	true	true
.	.	.
That	that	That
s	s	s
so	so	so
f	f	f
king	king	king
true	true	true
.	.	.
He	he	He
said	said	said
,	,	,
We	we	We
need	need	need
to	to	to
turn	turn	turn
the	the	the
tables	tabl	table
on	on	on
them	them	them
.	.	.
Our	our	Our
kids	kid	kid
are	are	are
getting	get	getting
shot	shot	shot
out	out	out
here	here	here
.	.	.
Somebody	somebodi	Somebody
needs	need	need
to	to	to
become	becom	become
a	a	a
sacrifice	sacrific	sacrifice
on	on	on
their	their	their
side	side	side
.	.	.
He	he	He
said	said	said
,	,	,
Everybody	everybodi	Everybody
ain	ain	ain
t	t	t
down	down	down
for	for	for
that	that	that
s	s	s
t	t	t
,	,	,
or	or	or
whatever	whatev	whatever
,	,	,
but	but	but
like	like	like
I	i	I
say	say	say
,	,	,
everybody	everybodi	everybody
has	has	ha
a	a	a
different	differ	different
position	posit	position
of	of	of
war	war	war
.	.	.
He	he	He
continued	continu	continued
,	,	,
Because	becaus	Because
they	they	they
don	don	don
t	t	t
give	give	give
a	a	a
f	f	f
k	k	k
anyway	anyway	anyway
.	.	.
He	he	He
said	said	said
again	again	again
,	,	,
We	we	We
might	might	might
as	as	a
well	well	well
utilized	util	utilized
them	them	them
for	for	for
that	that	that
s	s	s
t	t	t
and	and	and
turn	turn	turn
the	the	the
tables	tabl	table
on	on	on
these	these	these
n	n	n
ers	er	er
.	.	.
He	he	He
said	said	said
,	,	,
that	that	that
way	way	way
we	we	we
can	can	can
start	start	start
lookin	lookin	lookin
like	like	like
we	we	we
ain	ain	ain
t	t	t
havin	havin	havin
that	that	that
many	mani	many
casualties	casualti	casualty
,	,	,
and	and	and
there	there	there
can	can	can
be	be	be
more	more	more
causalities	causal	causality
on	on	on
their	their	their
side	side	side
instead	instead	instead
of	of	of
ours	our	ours
.	.	.
They	they	They
are	are	are
out	out	out
their	their	their
killing	kill	killing
black	black	black
people	peopl	people
