Concerns	concern	Concerns
about	about	about
Trump	trump	Trump
s	s	s
conflict	conflict	conflict
of	of	of
interest	interest	interest
reached	reach	reached
a	a	a
new	new	new
level	level	level
with	with	with
the	the	the
announcement	announc	announcement
that	that	that
the	the	the
National	nation	National
Park	park	Park
Service	servic	Service
is	is	is
finalizing	final	finalizing
plans	plan	plan
that	that	that
will	will	will
give	give	give
one	one	one
of	of	of
his	his	his
companies	compani	company
32	32	32
million	million	million
in	in	in
tax	tax	tax
subsidies	subsidi	subsidy
for	for	for
the	the	the
hotel	hotel	hotel
he	he	he
put	put	put
in	in	in
D	d	D
.	.	.
C	c	C
.	.	.
s	s	s
Old	old	Old
Post	post	Post
Office	offic	Office
building	build	building
.	.	.

While	while	While
it	it	it
s	s	s
true	true	true
that	that	that
he	he	he
spent	spent	spent
the	the	the
morning	morn	morning
tweeting	tweet	tweeting
about	about	about
getting	get	getting
out	out	out
of	of	of
his	his	his
business	busi	business
entirely	entir	entirely
,	,	,
he	he	he
will	will	will
very	veri	very
likely	like	likely
get	get	get
this	this	this
break	break	break
,	,	,
which	which	which
puts	put	put
those	those	those
millions	million	million
in	in	in
his	his	his
pockets	pocket	pocket
,	,	,
before	befor	before
he	he	he
actually	actual	actually
divests	divest	divests
if	if	if
he	he	he
actually	actual	actually
divests	divest	divests
.	.	.
Trump	trump	Trump
,	,	,
Ivanka	ivanka	Ivanka
,	,	,
and	and	and
his	his	his
two	two	two
sons	son	son
together	togeth	together
own	own	own
Trump	trump	Trump
Old	old	Old
Post	post	Post
Office	offic	Office
,	,	,
LLC	llc	LLC
.	.	.
,	,	,
and	and	and
the	the	the
tax	tax	tax
break	break	break
comes	come	come
from	from	from
the	the	the
Historic	histor	Historic
Rehabilitation	rehabilit	Rehabilitation
Tax	tax	Tax
Credits	credit	Credits
program	program	program
,	,	,
which	which	which
provides	provid	provides
breaks	break	break
to	to	to
companies	compani	company
and	and	and
investors	investor	investor
that	that	that
rehab	rehab	rehab
historic	histor	historic
properties	properti	property
.	.	.
Ordinarily	ordinarili	Ordinarily
,	,	,
this	this	this
would	would	would
be	be	be
something	someth	something
we	we	we
might	might	might
mutter	mutter	mutter
and	and	and
mumble	mumbl	mumble
over	over	over
,	,	,
because	becaus	because
really	realli	really
