Michigan	michigan	Michigan
Governor	governor	Governor
Rick	rick	Rick
Snyder	snyder	Snyder
was	was	wa
thirsty	thirsti	thirsty
to	to	to
prove	prove	prove
that	that	that
the	the	the
water	water	water
in	in	in
Flint	flint	Flint
is	is	is
safe	safe	safe
to	to	to
drink	drink	drink
,	,	,
so	so	so
he	he	he
drank	drank	drank
it	it	it
and	and	and
promised	promis	promised
to	to	to
drink	drink	drink
more	more	more
.	.	.
But	but	But
Rachel	rachel	Rachel
Maddow	maddow	Maddow
had	had	had
some	some	some
bad	bad	bad
news	news	news
to	to	to
share	share	share
.	.	.
In	in	In
response	respons	response
to	to	to
an	an	an
open	open	open
invitation	invit	invitation
to	to	to
drink	drink	drink
some	some	some
of	of	of
the	the	the
water	water	water
he	he	he
himself	himself	himself
had	had	had
declared	declar	declared
poisoned	poison	poisoned
after	after	after
ignoring	ignor	ignoring
the	the	the
man	man	man
-made	-made	-made
travesty	travesti	travesty
for	for	for
a	a	a
year	year	year
or	or	or
more	more	more
,	,	,
the	the	the
Republican	republican	Republican
told	told	told
a	a	a
reporter	report	reporter
,	,	,
Yeah	yeah	Yeah
,	,	,
I	i	I
mean	mean	mean
if	if	if
someone	someon	someone
,	,	,
I	i	I
m	m	m
happy	happi	happy
to	to	to
look	look	look
into	into	into
that	that	that
.	.	.
But	but	But
Snyder	snyder	Snyder
didn	didn	didn
t	t	t
exactly	exact	exactly
look	look	look
happy	happi	happy
about	about	about
the	the	the
prospect	prospect	prospect
of	of	of
voluntarily	voluntarili	voluntarily
drinking	drink	drinking
tainted	taint	tainted
water	water	water
that	that	that
could	could	could
make	make	make
him	him	him
seriously	serious	seriously
ill	ill	ill
as	as	a
he	he	he
turned	turn	turned
away	away	away
.	.	.
So	so	So
,	,	,
after	after	after
many	mani	many
tests	test	test
of	of	of
the	the	the
tap	tap	tap
water	water	water
in	in	in
one	one	one
home	home	home
,	,	,
Snyder	snyder	Snyder
took	took	took
a	a	a
drink	drink	drink
and	and	and
claimed	claim	claimed
to	to	to
like	like	like
it	it	it
so	so	so
much	much	much
that	that	that
he	he	he
would	would	would
keep	keep	keep
drinking	drink	drinking
it	it	it
for	for	for
30	30	30
days	day	day
though	though	though
it	it	it
is	is	is
not	not	not
known	known	known
how	how	how
Flint	flint	Flint
residents	resid	resident
will	will	will
be	be	be
able	abl	able
to	to	to
verify	verifi	verify
that	that	that
the	the	the
three	three	three
gallons	gallon	gallon
he	he	he
took	took	took
with	with	with
him	him	him
is	is	is
the	the	the
same	same	same
water	water	water
he	he	he
ll	ll	ll
be	be	be
drinking	drink	drinking
.	.	.
I	i	I
completely	complet	completely
understand	understand	understand
why	whi	why
some	some	some
Flint	flint	Flint
residents	resid	resident
are	are	are
hesitant	hesit	hesitant
to	to	to
drink	drink	drink
the	the	the
water	water	water
and	and	and
I	i	I
am	am	am
hopeful	hope	hopeful
I	i	I
can	can	can
alleviate	allevi	alleviate
some	some	some
of	of	of
the	the	the
skepticism	skeptic	skepticism
and	and	and
mistrust	mistrust	mistrust
by	by	by
putting	put	putting
words	word	word
to	to	to
action	action	action
,	,	,
Snyder	snyder	Snyder
declared	declar	declared
after	after	after
drinking	drink	drinking
the	the	the
water	water	water
.	.	.
Flint	flint	Flint
residents	resid	resident
made	made	made
it	it	it
clear	clear	clear
that	that	that
they	they	they
would	would	would
like	like	like
to	to	to
see	see	see
me	me	me
personally	person	personally
drink	drink	drink
the	the	the
water	water	water
,	,	,
so	so	so
today	today	today
I	i	I
am	am	am
fulfilling	fulfil	fulfilling
that	that	that
request	request	request
.	.	.
And	and	And
I	i	I
will	will	will
continue	continu	continue
drinking	drink	drinking
Flint	flint	Flint
water	water	water
at	at	at
work	work	work
and	and	and
at	at	at
home	home	home
for	for	for
at	at	at
least	least	least
30	30	30
days	day	day
.	.	.
Flint	flint	Flint
residents	resid	resident
certainly	certain	certainly
are	are	are
not	not	not
buying	buy	buying
into	into	into
the	the	the
act	act	act
.	.	.
Not	not	Not
only	onli	only
should	should	should
he	he	he
and	and	and
his	his	his
wife	wife	wife
drink	drink	drink
it	it	it
,	,	,
they	they	they
say	say	say
,	,	,
his	his	his
whole	whole	whole
family	famili	family
should	should	should
drink	drink	drink
it	it	it
as	as	a
well	well	well
as	as	a
bathe	bath	bathe
in	in	in
it	it	it
and	and	and
cook	cook	cook
with	with	with
it	it	it
.	.	.
Indeed	inde	Indeed
,	,	,
that	that	that
s	s	s
what	what	what
Flint	flint	Flint
residents	resid	resident
were	were	were
forced	forc	forced
to	to	to
do	do	do
for	for	for
a	a	a
long	long	long
time	time	time
before	befor	before
state	state	state
officials	offici	official
finally	final	finally
acknowledged	acknowledg	acknowledged
that	that	that
the	the	the
water	water	water
supply	suppli	supply
was	was	wa
poisoned	poison	poisoned
and	and	and
began	began	began
to	to	to
do	do	do
something	someth	something
about	about	about
it	it	it
.	.	.
It	it	It
could	could	could
have	have	have
been	been	been
avoided	avoid	avoided
had	had	had
Republicans	republican	Republicans
not	not	not
switched	switch	switched
the	the	the
city	citi	city
s	s	s
water	water	water
supply	suppli	supply
from	from	from
Lake	lake	Lake
Huron	huron	Huron
to	to	to
the	the	the
Flint	flint	Flint
River	river	River
,	,	,
which	which	which
has	has	ha
been	been	been
contaminated	contamin	contaminated
for	for	for
decades	decad	decade
as	as	a
a	a	a
matter	matter	matter
of	of	of
public	public	public
record	record	record
.	.	.
And	and	And
because	becaus	because
state	state	state
officials	offici	official
allowed	allow	allowed
the	the	the
tragedy	tragedi	tragedy
to	to	to
unfold	unfold	unfold
,	,	,
thousands	thousand	thousand
of	of	of
children	children	child
now	now	now
face	face	face
future	futur	future
health	health	health
issues	issu	issue
due	due	due
to	to	to
the	the	the
high	high	high
levels	level	level
of	of	of
lead	lead	lead
in	in	in
the	the	the
water	water	water
.	.	.
But	but	But
Rachel	rachel	Rachel
Maddow	maddow	Maddow
had	had	had
some	some	some
news	news	news
for	for	for
Snyder	snyder	Snyder
.	.	.
He	he	He
may	may	may
have	have	have
made	made	made
sure	sure	sure
that	that	that
the	the	the
tap	tap	tap
water	water	water
he	he	he
was	was	wa
drinking	drink	drinking
was	was	wa
safe	safe	safe
before	befor	before
ever	ever	ever
taking	take	taking
a	a	a
sip	sip	sip
,	,	,
but	but	but
that	that	that
doesn	doesn	doesn
t	t	t
mean	mean	mean
it	it	it
wasn	wasn	wasn
t	t	t
poisoned	poison	poisoned
when	when	when
he	he	he
finally	final	finally
got	got	got
around	around	around
to	to	to
drinking	drink	drinking
it	it	it
.	.	.
As	as	As
best	best	best
as	as	a
we	we	we
can	can	can
tell	tell	tell
,	,	,
that	that	that
house	hous	house
where	where	where
Governor	governor	Governor
Snyder	snyder	Snyder
drank	drank	drank
this	this	this
water	water	water
through	through	through
the	the	the
filter	filter	filter
today	today	today
,	,	,
it	it	it
s	s	s
been	been	been
tested	test	tested
for	for	for
lead	lead	lead
several	sever	several
times	time	time
in	in	in
recent	recent	recent
months	month	month
,	,	,
Maddow	maddow	Maddow
said	said	said
.	.	.
The	the	The
federal	feder	federal
danger	danger	danger
threshold	threshold	threshold
for	for	for
lead	lead	lead
is	is	is
15	15	15
parts	part	part
-per-billion	-per-billion	-per-billion
,	,	,
she	she	she
continued	continu	continued
.	.	.
However	howev	However
,	,	,
a	a	a
test	test	test
conducted	conduct	conducted
on	on	on
March	march	March
16	16	16
,	,	,
just	just	just
over	over	over
a	a	a
month	month	month
ago	ago	ago
,	,	,
revealed	reveal	revealed
levels	level	level
of	of	of
265	265	265
parts	part	part
-per-billion	-per-billion	-per-billion
.	.	.
More	more	More
than	than	than
10	10	10
times	time	time
above	abov	above
the	the	the
federal	feder	federal
threshold	threshold	threshold
,	,	,
Maddow	maddow	Maddow
pointed	point	pointed
out	out	out
.	.	.
So	so	So
careful	care	careful
Governor	governor	Governor
.	.	.
I	i	I
hope	hope	hope
it	it	it
was	was	wa
a	a	a
good	good	good
lead	lead	lead
day	day	day
at	at	at
that	that	that
house	hous	house
when	when	when
you	you	you
filled	fill	filled
up	up	up
those	those	those
jugs	jug	jug
.	.	.
Here	here	Here
s	s	s
the	the	the
video	video	video
via	via	via
