Sometimes	sometim	Sometimes
you	you	you
could	could	could
wonder	wonder	wonder
if	if	if
some	some	some
of	of	of
the	the	the
people	peopl	people
running	run	running
for	for	for
the	the	the
Republican	republican	Republican
nomination	nomin	nomination
for	for	for
president	presid	president
are	are	are
actually	actual	actually
serious	serious	serious
.	.	.
When	when	When
people	peopl	people
like	like	like
Donald	donald	Donald
Trump	trump	Trump
and	and	and
Ted	ted	Ted
Cruz	cruz	Cruz
are	are	are
leading	lead	leading
the	the	the
pack	pack	pack
two	two	two
men	men	men
who	who	who
if	if	if
not	not	not
in	in	in
positions	posit	position
of	of	of
power	power	power
would	would	would
be	be	be
considered	consid	considered
certifiably	certifi	certifiably
crazy	crazi	crazy
are	are	are
able	abl	able
to	to	to
say	say	say
the	the	the
darndest	darndest	darndest
things	thing	thing
and	and	and
get	get	get
away	away	away
with	with	with
it	it	it
,	,	,
it	it	it
makes	make	make
one	one	one
wonder	wonder	wonder
if	if	if
they	they	they
re	re	re
stupid	stupid	stupid
,	,	,
or	or	or
if	if	if
the	the	the
people	peopl	people
they	they	they
re	re	re
convincing	convinc	convincing
have	have	have
the	the	the
mental	mental	mental
capacity	capac	capacity
of	of	of
a	a	a
stone	stone	stone
.	.	.
While	while	While
at	at	at
a	a	a
campaign	campaign	campaign
event	event	event
on	on	on
Friday	friday	Friday
,	,	,
Ted	ted	Ted
Cruz	cruz	Cruz
invited	invit	invited
his	his	his
prized	prize	prized
endorser	endors	endorser
Duck	duck	Duck
Dynasty	dynasti	Dynasty
star	star	star
and	and	and
bigot	bigot	bigot
extraordinaire	extraordinair	extraordinaire
Phil	phil	Phil
Robertson	robertson	Robertson
to	to	to
speak	speak	speak
.	.	.
Cruz	cruz	Cruz
also	also	also
,	,	,
in	in	in
a	a	a
lame	lame	lame
attempt	attempt	attempt
at	at	at
humor	humor	humor
sadism	sadism	sadism
?	?	?
,	,	,
decided	decid	decided
that	that	that
if	if	if
he	he	he
were	were	were
to	to	to
be	be	be
president	presid	president
he	he	he
may	may	may
name	name	name
Robertson	robertson	Robertson
as	as	a
Ambassador	ambassador	Ambassador
to	to	to
the	the	the
United	unit	United
Nations	nation	Nations
.	.	.
This	this	This
suggestion	suggest	suggestion
was	was	wa
probably	probabl	probably
in	in	in
jest	jest	jest
,	,	,
but	but	but
really	realli	really
,	,	,
who	who	who
knows	know	know
anymore	anymor	anymore
.	.	.
When	when	When
talking	talk	talking
about	about	about
Robertson	robertson	Robertson
,	,	,
Cruz	cruz	Cruz
says	say	say
You	you	You
know	know	know
there	there	there
s	s	s
a	a	a
reason	reason	reason
he	he	he
terrifies	terrifi	terrifies
the	the	the
mainstream	mainstream	mainstream
media	media	medium
.	.	.
He	he	He
says	say	say
the	the	the
things	thing	thing
you	you	you
re	re	re
not	not	not
supposed	suppos	supposed
to	to	to
say	say	say
.	.	.
He	he	He
actually	actual	actually
remembers	rememb	remembers
who	who	who
we	we	we
are	are	are
as	as	a
Americans	american	Americans
and	and	and
just	just	just
speaks	speak	speaks
it	it	it
with	with	with
a	a	a
joy	joy	joy
,	,	,
not	not	not
with	with	with
an	an	an
anger	anger	anger
,	,	,
not	not	not
with	with	with
a	a	a
hatred	hatr	hatred
,	,	,
with	with	with
a	a	a
joy	joy	joy
in	in	in
who	who	who
we	we	we
are	are	are
.	.	.
Then	then	Then
after	after	after
saying	say	saying
he	he	he
d	d	d
name	name	name
Robertson	robertson	Robertson
to	to	to
the	the	the
coveted	covet	coveted
position	posit	position
of	of	of
UN	un	UN
Ambassador	ambassador	Ambassador
,	,	,
he	he	he
said	said	said
How	how	How
much	much	much
would	would	would
you	you	you
pay	pay	pay
to	to	to
see	see	see
the	the	the
Russian	russian	Russian
ambassador	ambassador	ambassador
s	s	s
face	face	face
when	when	when
Phil	phil	Phil
says	say	say
,	,	,
What	what	What
is	is	is
wrong	wrong	wrong
with	with	with
you	you	you
people	peopl	people
?	?	?
'	'	'
Okay	okay	Okay
,	,	,
here	here	here
s	s	s
the	the	the
thing	thing	thing
Russia	russia	Russia
would	would	would
probably	probabl	probably
really	realli	really
like	like	like
Robertson	robertson	Robertson
because	becaus	because
they	they	they
have	have	have
the	the	the
same	same	same
stance	stanc	stance
on	on	on
homosexuality	homosexu	homosexuality
.	.	.
So	so	So
,	,	,
who	who	who
knows	know	know
,	,	,
maybe	mayb	maybe
it	it	it
would	would	would
be	be	be
a	a	a
budding	bud	budding
bromance	bromanc	bromance
.	.	.
If	if	If
Robertson	robertson	Robertson
s	s	s
views	view	view
are	are	are
who	who	who
we	we	we
are	are	are
as	as	a
Americans	american	Americans
then	then	then
,	,	,
quite	quit	quite
frankly	frank	frankly
,	,	,
we	we	we
re	re	re
up	up	up
shits	shit	shit
creek	creek	creek
without	without	without
a	a	a
paddle	paddl	paddle
.	.	.
Most	most	Most
folks	folk	folk
who	who	who
admire	admir	admire
common	common	common
sense	sens	sense
and	and	and
decency	decenc	decency
for	for	for
all	all	all
humans	human	human
regardless	regardless	regardless
of	of	of
