Would	would	Would
CNN	cnn	CNN
even	even	even
know	know	know
the	the	the
truth	truth	truth
if	if	if
it	it	it
bit	bit	bit
them	them	them
in	in	in
the	the	the
a	a	a
?	?	?
The	the	The
media	media	medium
s	s	s
quest	quest	quest
to	to	to
prove	prove	prove
Donald	donald	Donald
Trump	trump	Trump
Jr	jr	Jr
.	.	.
colluded	collud	colluded
with	with	with
Wikileaks	wikileak	Wikileaks
is	is	is
all	all	all
wrong	wrong	wrong
.	.	.
The	the	The
Sept	sept	Sept
.	.	.

14	14	14
email	email	email
to	to	to
Trump	trump	Trump
campaign	campaign	campaign
advertising	advertis	advertising
WikiLeaks	wikileak	WikiLeaks
emails	email	email
promoted	promot	promoted
publicly	public	publicly
available	avail	available
info	info	info
,	,	,
was	was	wa
riddled	riddl	riddled
with	with	with
typos	typo	typo
and	and	and
came	came	came
from	from	from
a	a	a
Trump	trump	Trump
backer	backer	backer
who	who	who
had	had	had
given	given	given
40	40	40
to	to	to
the	the	the
campaign	campaign	campaign
months	month	month
earlier	earlier	earlier
,	,	,
per	per	per
email	email	email
viewed	view	viewed
by	by	by
@WSJ	@wsj	@WSJ
.	.	.

Rebecca	rebecca	Rebecca
Ballhaus	ballhaus	Ballhaus
@rebeccaballhaus	@rebeccaballhaus	@rebeccaballhaus
December	decemb	December
8	8	8
,	,	,
2017Legal	2017legal	2017Legal
Insurrection	insurrect	Insurrection
CNN	cnn	CNN
originally	origin	originally
reported	report	reported
an	an	an
email	email	email
from	from	from
Trump	trump	Trump
Jr	jr	Jr
.	.	.
was	was	wa
sent	sent	sent
10	10	10
days	day	day
later	later	later
,	,	,
a	a	a
factual	factual	factual
inaccuracy	inaccuraci	inaccuracy
that	that	that
led	led	led
to	to	to
a	a	a
false	fals	false
timeline	timelin	timeline
and	and	and
essentially	essenti	essentially
,	,	,
fake	fake	fake
news	news	news
.	.	.

The	the	The
timeline	timelin	timeline
is	is	is
crucial	crucial	crucial
because	becaus	because
it	it	it
proves	prove	prof
Trump	trump	Trump
Jr	jr	Jr
.	.	.
was	was	wa
not	not	not
trading	trade	trading
unknown	unknown	unknown
information	inform	information
,	,	,
but	but	but
that	that	that
someone	someon	someone
was	was	wa
alerting	alert	alerting
him	him	him
to	to	to
information	inform	information
already	alreadi	already
made	made	made
public	public	public
.	.	.

Despite	despit	Despite
claims	claim	claim
to	to	to
the	the	the
contrary	contrari	contrary
,	,	,
Trump	trump	Trump
Jr	jr	Jr
.	.	.
was	was	wa
not	not	not
aware	awar	aware
as	as	a
far	far	far
as	as	a
records	record	record
prove	prove	prove
ofCNN	ofcnn	ofCNN
has	has	ha
published	publish	published
a	a	a
CORRECTION	correct	CORRECTION
and	and	and
updated	updat	updated
this	this	this
story	stori	story
.	.	.

Originally	origin	Originally
CNN	cnn	CNN
said	said	said
the	the	the
email	email	email
was	was	wa
dated	date	dated
Sept	sept	Sept
.	.	.

4	4	4
,	,	,
based	base	based
on	on	on
accounts	account	account
from	from	from
two	two	two
sources	sourc	source
who	who	who
had	had	had
seen	seen	seen
the	the	the
email	email	email
.	.	.
CNN	cnn	CNN
now	now	now
has	has	ha
a	a	a
copy	copi	copy
of	of	of
the	the	the
email	email	email
,	,	,
and	and	and
it's	it	it's
dated	date	dated
Sept	sept	Sept
.	.	.

14	14	14
,	,	,
not	not	not
Sept	sept	Sept
.	.	.

4	4	4
.	.	.

https://t.co/EpvrB43jyU	https://t.co/epvrb43jyu	https://t.co/EpvrB43jyU
Brian	brian	Brian
Stelter	stelter	Stelter
@brianstelter	@brianstelt	@brianstelter
December	decemb	December
8	8	8
,	,	,
2017From	2017from	2017From
CNN	cnn	CNN
s	s	s
report	report	report
,	,	,
which	which	which
has	has	ha
been	been	been
updated	updat	updated
to	to	to
reflect	reflect	reflect
the	the	the
WaPos	wapo	WaPos
findings	find	finding
Candidate	candid	Candidate
Donald	donald	Donald
Trump	trump	Trump
,	,	,
his	his	his
son	son	son
Donald	donald	Donald
Trump	trump	Trump
Jr	jr	Jr
.	.	.
and	and	and
others	other	others
in	in	in
the	the	the
Trump	trump	Trump
Organization	organ	Organization
received	receiv	received
an	an	an
email	email	email
in	in	in
September	septemb	September
2016	2016	2016
offering	offer	offering
a	a	a
decryption	decrypt	decryption
key	key	key
and	and	and
website	websit	website
address	address	address
for	for	for
hacked	hack	hacked
WikiLeaks	wikileak	WikiLeaks
documents	document	document
,	,	,
according	accord	according
to	to	to
an	an	an
email	email	email
provided	provid	provided
to	to	to
congressional	congression	congressional
investigators	investig	investigator
.	.	.
The	the	The
September	septemb	September
14	14	14
email	email	email
was	was	wa
sent	sent	sent
during	dure	during
the	the	the
final	final	final
stretch	stretch	stretch
of	of	of
the	the	the
2016	2016	2016
presidential	presidenti	presidential
race	race	race
.	.	.
CNN	cnn	CNN
originally	origin	originally
reported	report	reported
the	the	the
email	email	email
was	was	wa
released	releas	released
September	septemb	September
4	4	4
10	10	10
days	day	day
earlier	earlier	earlier
based	base	based
on	on	on
accounts	account	account
from	from	from
two	two	two
sources	sourc	source
who	who	who
had	had	had
seen	seen	seen
the	the	the
email	email	email
.	.	.

The	the	The
new	new	new
details	detail	detail
appear	appear	appear
to	to	to
show	show	show
that	that	that
the	the	the
sender	sender	sender
was	was	wa
relying	reli	relying
on	on	on
publicly	public	publicly
available	avail	available
information	inform	information
.	.	.

The	the	The
new	new	new
information	inform	information
indicates	indic	indicates
that	that	that
the	the	the
communication	communic	communication
is	is	is
less	less	le
significant	signific	significant
than	than	than
CNN	cnn	CNN
initially	initi	initially
reported	report	reported
.	.	.
After	after	After
this	this	this
story	stori	story
was	was	wa
published	publish	published
,	,	,
The	the	The
Washington	washington	Washington
Post	post	Post
obtained	obtain	obtained
a	a	a
copy	copi	copy
of	of	of
the	the	the
email	email	email
Friday	friday	Friday
afternoon	afternoon	afternoon
and	and	and
reported	report	reported
that	that	that
the	the	the
email	email	email
urged	urg	urged
Trump	trump	Trump
and	and	and
his	his	his
campaign	campaign	campaign
to	to	to
download	download	download
archives	archiv	archive
that	that	that
WikiLeaks	wikileak	WikiLeaks
had	had	had
made	made	made
public	public	public
a	a	a
day	day	day
earlier	earlier	earlier
.	.	.

The	the	The
story	stori	story
suggested	suggest	suggested
that	that	that
the	the	the
individual	individu	individual
may	may	may
simply	simpli	simply
have	have	have
been	been	been
trying	tri	trying
to	to	to
flag	flag	flag
the	the	the
campaign	campaign	campaign
to	to	to
already	alreadi	already
public	public	public
documents	document	document
.	.	.
CNN	cnn	CNN
has	has	ha
now	now	now
obtained	obtain	obtained
a	a	a
copy	copi	copy
of	of	of
the	the	the
email	email	email
,	,	,
which	which	which
lists	list	list
September	septemb	September
14	14	14
as	as	a
the	the	the
date	date	date
sent	sent	sent
and	and	and
contains	contain	contains
a	a	a
decryption	decrypt	decryption
key	key	key
that	that	that
matches	match	match
what	what	what
WikiLeaks	wikileak	WikiLeaks
had	had	had
tweeted	tweet	tweeted
out	out	out
the	the	the
day	day	day
before	befor	before
.	.	.
After	after	After
obtaining	obtain	obtaining
the	the	the
emails	email	email
,	,	,
the	the	the
