Republicans	republican	Republicans
nationwide	nationwid	nationwide
seem	seem	seem
to	to	to
want	want	want
to	to	to
get	get	get
rid	rid	rid
of	of	of
regulations	regul	regulation
on	on	on
just	just	just
about	about	about
everything	everyth	everything
guns	gun	gun
,	,	,
corporations	corpor	corporation
,	,	,
environmental	environment	environmental
protections	protect	protection
,	,	,
etc	etc	etc
.	.	.
,	,	,
but	but	but
when	when	when
it	it	it
comes	come	come
to	to	to
women	women	woman
,	,	,
they	they	they
can	can	can
t	t	t
regulate	regul	regulate
fast	fast	fast
enough	enough	enough
.	.	.
There	there	There
is	is	is
currently	current	currently
a	a	a
state	state	state
bill	bill	bill
in	in	in
Texas	texa	Texas
that	that	that
just	just	just
passed	pass	passed
through	through	through
the	the	the
Senate	senat	Senate
committee	committe	committee
on	on	on
State	state	State
Affairs	affair	Affairs
unanimously	unanim	unanimously
8	8	8
-0	-0	-0
that	that	that
will	will	will
allow	allow	allow
doctors	doctor	doctor
to	to	to
lie	lie	lie
to	to	to
women	women	woman
about	about	about
anything	anyth	anything
wrong	wrong	wrong
with	with	with
their	their	their
baby	babi	baby
.	.	.
Not	not	Not
only	onli	only
that	that	that
,	,	,
it	it	it
prevents	prevent	prevents
parents	parent	parent
from	from	from
being	be	being
allowed	allow	allowed
to	to	to
sue	sue	sue
.	.	.
According	accord	According
to	to	to
the	the	the
Dallas	dalla	Dallas
Voice	voic	Voice
SB25	sb25	SB25
which	which	which
would	would	would
allow	allow	allow
doctors	doctor	doctor
to	to	to
withhold	withhold	withhold
information	inform	information
from	from	from
pregnant	pregnant	pregnant
women	women	woman
about	about	about
the	the	the
status	status	status
of	of	of
their	their	their
fetus	fetus	fetus
and	and	and
then	then	then
,	,	,
if	if	if
the	the	the
child	child	child
were	were	were
born	born	born
with	with	with
a	a	a
deformity	deform	deformity
or	or	or
disability	disabl	disability
,	,	,
prevent	prevent	prevent
the	the	the
parents	parent	parent
from	from	from
suing	su	suing
the	the	the
doctor	doctor	doctor
for	for	for
withholding	withhold	withholding
the	the	the
information	inform	information
has	has	ha
passed	pass	passed
out	out	out
of	of	of
the	the	the
Senate	senat	Senate
Committee	committe	Committee
on	on	on
State	state	State
Affairs	affair	Affairs
on	on	on
an	an	an
8	8	8
-0	-0	-0
vote	vote	vote
and	and	and
is	is	is
headed	head	headed
to	to	to
the	the	the
full	full	full
Senate	senat	Senate
.	.	.
The	the	The
man	man	man
behind	behind	behind
SB	sb	SB
25	25	25
?	?	?
State	state	State
Sen	sen	Sen
.	.	.
Brandon	brandon	Brandon
Creighton	creighton	Creighton
R	r	R
-	-	-
Conroe	conro	Conroe
.	.	.
senate	senat	senate
.	.	.
texas	texa	texas
.	.	.
govCreighton	govcreighton	govCreighton
is	is	is
described	describ	described
as	as	a
a	a	a
genuine	genuin	genuine
defender	defend	defender
of	of	of
conservative	conserv	conservative
values	valu	value
.	.	.
He	he	He
has	has	ha
relentlessly	relentless	relentlessly
hammered	hammer	hammered
excessive	excess	excessive
taxation	taxat	taxation
,	,	,
pursued	pursu	pursued
loser	loser	loser
pays	pay	pay
tort	tort	tort
reform	reform	reform
,	,	,
passed	pass	passed
drug	drug	drug
testing	test	testing
for	for	for
unemployment	unemploy	unemployment
benefits	benefit	benefit
,	,	,
stood	stood	stood
up	up	up
for	for	for
Texas	texa	Texas
10th	10th	10th
Amendment	amend	Amendment
rights	right	right
and	and	and
effectively	effect	effectively
blocked	block	blocked
Obamacare	obamacar	Obamacare
s	s	s
Medicaid	medicaid	Medicaid
expansion	expans	expansion
.	.	.
So	so	So
,	,	,
really	realli	really
,	,	,
he	he	he
s	s	s
an	an	an
a	a	a
hole	hole	hole
on	on	on
pretty	pretti	pretty
much	much	much
every	everi	every
level	level	level
.	.	.
He	he	He
hates	hate	hate
the	the	the
poor	poor	poor
,	,	,
hates	hate	hate
women	women	woman
,	,	,
and	and	and
hates	hate	hate
people	peopl	people
being	be	being
able	abl	able
to	to	to
sue	sue	sue
companies	compani	company
when	when	when
something	someth	something
happens	happen	happens
to	to	to
them	them	them
because	becaus	because
of	of	of
a	a	a
product	product	product
or	or	or
service	servic	service
.	.	.
When	when	When
it	it	it
comes	come	come
to	to	to
SB	sb	SB
25	25	25
,	,	,
he	he	he
says	say	say
Senate	senat	Senate
Bill	bill	Bill
25	25	25
will	will	will
send	send	send
a	a	a
message	messag	message
that	that	that
Texas	texa	Texas
does	doe	doe
not	not	not
believe	believ	believe
that	that	that
a	a	a
life	life	life
,	,	,
in	in	in
and	and	and
of	of	of
itself	itself	itself
,	,	,
is	is	is
an	an	an
injury	injuri	injury
in	in	in
which	which	which
parents	parent	parent
need	need	need
a	a	a
damage	damag	damage
payment	payment	payment
.	.	.
He	he	He
thinks	think	think
doctors	doctor	doctor
should	should	should
be	be	be
able	abl	able
to	to	to
keep	keep	keep
pertinent	pertin	pertinent
information	inform	information
about	about	about
a	a	a
baby	babi	baby
in	in	in
the	the	the
womb	womb	womb
from	from	from
the	the	the
