Everything	everyth	Everything
about	about	about
this	this	this
muslim	muslim	muslim
boy	boy	boy
s	s	s
story	stori	story
is	is	is
a	a	a
lie	lie	lie
.	.	.

From	from	From
the	the	the
first	first	first
lie	lie	lie
that	that	that
he	he	he
made	made	made
the	the	the
clock	clock	clock
to	to	to
the	the	the
lie	lie	lie
about	about	about
him	him	him
being	be	being
unfairly	unfair	unfairly
targeted	target	targeted
by	by	by
the	the	the
school	school	school
.	.	.

But	but	But
in	in	in
the	the	the
Muslim	muslim	Muslim
faith	faith	faith
,	,	,
it	it	it
s	s	s
okay	okay	okay
to	to	to
lie	lie	lie
taqiya	taqiya	taqiya
as	as	a
long	long	long
as	as	a
you	you	you
re	re	re
promoting	promot	promoting
your	your	your
faith	faith	faith
.	.	.

In	in	In
Shi	shi	Shi
a	a	a
Islam	islam	Islam
,	,	,
taqiya	taqiya	taqiya
taqiyyah	taqiyyah	taqiyyah
taq	taq	taq
yah	yah	yah
is	is	is
a	a	a
form	form	form
of	of	of
religious	religi	religious
veil	veil	veil
,	,	,
or	or	or
a	a	a
legal	legal	legal
dispensation	dispens	dispensation
whereby	wherebi	whereby
a	a	a
believing	believ	believing
individual	individu	individual
can	can	can
deny	deni	deny
his	his	his
faith	faith	faith
or	or	or
commit	commit	commit
otherwise	otherwis	otherwise
illegal	illeg	illegal
or	or	or
blasphemous	blasphem	blasphemous
acts	act	act
,	,	,
especially	especi	especially
while	while	while
they	they	they
are	are	are
in	in	in
fear	fear	fear
or	or	or
at	at	at
risk	risk	risk
of	of	of
significant	signific	significant
persecution	persecut	persecution
.	.	.
Our	our	Our
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
brazenly	brazen	brazenly
supported	support	supported
and	and	and
promoted	promot	promoted
the	the	the
persecution	persecut	persecution
of	of	of
this	this	this
poor	poor	poor
Muslim	muslim	Muslim
boy	boy	boy
Cool	cool	Cool
clock	clock	clock
,	,	,
Ahmed	ahm	Ahmed
.	.	.

Want	want	Want
to	to	to
bring	bring	bring
it	it	it
to	to	to
the	the	the
White	white	White
House	hous	House
?	?	?

We	we	We
should	should	should
inspire	inspir	inspire
more	more	more
kids	kid	kid
like	like	like
you	you	you
to	to	to
like	like	like
science	scienc	science
.	.	.

It's	it	It's
what	what	what
makes	make	make
America	america	America
great	great	great
.	.	.

President	presid	President
Obama	obama	Obama
@POTUS44	@potus44	@POTUS44
September	septemb	September
16	16	16
,	,	,
2015	2015	2015
Cool	cool	Cool
clock	clock	clock
,	,	,
Ahmed	ahm	Ahmed
.	.	.

Want	want	Want
to	to	to
bring	bring	bring
it	it	it
to	to	to
the	the	the
White	white	White
House	hous	House
?	?	?

We	we	We
should	should	should
inspire	inspir	inspire
more	more	more
kids	kid	kid
like	like	like
you	you	you
to	to	to
like	like	like
science	scienc	science
.	.	.

It	it	It
s	s	s
what	what	what
makes	make	make
America	america	America
great	great	great
.	.	.

President	presid	President
Barack	barack	Barack
Obama	obama	Obama
,	,	,
September	septemb	September
16	16	16
,	,	,
2015It	2015it	2015It
was	was	wa
a	a	a
Hoax	hoax	Hoax
.	.	.
Ahmed	ahm	Ahmed
Mohamed	moham	Mohamed
s	s	s
claims	claim	claim
that	that	that
he	he	he
assembled	assembl	assembled
a	a	a
clock	clock	clock
at	at	at
home	home	home
that	that	that
he	he	he
took	took	took
to	to	to
school	school	school
is	is	is
starting	start	starting
to	to	to
unravel	unravel	unravel
.	.	.
Two	two	Two
investigators	investig	investigator
who	who	who
have	have	have
studied	studi	studied
the	the	the
image	imag	image
of	of	of
Mohamed	moham	Mohamed
s	s	s
device	devic	device
provided	provid	provided
by	by	by
Irving	irv	Irving
,	,	,
Texas	texa	Texas
police	polic	police
have	have	have
concluded	conclud	concluded
that	that	that
Mohamed	moham	Mohamed
did	did	did
not	not	not
make	make	make
the	the	the
clock	clock	clock
.	.	.

Both	both	Both
conclude	conclud	conclude
that	that	that
Mohamed	moham	Mohamed
disassembled	disassembl	disassembled
a	a	a
manufactured	manufactur	manufactured
clock	clock	clock
and	and	and
installed	instal	installed
it	it	it
in	in	in
a	a	a
large	larg	large
pencil	pencil	pencil
box	box	box
without	without	without
its	it	it
casing	case	casing
.	.	.

And	and	And
both	both	both
say	say	say
it	it	it
is	is	is
possible	possibl	possible
it	it	it
was	was	wa
done	done	done
to	to	to
provoke	provok	provoke
suspicion	suspicion	suspicion
or	or	or
to	to	to
resemble	resembl	resemble
a	a	a
bomb	bomb	bomb
.	.	.
Update	updat	Update
Clock	clock	Clock
has	has	ha
been	been	been
identified	identifi	identified
as	as	a
being	be	being
sold	sold	sold
in	in	in
a	a	a
1986	1986	1986
Radio	radio	Radio
Shack	shack	Shack
catalogue	catalogu	catalogue
by	by	by
an	an	an
Art	art	Art
Voice	voic	Voice
reader	reader	reader
.	.	.

The	the	The
headline	headlin	headline
and	and	and
text	text	text
for	for	for
this	this	this
article	articl	article
has	has	ha
been	been	been
changed	chang	changed
to	to	to
reflect	reflect	reflect
the	the	the
update	updat	update
.	.	.
14	14	14
-year-old	-year-old	-year-old
Mohamed	moham	Mohamed
,	,	,
a	a	a
Muslim	muslim	Muslim
,	,	,
was	was	wa
briefly	briefli	briefly
arrested	arrest	arrested
and	and	and
investigated	investig	investigated
for	for	for
bringing	bring	bringing
a	a	a
hoax	hoax	hoax
bomb	bomb	bomb
to	to	to
MacArthur	macarthur	MacArthur
High	high	High
School	school	School
in	in	in
Irving	irv	Irving
,	,	,
Texas	texa	Texas
on	on	on
Monday	monday	Monday
.	.	.

He	he	He
was	was	wa
subsequently	subsequ	subsequently
cleared	clear	cleared
.	.	.
Thousands	thousand	Thousands
of	of	of
dollars	dollar	dollar
have	have	have
been	been	been
donated	donat	donated
to	to	to
Ahmed	ahm	Ahmed
Mohamed	moham	Mohamed
in	in	in
just	just	just
the	the	the
past	past	past
few	few	few
days	day	day
,	,	,
reported	report	reported
CNN	cnn	CNN
.	.	.

On	on	On
Monday	monday	Monday
,	,	,
14	14	14
-year-old	-year-old	-year-old
Mohamed	moham	Mohamed
was	was	wa
arrested	arrest	arrested
for	for	for
taking	take	taking
a	a	a
