FOX	fox	FOX
and	and	and
Friends	friend	Friends
spoke	spoke	spoke
with	with	with
Tucker	tucker	Tucker
Carlson	carlson	Carlson
this	this	this
morning	morn	morning
about	about	about
allegations	alleg	allegation
President	presid	President
Trump	trump	Trump
made	made	made
on	on	on
Twitter	twitter	Twitter
over	over	over
the	the	the
weekend	weekend	weekend
about	about	about
Obama	obama	Obama
wiretapping	wiretap	wiretapping
Trump	trump	Trump
Towers	tower	Towers
prior	prior	prior
to	to	to
the	the	the
election	elect	election
.	.	.
Steve	steve	Steve
Doocy	dooci	Doocy
asked	ask	asked
Tucker	tucker	Tucker
what	what	what
he	he	he
thinks	think	think
about	about	about
the	the	the
Trump	trump	Trump
allegations	alleg	allegation
of	of	of
wiretapping	wiretap	wiretapping
by	by	by
Barack	barack	Barack
Obama	obama	Obama
.	.	.

Carlson	carlson	Carlson
responds	respond	responds
by	by	by
saying	say	saying
,	,	,
This	this	This
is	is	is
a	a	a
real	real	real
problem	problem	problem
.	.	.

The	the	The
US	us	US
government	govern	government
spying	spi	spying
on	on	on
its	it	it
own	own	own
citizens	citizen	citizen
is	is	is
a	a	a
longstanding	longstand	longstanding
fact	fact	fact
.	.	.

It	it	It
s	s	s
a	a	a
huge	huge	huge
problem	problem	problem
and	and	and
it	it	it
s	s	s
clouded	cloud	clouded
by	by	by
deceit	deceit	deceit
and	and	and
evasion	evas	evasion
.	.	.

Just	just	Just
,	,	,
here	here	here
s	s	s
one	one	one
fact	fact	fact
We	we	We
don	don	don
t	t	t
know	know	know
how	how	how
many	mani	many
Americans	american	Americans
have	have	have
their	their	their
communications	communic	communication
swept	swept	swept
up	up	up
by	by	by
because	becaus	because
the	the	the
intelligence	intellig	intelligence
community	communiti	community
won	won	won
t	t	t
tell	tell	tell
us	us	u
.	.	.

Not	not	Not
only	onli	only
will	will	will
they	they	they
not	not	not
tell	tell	tell
us	us	u
,	,	,
they	they	they
won	won	won
t	t	t
tell	tell	tell
the	the	the
Congress	congress	Congress
which	which	which
is	is	is
supposed	suppos	supposed
to	to	to
provide	provid	provide
oversight	oversight	oversight
to	to	to
them	them	them
.	.	.

They	they	They
ve	ve	ve
been	been	been
asked	ask	asked
directly	direct	directly
and	and	and
they	they	they
say	say	say
,	,	,
we	we	we
don	don	don
t	t	t
know	know	know
and	and	and
we	we	we
re	re	re
not	not	not
going	go	going
to	to	to
find	find	find
out	out	out
.	.	.

So	so	So
,	,	,
this	this	this
is	is	is
an	an	an
infuriating	infuri	infuriating
problem	problem	problem
.	.	.

We	we	We
know	know	know
for	for	for
a	a	a
fact	fact	fact
that	that	that
the	the	the
National	nation	National
Security	secur	Security
Advisor	advisor	Advisor
,	,	,
when	when	when
he	he	he
was	was	wa
a	a	a
private	privat	private
citizen	citizen	citizen
,	,	,
before	befor	before
the	the	the
inauguration	inaugur	inauguration
,	,	,
was	was	wa
surveilled	surveil	surveilled
by	by	by
the	the	the
FBI	fbi	FBI
and	and	and
that	that	that
that	that	that
was	was	wa
leaked	leak	leaked
.	.	.

That	that	That
s	s	s
a	a	a
felony	feloni	felony
.	.	.

We	we	We
know	know	know
this	this	this
stuff	stuff	stuff
happens	happen	happens
,	,	,
and	and	and
we	we	we
know	know	know
that	that	that
it	it	it
has	has	ha
a	a	a
corrosive	corros	corrosive
effect	effect	effect
on	on	on
government	govern	government
and	and	and
our	our	our
civic	civic	civic
life	life	life
and	and	and
yet	yet	yet
we	we	we
re	re	re
not	not	not
debating	debat	debating
it	it	it
at	at	at
all	all	all
.	.	.

Partly	part	Partly
because	becaus	because
Twitter	twitter	Twitter
is	is	is
not	not	not
the	the	the
way	way	way
to	to	to
raise	rais	raise
this	this	this
issue	issu	issue
,	,	,
and	and	and
partly	part	partly
because	becaus	because
the	the	the
Democrats	democrat	Democrats
don	don	don
t	t	t
want	want	want
to	to	to
talk	talk	talk
about	about	about
it	it	it
.	.	.

But	but	But
,	,	,
I	i	I
guess	guess	guess
the	the	the
bottom	bottom	bottom
line	line	line
is	is	is
,	,	,
yes	yes	yes
,	,	,
this	this	this
is	is	is
plausible	plausibl	plausible
and	and	and
we	we	we
need	need	need
to	to	to
find	find	find
out	out	out
what	what	what
happened	happen	happened
and	and	and
it	it	it
doesn	doesn	doesn
t	t	t
seem	seem	seem
like	like	like
we	we	we
re	re	re
moving	move	moving
in	in	in
the	the	the
direction	direct	direction
of	of	of
finding	find	finding
out	out	out
.	.	.

Ainsley	ainsley	Ainsley
Earhardt	earhardt	Earhardt
asks	ask	asks
Tucker	tucker	Tucker
Carlson	carlson	Carlson
,	,	,
What	what	What
happens	happen	happens
next	next	next
though	though	though
Tucker	tucker	Tucker
,	,	,
going	go	going
forward	forward	forward
?	?	?

Will	will	Will
we	we	we
be	be	be
able	abl	able
to	to	to
find	find	find
out	out	out
any	ani	any
of	of	of
this	this	this
information	inform	information
,	,	,
or	or	or
will	will	will
is	is	is
it	it	it
something	someth	something
that	that	that
will	will	will
just	just	just
be	be	be
swept	swept	swept
under	under	under
the	the	the
rug	rug	rug
again	again	again
?	?	?

Tucker	tucker	Tucker
responds	respond	responds
,	,	,
The	the	The
President	presid	President
himself	himself	himself
can	can	can
find	find	find
out	out	out
.	.	.

And	and	And
he	he	he
can	can	can
let	let	let
the	the	the
rest	rest	rest
of	of	of
us	us	u
know	know	know
by	by	by
declassifying	declassifi	declassifying
this	this	this
information	inform	information
.	.	.

He	he	He
has	has	ha
the	the	the
power	power	power
to	to	to
do	do	do
that	that	that
.	.	.

He	he	He
can	can	can
unilaterally	unilater	unilaterally
declassify	declassifi	declassify
whatever	whatev	whatever
he	he	he
wants	want	want
.	.	.

And	and	And
I	i	I
hope	hope	hope
that	that	that
he	he	he
will	will	will
.	.	.

Because	becaus	Because
a	a	a
lot	lot	lot
of	of	of
people	peopl	people
like	like	like
me	me	me
,	,	,
who	who	who
have	have	have
lived	live	lived
here	here	here
you	you	you
know	know	know
,	,	,
my	my	my
whole	whole	whole
life	life	life
and	and	and
have	have	have
watched	watch	watched
this	this	this
stuff	stuff	stuff
happen	happen	happen
,	,	,
are	are	are
very	veri	very
suspicious	suspici	suspicious
that	that	that
this	this	this
kind	kind	kind
of	of	of
thing	thing	thing
happens	happen	happens
regularly	regular	regularly
.	.	.

And	and	And
again	again	again
,	,	,
that	that	that
shakes	shake	shake
everyone	everyon	everyone
s	s	s
faith	faith	faith
in	in	in
the	the	the
institution	institut	institution
of	of	of
government	govern	government
.	.	.

It	it	It
s	s	s
terrible	terribl	terrible
.	.	.

It	it	It
has	has	ha
a	a	a
chilling	chill	chilling
effect	effect	effect
in	in	in
the	the	the
most	most	most
basic	basic	basic
way	way	way
.	.	.

If	if	If
you	you	you
think	think	think
that	that	that
the	the	the
government	govern	government
is	is	is
listening	listen	listening
to	to	to
you	you	you
,	,	,
that	that	that
your	your	your
political	polit	political
enemies	enemi	enemy
can	can	can
destroy	destroy	destroy
you	you	you
,	,	,
if	if	if
you	you	you
step	step	step
out	out	out
of	of	of
line	line	line
,	,	,
then	then	then
you	you	you
re	re	re
no	no	no
longer	longer	longer
living	live	living
in	in	in
a	a	a
free	free	free
society	societi	society
.	.	.

Brian	brian	Brian
Kilmeade	kilmead	Kilmeade
points	point	point
out	out	out
to	to	to
Tucker	tucker	Tucker
that	that	that
President	presid	President
Obama	obama	Obama
may	may	may
have	have	have
finally	final	finally
met	met	met
his	his	his
match	match	match
When	when	When
they	they	they
re	re	re
going	go	going
after	after	after
Trump	trump	Trump
or	or	or
they	they	they
re	re	re
trying	tri	trying
to	to	to
do	do	do
this	this	this
,	,	,
they	they	they
ve	ve	ve
never	never	never
quite	quit	quite
met	met	met
somebody	somebodi	somebody
who	who	who
fights	fight	fight
like	like	like
this	this	this
.	.	.

He	he	He
fights	fight	fight
harder	harder	harder
than	than	than
anybody	anybodi	anybody
else	els	else
maybe	mayb	maybe
in	in	in
the	the	the
country	countri	country
,	,	,
and	and	and
he	he	he
ll	ll	ll
be	be	be
defensive	defens	defensive
.	.	.

So	so	So
when	when	when
he	he	he
says	say	say
,	,	,
Oh	oh	Oh
,	,	,
you	you	you
re	re	re
coming	come	coming
after	after	after
me	me	me
,	,	,
you	you	you
ve	ve	ve
got	got	got
this	this	this
intelligence	intellig	intelligence
bureau	bureau	bureau
that	that	that
seems	seem	seems
to	to	to
be	be	be
turning	turn	turning
on	on	on
me	me	me
,	,	,
fine	fine	fine
,	,	,
I	i	I
m	m	m
going	go	going
after	after	after
you	you	you
twice	twice	twice
as	as	a
hard	hard	hard
.	.	.

I	i	I
think	think	think
that	that	that
President	presid	President
Obama	obama	Obama
in	in	in
his	his	his
retirement	retir	retirement
,	,	,
may	may	may
be	be	be
in	in	in
the	the	the
dust	dust	dust
up	up	up
of	of	of
his	his	his
career	career	career
right	right	right
now	now	now
,	,	,
because	becaus	because
he	he	he
s	s	s
never	never	never
had	had	had
an	an	an
opponent	oppon	opponent
like	like	like
this	this	this
.	.	.

14	14	14
Republicans	republican	Republicans
couldn	couldn	couldn
t	t	t
handle	handl	handle
him	him	him
,	,	,
Hillary	hillari	Hillary
Clinton	clinton	Clinton
couldn	couldn	couldn
t	t	t
handle	handl	handle
him	him	him
and	and	and
now	now	now
he	he	he
s	s	s
trying	tri	trying
to	to	to
handle	handl	handle
him	him	him
,	,	,
and	and	and
he	he	he
can	can	can
t	t	t
!	!	!

Steve	steve	Steve
Doocy	dooci	Doocy
of	of	of
FOX	fox	FOX
News	news	News
pointed	point	pointed
out	out	out
how	how	how
the	the	the
media	media	medium
is	is	is
not	not	not
surprisingly	surpris	surprisingly
,	,	,
totally	total	totally
taking	take	taking
Barack	barack	Barack
Obama	obama	Obama
s	s	s
side	side	side
on	on	on
this	this	this
