Nobody	nobodi	Nobody
with	with	with
any	ani	any
brains	brain	brain
has	has	ha
ever	ever	ever
accused	accus	accused
Rush	rush	Rush
Limbaugh	limbaugh	Limbaugh
of	of	of
understanding	understand	understanding
pretty	pretti	pretty
much	much	much
anything	anyth	anything
at	at	at
all	all	all
,	,	,
but	but	but
his	his	his
latest	latest	latest
bout	bout	bout
with	with	with
doltishness	doltish	doltishness
just	just	just
went	went	went
way	way	way
over	over	over
the	the	the
line	line	line
,	,	,
even	even	even
for	for	for
him	him	him
.	.	.
While	while	While
whining	whine	whining
up	up	up
a	a	a
storm	storm	storm
about	about	about
decaying	decay	decaying
sexual	sexual	sexual
morality	moral	morality
in	in	in
this	this	this
country	countri	country
,	,	,
he	he	he
tried	tri	tried
to	to	to
paint	paint	paint
the	the	the
left	left	left
as	as	a
hypocrites	hypocrit	hypocrite
because	becaus	because
we	we	we
tolerate	toler	tolerate
anything	anyth	anything
sexual	sexual	sexual
as	as	a
long	long	long
as	as	a
there	there	there
s	s	s
consent	consent	consent
.	.	.
When	when	When
there	there	there
s	s	s
no	no	no
consent	consent	consent
,	,	,
we	we	we
send	send	send
out	out	out
the	the	the
rape	rape	rape
police	polic	police
,	,	,
and	and	and
apparently	appar	apparently
,	,	,
this	this	this
is	is	is
a	a	a
problem	problem	problem
.	.	.
Have	have	Have
you	you	you
ever	ever	ever
heard	heard	heard
anything	anyth	anything
so	so	so
completely	complet	completely
asinine	asinin	asinine
in	in	in
your	your	your
life	life	life
?	?	?
What	what	What
people	peopl	people
do	do	do
in	in	in
their	their	their
bedrooms	bedroom	bedroom
is	is	is
their	their	their
business	busi	business
,	,	,
but	but	but
all	all	all
bets	bet	bet
are	are	are
off	off	off
when	when	when
there	there	there
s	s	s
no	no	no
consent	consent	consent
.	.	.
Sex	sex	Sex
must	must	must
be	be	be
consensual	consensu	consensual
or	or	or
it	it	it
s	s	s
rape	rape	rape
.	.	.
End	end	End
of	of	of
story	stori	story
.	.	.
However	howev	However
,	,	,
Limbaugh	limbaugh	Limbaugh
actually	actual	actually
sees	see	see
that	that	that
as	as	a
evidence	evid	evidence
of	of	of
major	major	major
hypocrisy	hypocrisi	hypocrisy
when	when	when
it	it	it
comes	come	come
to	to	to
Trump	trump	Trump
s	s	s
damning	damn	damning
hot	hot	hot
mic	mic	mic
moment	moment	moment
,	,	,
where	where	where
he	he	he
admitted	admit	admitted
to	to	to
sexually	sexual	sexually
assaulting	assault	assaulting
women	women	woman
.	.	.
He	he	He
said	said	said
You	you	You
know	know	know
what	what	what
the	the	the
magic	magic	magic
word	word	word
,	,	,
the	the	the
only	onli	only
thing	thing	thing
that	that	that
matters	matter	matter
in	in	in
American	american	American
sexual	sexual	sexual
mores	more	more
today	today	today
is	is	is
?	?	?
One	one	One
thing	thing	thing
.	.	.
You	you	You
can	can	can
do	do	do
anything	anyth	anything
,	,	,
the	the	the
left	left	left
will	will	will
promote	promot	promote
and	and	and
understand	understand	understand
and	and	and
tolerate	toler	tolerate
anything	anyth	anything
,	,	,
as	as	a
long	long	long
as	as	a
there	there	there
is	is	is
one	one	one
element	element	element
.	.	.
Do	do	Do
you	you	you
know	know	know
what	what	what
it	it	it
is	is	is
?	?	?
Consent	consent	Consent
.	.	.
If	if	If
there	there	there
is	is	is
consent	consent	consent
on	on	on
both	both	both
or	or	or
all	all	all
three	three	three
or	or	or
all	all	all
four	four	four
,	,	,
however	howev	however
many	mani	many
are	are	are
involved	involv	involved
in	in	in
the	the	the
sex	sex	sex
act	act	act
,	,	,
it	it	it
s	s	s
perfectly	perfect	perfectly
fine	fine	fine
.	.	.
Whatever	whatev	Whatever
it	it	it
is	is	is
.	.	.
But	but	But
if	if	if
the	the	the
left	left	left
ever	ever	ever
senses	sens	sens
and	and	and
smells	smell	smell
that	that	that
there	there	there
s	s	s
no	no	no
consent	consent	consent
in	in	in
part	part	part
of	of	of
the	the	the
equation	equat	equation
then	then	then
here	here	here
come	come	come
the	the	the
rape	rape	rape
police	polic	police
.	.	.
But	but	But
consent	consent	consent
is	is	is
the	the	the
magic	magic	magic
key	key	key
to	to	to
the	the	the
left	left	left
.	.	.
Listen	listen	Listen
to	to	to
this	this	this
vile	vile	vile
,	,	,
pathetic	pathet	pathetic
,	,	,
diseased	diseas	diseased
beer	beer	beer
turd	turd	turd
of	of	of
a	a	a
man	man	man
below	below	below
,	,	,
because	becaus	because
holy	holi	holy
shit	shit	shit
Of	of	Of
course	cours	course
,	,	,
this	this	this
is	is	is
also	also	also
the	the	the
man	man	man
that	that	that
said	said	said
we	we	we
would	would	would
legalize	legal	legalize
rape	rape	rape
if	if	if
we	we	we
could	could	could
because	becaus	because
we	we	we
d	d	d
just	just	just
call	call	call
it	it	it
the	the	the
Civil	civil	Civil
Rights	right	Rights
Act	act	Act
of	of	of
2016	2016	2016
.	.	.
That	that	That
s	s	s
kind	kind	kind
of	of	of
odd	odd	odd
,	,	,
though	though	though
,	,	,
considering	consid	considering
Limbaugh	limbaugh	Limbaugh
is	is	is
now	now	now
jumping	jump	jumping
on	on	on
us	us	u
for	for	for
sending	send	sending
out	out	out
the	the	the
rape	rape	rape
police	polic	police
whenever	whenev	whenever
we	we	we
see	see	see
instances	instanc	instance
of	of	of
rape	rape	rape
.	.	.
When	when	When
he	he	he
brought	brought	brought
this	this	this
up	up	up
,	,	,
he	he	he
was	was	wa
discussing	discuss	discussing
bathroom	bathroom	bathroom
bills	bill	bill
intended	intend	intended
to	to	to
keep	keep	keep
transgender	transgend	transgender
people	peopl	people
out	out	out
of	of	of
the	the	the
bathrooms	bathroom	bathroom
that	that	that
correspond	correspond	correspond
with	with	with
their	their	their
identities	ident	identity
Now	now	Now
civil	civil	civil
rights	right	right
is	is	is
being	be	being
expanded	expand	expanded
.	.	.
Civil	civil	Civil
rights	right	right
,	,	,
gay	gay	gay
marriage	marriag	marriage
;	;	;
civil	civil	civil
rights	right	right
,	,	,
transgender	transgend	transgender
bathroom	bathroom	bathroom
rights	right	right
;	;	;
civil	civil	civil
rights	right	right
,	,	,
whatever	whatev	whatever
the	the	the
left	left	left
wants	want	want
.	.	.
Except	except	Except
over	over	over
here	here	here
,	,	,
rape	rape	rape
has	has	ha
become	becom	become
a	a	a
safety	safeti	safety
issue	issu	issue
.	.	.
Sexual	sexual	Sexual
assault	assault	assault
is	is	is
a	a	a
safety	safeti	safety
issue	issu	issue
,	,	,
but	but	but
only	onli	only
when	when	when
we	we	we
re	re	re
talking	talk	talking
about	about	about
people	peopl	people
that	that	that
Limbaugh	limbaugh	Limbaugh
and	and	and
his	his	his
loyal	loyal	loyal
fans	fan	fan
hate	hate	hate
.	.	.
It	it	It
s	s	s
just	just	just
words	word	word
when	when	when
Donald	donald	Donald
Trump	trump	Trump
brags	brag	brag
about	about	about
actually	actual	actually
doing	do	doing
it	it	it
.	.	.
Put	put	Put
another	anoth	another
way	way	way
,	,	,
these	these	these
people	peopl	people
are	are	are
terrified	terrifi	terrified
of	of	of
sexual	sexual	sexual
predators	predat	predator
posing	pose	posing
as	as	a
transgender	transgend	transgender
people	peopl	people
and	and	and
invading	invad	invading
women	women	woman
s	s	s
public	public	public
restrooms	restroom	restroom
,	,	,
despite	despit	despite
the	the	the
fact	fact	fact
that	that	that
there	there	there
s	s	s
no	no	no
evidence	evid	evidence
this	this	this
happens	happen	happens
.	.	.
However	howev	However
,	,	,
their	their	their
lord	lord	lord
and	and	and
savior	savior	savior
,	,	,
Donald	donald	Donald
Trump	trump	Trump
,	,	,
can	can	can
brag	brag	brag
about	about	about
actually	actual	actually
assaulting	assault	assaulting
women	women	woman
and	and	and
he	he	he
s	s	s
just	just	just
saying	say	saying
words	word	word
.	.	.
No	no	No
concern	concern	concern
for	for	for
the	the	the
safety	safeti	safety
of	of	of
women	women	woman
who	who	who
encounter	encount	encounter
him	him	him
at	at	at
all	all	all
.	.	.
Hypocrisy	hypocrisi	Hypocrisy
?	?	?
Nobody	nobodi	Nobody
s	s	s
being	be	being
hypocritical	hypocrit	hypocritical
except	except	except
the	the	the
Trump	trump	Trump
-supporting	-support	-supporting
right	right	right
.	.	.
And	and	And
if	if	if
Limbaugh	limbaugh	Limbaugh
can	can	can
t	t	t
understand	understand	understand
what	what	what
consent	consent	consent
is	is	is
,	,	,
and	and	and
how	how	how
lack	lack	lack
of	of	of
consent	consent	consent
literally	liter	literally
means	mean	mean
sexual	sexual	sexual
assault	assault	assault
