Yesterday	yesterday	Yesterday
,	,	,
The	the	The
New	new	New
York	york	York
Times	time	Times
ran	ran	ran
a	a	a
story	stori	story
in	in	in
which	which	which
they	they	they
gave	gave	gave
moving	move	moving
accounts	account	account
of	of	of
two	two	two
women	women	woman
who	who	who
say	say	say
that	that	that
Donald	donald	Donald
Trump	trump	Trump
sexually	sexual	sexually
assaulted	assault	assaulted
them	them	them
.	.	.
Trump	trump	Trump
maintains	maintain	maintains
that	that	that
his	his	his
boasts	boast	boast
about	about	about
being	be	being
allowed	allow	allowed
to	to	to
assault	assault	assault
women	women	woman
because	becaus	because
he	he	he
s	s	s
got	got	got
star	star	star
power	power	power
were	were	were
just	just	just
words	word	word
,	,	,
and	and	and
that	that	that
he	he	he
s	s	s
never	never	never
done	done	done
such	such	such
a	a	a
thing	thing	thing
.	.	.
In	in	In
a	a	a
sorry	sorri	sorry
attempt	attempt	attempt
to	to	to
maintain	maintain	maintain
the	the	the
illusion	illus	illusion
that	that	that
he	he	he
s	s	s
a	a	a
good	good	good
person	person	person
,	,	,
Trump	trump	Trump
has	has	ha
had	had	had
his	his	his
lawyers	lawyer	lawyer
send	send	send
the	the	the
Times	time	Times
an	an	an
official	offici	official
cease	ceas	cease
-and-desist	-and-desist	-and-desist
,	,	,
claiming	claim	claiming
the	the	the
story	stori	story
amounts	amount	amount
to	to	to
libel	libel	libel
.	.	.
The	the	The
strange	strang	strange
thing	thing	thing
is	is	is
that	that	that
the	the	the
bulk	bulk	bulk
of	of	of
this	this	this
letter	letter	letter
appears	appear	appears
to	to	to
be	be	be
directed	direct	directed
at	at	at
the	the	the
women	women	woman
that	that	that
the	the	the
Times	time	Times
spoke	spoke	spoke
to	to	to
than	than	than
it	it	it
is	is	is
to	to	to
the	the	the
Times	time	Times
itself	itself	itself
Y	y	Y
ou	ou	ou
apparently	appar	apparently
performed	perform	performed
an	an	an
entirely	entir	entirely
inadequate	inadequ	inadequate
investigation	investig	investigation
to	to	to
test	test	test
the	the	the
veracity	verac	veracity
of	of	of
these	these	these
false	fals	false
and	and	and
malicious	malici	malicious
allegations	alleg	allegation
,	,	,
including	includ	including
why	whi	why
these	these	these
two	two	two
individuals	individu	individual
waited	wait	waited
,	,	,
in	in	in
one	one	one
case	case	case
,	,	,
11	11	11
years	year	year
,	,	,
and	and	and
,	,	,
in	in	in
another	anoth	another
case	case	case
,	,	,
more	more	more
than	than	than
three	three	three
decades	decad	decade
,	,	,
before	befor	before
deciding	decid	deciding
to	to	to
come	come	come
forward	forward	forward
with	with	with
these	these	these
false	fals	false
and	and	and
defamatory	defamatori	defamatory
statements	statement	statement
.	.	.
And	and	And
there	there	there
it	it	it
is	is	is
.	.	.
Assassinating	assassin	Assassinating
the	the	the
characters	charact	character
of	of	of
the	the	the
victims	victim	victim
by	by	by
saying	say	saying
that	that	that
,	,	,
if	if	if
they	they	they
d	d	d
really	realli	really
been	been	been
assaulted	assault	assaulted
sexually	sexual	sexually
,	,	,
they	they	they
d	d	d
have	have	have
come	come	come
forward	forward	forward
right	right	right
away	away	away
,	,	,
is	is	is
a	a	a
very	veri	very
typical	typic	typical
ploy	ploy	ploy
for	for	for
those	those	those
trying	tri	trying
to	to	to
defend	defend	defend
themselves	themselv	themselves
against	against	against
such	such	such
allegations	alleg	allegation
.	.	.
But	but	But
there	there	there
s	s	s
still	still	still
nothing	noth	nothing
in	in	in
there	there	there
about	about	about
what	what	what
,	,	,
specifically	specif	specifically
,	,	,
is	is	is
false	fals	false
in	in	in
the	the	the
Times	time	Times
story	stori	story
and	and	and
how	how	how
they	they	they
know	know	know
the	the	the
Times	time	Times
knowingly	know	knowingly
published	publish	published
a	a	a
false	fals	false
story	stori	story
.	.	.
Trump	trump	Trump
s	s	s
victims	victim	victim
could	could	could
all	all	all
find	find	find
their	their	their
names	name	name
and	and	and
characters	charact	character
dragged	drag	dragged
through	through	through
the	the	the
mud	mud	mud
because	becaus	because
of	of	of
this	this	this
,	,	,
and	and	and
make	make	make
no	no	no
mistake	mistak	mistake
,	,	,
he	he	he
will	will	will
do	do	do
that	that	that
as	as	a
loudly	loud	loudly
as	as	a
he	he	he
can	can	can
.	.	.
The	the	The
fear	fear	fear
of	of	of
having	have	having
that	that	that
happen	happen	happen
,	,	,
and	and	and
of	of	of
not	not	not
being	be	being
believed	believ	believed
,	,	,
keeps	keep	keep
many	mani	many
sexual	sexual	sexual
assault	assault	assault
victims	victim	victim
from	from	from
coming	come	coming
forward	forward	forward
.	.	.
And	and	And
that	that	that
could	could	could
easily	easili	easily
be	be	be
why	whi	why
Trump	trump	Trump
is	is	is
doing	do	doing
this	this	this
.	.	.
However	howev	However
,	,	,
his	his	his
method	method	method
appears	appear	appears
to	to	to
be	be	be
two	two	two
-fold	-fold	-fold
In	in	In
addition	addit	addition
to	to	to
intimidating	intimid	intimidating
and	and	and
bullying	bulli	bullying
his	his	his
victims	victim	victim
,	,	,
he	he	he
s	s	s
also	also	also
intimidating	intimid	intimidating
and	and	and
bullying	bulli	bullying
press	press	press
outlets	outlet	outlet
.	.	.
The	the	The
hope	hope	hope
there	there	there
would	would	would
be	be	be
that	that	that
they	they	they
won	won	won
t	t	t
give	give	give
a	a	a
voice	voic	voice
to	to	to
any	ani	any
more	more	more
of	of	of
his	his	his
victims	victim	victim
out	out	out
of	of	of
fear	fear	fear
of	of	of
getting	get	getting
sued	su	sued
.	.	.
This	this	This
isn	isn	isn
t	t	t
the	the	the
only	onli	only
absurdity	absurd	absurdity
in	in	in
the	the	the
letter	letter	letter
,	,	,
but	but	but
it	it	it
is	is	is
the	the	the
most	most	most
damning	damn	damning
,	,	,
given	given	given
its	it	it
possible	possibl	possible
intent	intent	intent
.	.	.
The	the	The
letter	letter	letter
also	also	also
makes	make	make
it	it	it
political	polit	political
instead	instead	instead
of	of	of
naming	name	naming
specific	specif	specific
falsehoods	falsehood	falsehood
,	,	,
which	which	which
is	is	is
outright	outright	outright
ridiculous	ridicul	ridiculous
if	if	if
this	this	this
is	is	is
a	a	a
serious	serious	serious
cease	ceas	cease
-and-desist	-and-desist	-and-desist
Your	your	Your
article	articl	article
is	is	is
reckless	reckless	reckless
,	,	,
defamatory	defamatori	defamatory
and	and	and
constitutes	constitut	constitutes
libel	libel	libel
per	per	per
se	se	se
.	.	.
It	it	It
is	is	is
apparent	appar	apparent
from	from	from
,	,	,
among	among	among
other	other	other
things	thing	thing
,	,	,
the	the	the
timing	time	timing
of	of	of
the	the	the
article	articl	article
,	,	,
that	that	that
it	it	it
is	is	is
nothing	noth	nothing
more	more	more
than	than	than
a	a	a
politically	polit	politically
-motivated	-motiv	-motivated
effort	effort	effort
to	to	to
defeat	defeat	defeat
Mr	mr	Mr
.	.	.
Trump	trump	Trump
s	s	s
candidacy	candidaci	candidacy
Clearly	clear	Clearly
,	,	,
The	the	The
New	new	New
York	york	York
Times	time	Times
is	is	is
willing	will	willing
to	to	to
provide	provid	provide
a	a	a
platform	platform	platform
to	to	to
anyone	anyon	anyone
wishing	wish	wishing
to	to	to
smear	smear	smear
Mr	mr	Mr
.	.	.
Trump	trump	Trump
s	s	s
name	name	name
and	and	and
reputation	reput	reputation
prior	prior	prior
to	to	to
the	the	the
election	elect	election
irrespective	irrespect	irrespective
of	of	of
whether	whether	whether
the	the	the
alleged	alleg	alleged
statements	statement	statement
have	have	have
any	ani	any
basis	basi	basis
in	in	in
fact	fact	fact
.	.	.
Really	realli	Really
?	?	?
That	that	That
s	s	s
a	a	a
hell	hell	hell
of	of	of
a	a	a
thing	thing	thing
to	to	to
say	say	say
in	in	in
a	a	a
cease	ceas	cease
-and-desist	-and-desist	-and-desist
.	.	.
The	the	The
letter	letter	letter
itself	itself	itself
is	is	is
politically	polit	politically
motivated	motiv	motivated
it	it	it
s	s	s
actually	actual	actually
quite	quit	quite
difficult	difficult	difficult
to	to	to
believe	believ	believe
that	that	that
an	an	an
actual	actual	actual
lawyer	lawyer	lawyer
wrote	wrote	wrote
this	this	this
baloney	baloney	baloney
.	.	.
Here	here	Here
s	s	s
what	what	what
a	a	a
strong	strong	strong
cease	ceas	cease
-and-desist	-and-desist	-and-desist
letter	letter	letter
should	should	should
contain	contain	contain
,	,	,
and	and	and
this	this	this
is	is	is
a	a	a
template	templat	template
of	of	of
a	a	a
decent	decent	decent
cease	ceas	cease
-and-desist	-and-desist	-and-desist
.	.	.
This	this	This
idiocy	idioci	idiocy
meets	meet	meet
none	none	none
of	of	of
the	the	the
conditions	condit	condition
it	it	it
needs	need	need
to	to	to
.	.	.
CNNMoney	cnnmoney	CNNMoney
reports	report	report
that	that	that
Trump	trump	Trump
has	has	ha
also	also	also
threatened	threaten	threatened
the	the	the
Palm	palm	Palm
Beach	beach	Beach
Post	post	Post
for	for	for
publishing	publish	publishing
a	a	a
separate	separ	separate
story	stori	story
from	from	from
yet	yet	yet
another	anoth	another
victim	victim	victim
.	.	.
Besides	besid	Besides
that	that	that
,	,	,
the	the	the
Trump	trump	Trump
campaign	campaign	campaign
told	told	told
Times	time	Times
reporter	report	reporter
Megan	megan	Megan
Twohey	twohey	Twohey
that	that	that
he	he	he
would	would	would
sue	sue	sue
if	if	if
they	they	they
published	publish	published
the	the	the
story	stori	story
.	.	.
She	she	She
received	receiv	received
her	her	her
own	own	own
letter	letter	letter
yesterday	yesterday	yesterday
afternoon	afternoon	afternoon
and	and	and
was	was	wa
called	call	called
a	a	a
disgusting	disgust	disgusting
human	human	human
being	be	being
.	.	.
A	a	A
lawsuit	lawsuit	lawsuit
against	against	against
the	the	the
Times	time	Times
would	would	would
uncover	uncov	uncover
everything	everyth	everything
and	and	and
probably	probabl	probably
sink	sink	sink
