Hearing	hear	Hearing
about	about	about
violence	violenc	violence
at	at	at
Trump	trump	Trump
s	s	s
rallies	ralli	rally
was	was	wa
a	a	a
regular	regular	regular
occurrence	occurr	occurrence
during	dure	during
his	his	his
2016	2016	2016
campaign	campaign	campaign
and	and	and
that	that	that
violence	violenc	violence
was	was	wa
often	often	often
brought	brought	brought
on	on	on
by	by	by
Trump	trump	Trump
himself	himself	himself
.	.	.
At	at	At
a	a	a
rally	ralli	rally
back	back	back
in	in	in
March	march	March
of	of	of
2016	2016	2016
,	,	,
Trump	trump	Trump
yelled	yell	yelled
,	,	,
Get	get	Get
em	em	em
out	out	out
of	of	of
here	here	here
,	,	,
referencing	referenc	referencing
the	the	the
peaceful	peac	peaceful
protesters	protest	protester
in	in	in
the	the	the
crowd	crowd	crowd
,	,	,
which	which	which
then	then	then
prompted	prompt	prompted
his	his	his
supporters	support	supporter
to	to	to
physically	physic	physically
attack	attack	attack
them	them	them
.	.	.
The	the	The
protesters	protest	protester
who	who	who
were	were	were
attacked	attack	attacked
brought	brought	brought
suit	suit	suit
against	against	against
Trump	trump	Trump
and	and	and
it	it	it
looks	look	look
like	like	like
he	he	he
s	s	s
finally	final	finally
going	go	going
to	to	to
have	have	have
to	to	to
pay	pay	pay
for	for	for
it	it	it
in	in	in
more	more	more
ways	way	way
than	than	than
one	one	one
.	.	.
Trump	trump	Trump
s	s	s
lawyers	lawyer	lawyer
have	have	have
been	been	been
using	use	using
the	the	the
free	free	free
speech	speech	speech
defense	defens	defense
,	,	,
but	but	but
a	a	a
Federal	feder	Federal
Judge	judg	Judge
isn	isn	isn
t	t	t
buying	buy	buying
it	it	it
.	.	.
Citing	cite	Citing
case	case	case
law	law	law
from	from	from
1960	1960	1960
s	s	s
student	student	student
protests	protest	protest
and	and	and
race	race	race
riots	riot	riot
,	,	,
Judge	judg	Judge
David	david	David
Hale	hale	Hale
of	of	of
Kentucky	kentucki	Kentucky
,	,	,
rejected	reject	rejected
motions	motion	motion
to	to	to
dismiss	dismiss	dismiss
the	the	the
case	case	case
and	and	and
said	said	said
that	that	that
Trump	trump	Trump
did	did	did
indeed	inde	indeed
cite	cite	cite
violence	violenc	violence
at	at	at
his	his	his
rally	ralli	rally
.	.	.
It	it	It
is	is	is
plausible	plausibl	plausible
that	that	that
