So	so	So
much	much	much
for	for	for
the	the	the
most	most	most
transparent	transpar	transparent
administration	administr	administration
in	in	in
history	histori	history
Because	becaus	Because
the	the	the
step	step	step
-daughter	-daughter	-daughter
of	of	of
Theresa	theresa	Theresa
Heinz	heinz	Heinz
-Kerry	-kerri	-Kerry
,	,	,
a	a	a
woman	woman	woman
who	who	who
is	is	is
reportedly	report	reportedly
worth	worth	worth
a	a	a
cool	cool	cool
billion	billion	billion
,	,	,
needs	need	need
her	her	her
daddy	daddi	daddy
to	to	to
steal	steal	steal
from	from	from
US	us	US
taxpayers	taxpay	taxpayer
to	to	to
help	help	help
fund	fund	fund
her	her	her
non	non	non
-profit	-profit	-profit
?	?	?
It	it	It
looks	look	look
like	like	like
John	john	John
Kerry	kerri	Kerry
is	is	is
using	use	using
his	his	his
position	posit	position
as	as	a
Secretary	secretari	Secretary
of	of	of
State	state	State
to	to	to
enrich	enrich	enrich
his	his	his
family	famili	family
,	,	,
just	just	just
like	like	like
his	his	his
predecessor	predecessor	predecessor
Hillary	hillari	Hillary
Clinton	clinton	Clinton
did	did	did
.	.	.
More	more	More
than	than	than
9	9	9
million	million	million
of	of	of
Department	depart	Department
of	of	of
State	state	State
money	money	money
has	has	ha
been	been	been
funneled	funnel	funneled
through	through	through
the	the	the
Peace	peac	Peace
Corps	corp	Corps
to	to	to
a	a	a
nonprofit	nonprofit	nonprofit
foundation	foundat	foundation
started	start	started
and	and	and
run	run	run
by	by	by
Secretary	secretari	Secretary
of	of	of
State	state	State
John	john	John
Kerry	kerri	Kerry
s	s	s
daughter	daughter	daughter
,	,	,
documents	document	document
obtained	obtain	obtained
by	by	by
The	the	The
Daily	daili	Daily
Caller	caller	Caller
News	news	News
Foundation	foundat	Foundation
show	show	show
.	.	.
The	the	The
Department	depart	Department
of	of	of
State	state	State
funded	fund	funded
a	a	a
Peace	peac	Peace
Corps	corp	Corps
program	program	program
created	creat	created
by	by	by
Dr	dr	Dr
.	.	.
Vanessa	vanessa	Vanessa
Kerry	kerri	Kerry
and	and	and
officials	offici	official
from	from	from
both	both	both
agencies	agenc	agency
,	,	,
records	record	record
show	show	show
.	.	.
The	the	The
Peace	peac	Peace
Corps	corp	Corps
then	then	then
awarded	award	awarded
the	the	the
money	money	money
without	without	without
competition	competit	competition
to	to	to
a	a	a
nonprofit	nonprofit	nonprofit
Kerry	kerri	Kerry
created	creat	created
for	for	for
the	the	the
program	program	program
.	.	.
Initially	initi	Initially
,	,	,
the	the	the
Peace	peac	Peace
Corps	corp	Corps
awarded	award	awarded
Kerry	kerri	Kerry
s	s	s
group	group	group
now	now	now
called	call	called
Seed	seed	Seed
Global	global	Global
Health	health	Health
with	with	with
a	a	a
three	three	three
-year	-year	-year
contract	contract	contract
worth	worth	worth
2	2	2
million	million	million
of	of	of
State	state	State
Department	depart	Department
money	money	money
on	on	on
Sept	sept	Sept
.	.	.
10	10	10
,	,	,
2012	2012	2012
,	,	,
documents	document	document
show	show	show
.	.	.
Her	her	Her
father	father	father
was	was	wa
then	then	then
the	the	the
chairman	chairman	chairman
of	of	of
the	the	the
Senate	senat	Senate
Committee	committe	Committee
on	on	on
Foreign	foreign	Foreign
Relations	relat	Relations
,	,	,
which	which	which
oversees	overse	oversees
both	both	both
the	the	the
Department	depart	Department
of	of	of
State	state	State
and	and	and
the	the	the
Peace	peac	Peace
Corps	corp	Corps
.	.	.
Seed	seed	Seed
secured	secur	secured
a	a	a
four	four	four
-year	-year	-year
extension	extens	extension
in	in	in
September	septemb	September
2015	2015	2015
,	,	,
again	again	again
without	without	without
competition	competit	competition
.	.	.
This	this	This
time	time	time
,	,	,
the	the	the
Peace	peac	Peace
Corps	corp	Corps
gave	gave	gave
the	the	the
nonprofit	nonprofit	nonprofit
6	6	6
.	.	.
4	4	4
million	million	million
provided	provid	provided
by	by	by
the	the	the
Department	depart	Department
of	of	of
State	state	State
while	while	while
John	john	John
Kerry	kerri	Kerry
was	was	wa
secretary	secretari	secretary
of	of	of
state	state	state
.	.	.
Seed	seed	Seed
also	also	also
received	receiv	received
almost	almost	almost
1	1	1
million	million	million
from	from	from
a	a	a
modification	modif	modification
to	to	to
the	the	the
first	first	first
award	award	award
,	,	,
as	as	a
well	well	well
as	as	a
from	from	from
Department	depart	Department
of	of	of
State	state	State
funds	fund	fund
the	the	the
group	group	group
secured	secur	secured
outside	outsid	outside
the	the	the
Peace	peac	Peace
Corps	corp	Corps
.	.	.
The	the	The
Peace	peac	Peace
Corps	corp	Corps
program	program	program
called	call	called
the	the	the
Global	global	Global
Health	health	Health
Service	servic	Service
Partnership	partnership	Partnership
GHSP	ghsp	GHSP
sends	send	sends
volunteer	volunt	volunteer
physicians	physician	physician
and	and	and
nurses	nurs	nurse
to	to	to
medical	medic	medical
and	and	and
nursing	nurs	nursing
schools	school	school
in	in	in
Malawi	malawi	Malawi
,	,	,
Tanzania	tanzania	Tanzania
,	,	,
Uganda	uganda	Uganda
and	and	and
Liberia	liberia	Liberia
,	,	,
according	accord	according
to	to	to
Seed	seed	Seed
s	s	s
website	websit	website
.	.	.
More	more	More
than	than	than
40	40	40
clinical	clinic	clinical
educators	educ	educator
worked	work	worked
at	at	at
13	13	13
sites	site	site
in	in	in
the	the	the
2014	2014	2014
-2015	-2015	-2015
program	program	program
.	.	.
Kerry	kerri	Kerry
and	and	and
government	govern	government
officials	offici	official
colluded	collud	colluded
to	to	to
launch	launch	launch
the	the	the
program	program	program
and	and	and
ensure	ensur	ensure
that	that	that
Seed	seed	Seed
would	would	would
get	get	get
the	the	the
contract	contract	contract
.	.	.
Is	is	Is
there	there	there
anyone	anyon	anyone
in	in	in
this	this	this
administration	administr	administration
who	who	who
s	s	s
not	not	not
using	use	using
their	their	their
power	power	power
and	and	and
influence	influenc	influence
to	to	to
enrich	enrich	enrich
themselves	themselv	themselves
?	?	?
Rich	rich	Rich
,	,	,
liberal	liber	liberal
elitists	elitist	elitist
pretend	pretend	pretend
they	they	they
re	re	re
all	all	all
about	about	about
helping	help	helping
people	peopl	people
while	while	while
engorging	engorg	engorging
themselves	themselv	themselves
at	at	at
the	the	the
troth	troth	troth
on	on	on
the	the	the
taxpayer	taxpay	taxpayer
s	s	s
dime	dime	dime
.	.	.
Time	time	Time
for	for	for
them	them	them
to	to	to
go	go	go
.	.	.
American	american	American
LookoutVia	lookoutvia	LookoutVia
Daily	daili	Daily
Caller	caller	Caller
