American	american	American
taxpayers	taxpay	taxpayer
are	are	are
being	be	being
charged	charg	charged
more	more	more
than	than	than
66	66	66
,	,	,
000	000	000
an	an	an
hour	hour	hour
for	for	for
prayers	prayer	prayer
said	said	said
in	in	in
the	the	the
US	us	US
House	hous	House
and	and	and
Senate	senat	Senate
.	.	.

The	the	The
total	total	total
cost	cost	cost
per	per	per
prayer	prayer	prayer
,	,	,
which	which	which
lasts	last	last
an	an	an
average	averag	average
of	of	of
90	90	90
seconds	second	second
,	,	,
is	is	is
a	a	a
whopping	whop	whopping
1	1	1
,	,	,
659	659	659
.	.	.
According	accord	According
to	to	to
Andrew	andrew	Andrew
Seidel	seidel	Seidel
of	of	of
the	the	the
Freedom	freedom	Freedom
From	from	From
Religion	religion	Religion
Foundation	foundat	Foundation
,	,	,
who	who	who
did	did	did
the	the	the
math	math	math
to	to	to
determine	determin	determine
what	what	what
taxpayers	taxpay	taxpayer
are	are	are
being	be	being
charged	charg	charged
for	for	for
prayers	prayer	prayer
in	in	in
Washington	washington	Washington
,	,	,
the	the	the
total	total	total
annual	annual	annual
bill	bill	bill
comes	come	come
to	to	to
more	more	more
than	than	than
800	800	800
,	,	,
000	000	000
.	.	.
Both	both	Both
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
House	hous	House
and	and	and
Senate	senat	Senate
employ	employ	employ
a	a	a
chaplain	chaplain	chaplain
whose	whose	whose
singular	singular	singular
duty	duti	duty
is	is	is
to	to	to
administer	administ	administer
prayer	prayer	prayer
.	.	.

The	the	The
budget	budget	budget
for	for	for
the	the	the
House	hous	House
Chaplain	chaplain	Chaplain
s	s	s
office	offic	office
is	is	is
345	345	345
,	,	,
000	000	000
,	,	,
while	while	while
the	the	the
Senate	senat	Senate
Chaplain	chaplain	Chaplain
s	s	s
office	offic	office
receives	receiv	receives
436	436	436
,	,	,
886	886	886
.	.	.
Seidel	seidel	Seidel
reports	report	report
that	that	that
both	both	both
the	the	the
House	hous	House
and	and	and
Senate	senat	Senate
chaplains	chaplain	chaplain
earn	earn	earn
executive	execut	executive
level	level	level
salaries	salari	salary
which	which	which
are	are	are
equal	equal	equal
to	to	to
those	those	those
of	of	of
high	high	high
-ranking	-rank	-ranking
government	govern	government
officials	offici	official
,	,	,
such	such	such
as	as	a
general	general	general
counsels	counsel	counsel
of	of	of
the	the	the
Departments	depart	Departments
of	of	of
the	the	the
Army	armi	Army
,	,	,
Navy	navi	Navy
,	,	,
and	and	and
Air	air	Air
Force	forc	Force
;	;	;
the	the	the
chief	chief	chief
financial	financi	financial
officers	offic	officer
of	of	of
NASA	nasa	NASA
and	and	and
the	the	the
EPA	epa	EPA
;	;	;
the	the	the
Chief	chief	Chief
Information	inform	Information
Officers	offic	Officers
of	of	of
almost	almost	almost
every	everi	every
major	major	major
federal	feder	federal
department	depart	department
and	and	and
agency	agenc	agency
;	;	;
and	and	and
the	the	the
Army	armi	Army
s	s	s
Director	director	Director
of	of	of
Civil	civil	Civil
Defense	defens	Defense
.	.	.

The	the	The
two	two	two
chaplains	chaplain	chaplain
earn	earn	earn
three	three	three
-figure	-figur	-figure
salaries	salari	salary
for	for	for
presiding	presid	presiding
over	over	over
opening	open	opening
prayers	prayer	prayer
in	in	in
the	the	the
house	hous	house
and	and	and
senate	senat	senate
,	,	,
which	which	which
only	onli	only
convene	conven	convene
about	about	about
135	135	135
days	day	day
out	out	out
of	of	of
the	the	the
year	year	year
.	.	.
Seidel	seidel	Seidel
reports	report	report
And	and	And
even	even	even
with	with	with
those	those	those
fat	fat	fat
salaries	salari	salary
,	,	,
the	the	the
official	offici	official
chaplains	chaplain	chaplain
let	let	let
guest	guest	guest
chaplains	chaplain	chaplain
deliver	deliv	deliver
many	mani	many
of	of	of
the	the	the
prayers	prayer	prayer
about	about	about
40	40	40
in	in	in
the	the	the
House	hous	House
.	.	.

The	the	The
House	hous	House
chaplains	chaplain	chaplain
gave	gave	gave
1	1	1
,	,	,
341	341	341
invocations	invoc	invocation
over	over	over
the	the	the
16	16	16
years	year	year
from	from	from
2000	2000	2000
-2015	-2015	-2015
,	,	,
or	or	or
about	about	about
84	84	84
invocations	invoc	invocation
each	each	each
year	year	year
.	.	.

Guest	guest	Guest
chaplains	chaplain	chaplain
gave	gave	gave
another	anoth	another
857	857	857
over	over	over
that	that	that
same	same	same
span	span	span
.	.	.

Congress	congress	Congress
is	is	is
budgeting	budget	budgeting
more	more	more
than	than	than
three	three	three
-quarters	-quarter	-quarters
of	of	of
a	a	a
million	million	million
dollars	dollar	dollar
every	everi	every
year	year	year
for	for	for
chaplains	chaplain	chaplain
to	to	to
give	give	give
these	these	these
prayers	prayer	prayer
or	or	or
coordinate	coordin	coordinate
the	the	the
guest	guest	guest
chaplains	chaplain	chaplain
prayers	prayer	prayer
.	.	.
As	as	As
Seidel	seidel	Seidel
explains	explain	explains
here	here	here
,	,	,
in	in	in
2011	2011	2011
the	the	the
House	hous	House
Chaplain	chaplain	Chaplain
delivered	deliv	delivered
just	just	just
104	104	104
prayers	prayer	prayer
,	,	,
lasting	last	lasting
an	an	an
average	averag	average
of	of	of
90	90	90
