After	after	After
watching	watch	watching
this	this	this
video	video	video
,	,	,
and	and	and
seeing	see	seeing
a	a	a
side	side	side
of	of	of
Trump	trump	Trump
the	the	the
media	media	medium
rarely	rare	rarely
shows	show	show
us	us	u
,	,	,
it	it	it
s	s	s
easy	easi	easy
to	to	to
understand	understand	understand
why	whi	why
all	all	all
of	of	of
Donald	donald	Donald
s	s	s
kids	kid	kid
think	think	think
he	he	he
s	s	s
such	such	such
a	a	a
great	great	great
dad	dad	dad
A	a	A
cute	cute	cute
little	littl	little
boy	boy	boy
in	in	in
the	the	the
audience	audienc	audience
asked	ask	asked
Trump	trump	Trump
a	a	a
question	question	question
at	at	at
his	his	his
Manassas	manassa	Manassas
,	,	,
Virginia	virginia	Virginia
rally	ralli	rally
on	on	on
Dec	dec	Dec
.	.	.

2	2	2
,	,	,
2015	2015	2015
.	.	.

Trump	trump	Trump
thought	thought	thought
it	it	it
was	was	wa
such	such	such
a	a	a
great	great	great
question	question	question
,	,	,
he	he	he
asked	ask	asked
the	the	the
boy	boy	boy
to	to	to
come	come	come
up	up	up
on	on	on
the	the	the
stage	stage	stage
and	and	and
ask	ask	ask
the	the	the
question	question	question
again	again	again
in	in	in
front	front	front
of	of	of
the	the	the
mic	mic	mic
.	.	.

The	the	The
boy	boy	boy
wanted	want	wanted
to	to	to
know	know	know
what	what	what
materials	materi	material
Trump	trump	Trump
would	would	would
use	use	use
to	to	to
build	build	build
the	the	the
wall	wall	wall
.	.	.

It	it	It
wasn	wasn	wasn
t	t	t
his	his	his
answer	answer	answer
Trump	trump	Trump
gave	gave	gave
the	the	the
young	young	young
boy	boy	boy
that	that	that
revealed	reveal	revealed
the	the	the
genuine	genuin	genuine
love	love	love
Trump	trump	Trump
has	has	ha
for	for	for
his	his	his
fellow	fellow	fellow
American	american	American
,	,	,
it	it	it
was	was	wa
the	the	the
spontaneous	spontan	spontaneous
kiss	kiss	kiss
he	he	he
gave	gave	gave
the	the	the
little	littl	little
boy	boy	boy
on	on	on
the	the	the
back	back	back
of	of	of
his	his	his
head	head	head
for	for	for
asking	ask	asking
such	such	such
a	a	a
great	great	great
question	question	question
.	.	.
The	the	The
exchange	exchang	exchange
went	went	went
like	like	like
this	this	this
The	the	The
young	young	young
boy	boy	boy
asks	ask	asks
Trump	trump	Trump
a	a	a
question	question	question
that	that	that
may	may	may
be	be	be
hard	hard	hard
for	for	for
the	the	the
audience	audienc	audience
to	to	to
hear	hear	hear
,	,	,
so	so	so
Trump	trump	Trump
asks	ask	asks
boy	boy	boy
to	to	to
come	come	come
up	up	up
on	on	on
stage	stage	stage
Trump	trump	Trump
C	c	C
mon	mon	mon
,	,	,
c	c	c
mob	mob	mob
up	up	up
here	here	here
.	.	.

This	this	This
is	is	is
such	such	such
a	a	a
great	great	great
question	question	question
.	.	.
Boy	boy	Boy
What	what	What
are	are	are
the	the	the
boy	boy	boy
pauses	paus	pause
as	as	a
he	he	he
realizes	realiz	realizes
he	he	he
s	s	s
in	in	in
front	front	front
of	of	of
thousands	thousand	thousand
of	of	of
supporters	support	supporter
hello	hello	hello
.	.	.

Trump	trump	Trump
gives	give	give
him	him	him
a	a	a
kiss	kiss	kiss
on	on	on
the	the	the
back	back	back
of	of	of
his	his	his
head	head	head
,	,	,
almost	almost	almost
as	as	a
if	if	if
he	he	he
was	was	wa
proud	proud	proud
of	of	of
him	him	him
for	for	for
asking	ask	asking
such	such	such
a	a	a
great	great	great
question	question	question
.	.	.

What	what	What
are	are	are
the	the	the
walls	wall	wall
going	go	going
to	to	to
be	be	be
made	made	made
of	of	of
?	?	?

Trump	trump	Trump
That	that	That
might	might	might
be	be	be
the	the	the
best	best	best
question	question	question
I	i	I
get	get	get
today	today	today
.	.	.

I	i	I
ll	ll	ll
tell	tell	tell
you	you	you
what	what	what
it	it	it
s	s	s
going	go	going
to	to	to
be	be	be
made	made	made
of	of	of
.	.	.

It	it	It
s	s	s
going	go	going
to	to	to
be	be	be
made	made	made
of	of	of
hardened	harden	hardened
concrete	concret	concrete
and	and	and
it	it	it
s	s	s
going	go	going
to	to	to
be	be	be
made	made	made
out	out	out
of	of	of
Rebar	rebar	Rebar
and	and	and
steel	steel	steel
audience	audienc	audience
applauds	applaud	applauds
.	.	.

I	i	I
mean	mean	mean
,	,	,
that	that	that
s	s	s
what	what	what
I	i	I
do	do	do
.	.	.

Did	did	Did
you	you	you
ever	ever	ever
seen	seen	seen
the	the	the
walls	wall	wall
they	they	they
build	build	build
now	now	now
,	,	,
they	they	they
re	re	re
this	this	this
high	high	high
gestures	gestur	gesture
to	to	to
indicate	indic	indicate
low	low	low
wall	wall	wall
and	and	and
they	they	they
drive	drive	drive
trucks	truck	truck
over	over	over
them	them	them
right	right	right
?	?	?

They	they	They
build	build	build
a	a	a
ramp	ramp	ramp
and	and	and
they	they	they
take	take	take
trucks	truck	truck
over	over	over
them	them	them
with	with	with
drugs	drug	drug
,	,	,
and	and	and
we	we	we
get	get	get
the	the	the
drugs	drug	drug
and	and	and
they	they	they
get	get	get
the	the	the
cash	cash	cash
.	.	.

Not	not	Not
good	good	good
Watch	watch	Watch
here	here	here
at	at	at
the	the	the
36	36	36
second	second	second
mark	mark	mark
for	for	for
the	the	the
sweet	sweet	sweet
,	,	,
spontaneous	spontan	spontaneous
kiss	kiss	kiss
h	h	h
t	t	t
Down	down	Down
Trend	trend	Trend

