Lately	late	Lately
,	,	,
Republican	republican	Republican
presidential	presidenti	presidential
nominee	nomine	nominee
Donald	donald	Donald
Trump	trump	Trump
has	has	ha
been	been	been
making	make	making
a	a	a
show	show	show
of	of	of
reaching	reach	reaching
out	out	out
to	to	to
black	black	black
voters	voter	voter
.	.	.
Of	of	Of
course	cours	course
,	,	,
it	it	it
hasn	hasn	hasn
t	t	t
been	been	been
actual	actual	actual
black	black	black
people	peopl	people
he	he	he
is	is	is
speaking	speak	speaking
to	to	to
;	;	;
after	after	after
all	all	all
,	,	,
other	other	other
than	than	than
Uncle	uncl	Uncle
Tom	tom	Tom
types	type	type
like	like	like
Omarosa	omarosa	Omarosa
and	and	and
Don	don	Don
King	king	King
,	,	,
that	that	that
s	s	s
a	a	a
voting	vote	voting
bloc	bloc	bloc
he	he	he
s	s	s
never	never	never
going	go	going
to	to	to
win	win	win
.	.	.
No	no	No
,	,	,
he	he	he
s	s	s
trying	tri	trying
to	to	to
send	send	send
a	a	a
signal	signal	signal
to	to	to
white	white	white
voters	voter	voter
who	who	who
can	can	can
t	t	t
stomach	stomach	stomach
voting	vote	voting
for	for	for
an	an	an
overt	overt	overt
racist	racist	racist
that	that	that
he	he	he
s	s	s
not	not	not
,	,	,
well	well	well
,	,	,
racist	racist	racist
.	.	.
He	he	He
s	s	s
trying	tri	trying
to	to	to
make	make	make
them	them	them
forget	forget	forget
all	all	all
the	the	the
racist	racist	racist
garbage	garbag	garbage
he	he	he
s	s	s
spewed	spew	spewed
throughout	throughout	throughout
this	this	this
campaign	campaign	campaign
and	and	and
throughout	throughout	throughout
his	his	his
life	life	life
.	.	.
Perhaps	perhap	Perhaps
the	the	the
most	most	most
despicable	despic	despicable
part	part	part
of	of	of
this	this	this
so	so	so
-called	-call	-called
outreach	outreach	outreach
is	is	is
the	the	the
fact	fact	fact
that	that	that
he	he	he
is	is	is
using	use	using
the	the	the
black	black	black
community	communiti	community
to	to	to
try	tri	try
and	and	and
score	score	score
political	polit	political
points	point	point
.	.	.
He	he	He
is	is	is
going	go	going
to	to	to
black	black	black
churches	church	church
and	and	and
troubled	troubl	troubled
communities	communiti	community
to	to	to
try	tri	try
and	and	and
convince	convinc	convince
people	peopl	people
that	that	that
he	he	he
cares	care	care
.	.	.
Well	well	Well
,	,	,
one	one	one
place	place	place
that	that	that
Trump	trump	Trump
tried	tri	tried
to	to	to
use	use	use
on	on	on
his	his	his
crazy	crazi	crazy
outreach	outreach	outreach
tour	tour	tour
