They	they	They
say	say	say
karma	karma	karma
s	s	s
a	a	a
bi	bi	bi
ch	ch	ch
,	,	,
and	and	and
it	it	it
continues	continu	continues
to	to	to
be	be	be
for	for	for
the	the	the
Republicans	republican	Republicans
.	.	.

First	first	First
,	,	,
it	it	it
was	was	wa
Rubio	rubio	Rubio
who	who	who
was	was	wa
dragged	drag	dragged
off	off	off
to	to	to
court	court	court
by	by	by
the	the	the
birthers	birther	birthers
who	who	who
claim	claim	claim
that	that	that
he	he	he
s	s	s
not	not	not
eligible	elig	eligible
to	to	to
be	be	be
president	presid	president
.	.	.

Now	now	Now
,	,	,
birthers	birther	birthers
have	have	have
gone	gone	gone
after	after	after
Ted	ted	Ted
Cruz	cruz	Cruz
in	in	in
Texas	texa	Texas
.	.	.
A	a	A
Texas	texa	Texas
attorney	attorney	attorney
has	has	ha
filed	file	filed
suit	suit	suit
in	in	in
federal	feder	federal
district	district	district
court	court	court
saying	say	saying
that	that	that
Cruz	cruz	Cruz
can	can	can
t	t	t
be	be	be
president	presid	president
because	becaus	because
he	he	he
s	s	s
not	not	not
a	a	a
natural	natur	natural
born	born	born
citizen	citizen	citizen
of	of	of
the	the	the
United	unit	United
States	state	States
.	.	.

Cruz	cruz	Cruz
was	was	wa
born	born	born
in	in	in
Canada	canada	Canada
.	.	.

One	one	One
of	of	of
the	the	the
few	few	few
requirements	requir	requirement
to	to	to
become	becom	become
president	presid	president
in	in	in
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Constitution	constitut	Constitution
is	is	is
to	to	to
be	be	be
a	a	a
natural	natur	natural
born	born	born
citizen	citizen	citizen
of	of	of
the	the	the
United	unit	United
States	state	States
.	.	.

Attorney	attorney	Attorney
Newton	newton	Newton
B	b	B
.	.	.

Schwartz	schwartz	Schwartz
,	,	,
Sr	sr	Sr
.	.	.
.	.	.

in	in	in
a	a	a
28	28	28
page	page	page
complaint	complaint	complaint
,	,	,
is	is	is
demanding	demand	demanding
that	that	that
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Supreme	suprem	Supreme
Court	court	Court
address	address	address
the	the	the
issue	issu	issue
since	sinc	since
natural	natur	natural
born	born	born
has	has	ha
never	never	never
been	been	been
defined	defin	defined
.	.	.

Schwartz	schwartz	Schwartz
said	said	said
This	this	This
229	229	229
-year	-year	-year
question	question	question
has	has	ha
never	never	never
been	been	been
pled	pled	pled
,	,	,
presented	present	presented
to	to	to
or	or	or
finally	final	finally
decided	decid	decided
by	by	by
or	or	or
resolved	resolv	resolved
by	by	by
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Supreme	suprem	Supreme
Court	court	Court
.	.	.

Only	onli	Only
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Supreme	suprem	Supreme
Court	court	Court
can	can	can
finally	final	finally
decide	decid	decide
,	,	,
determine	determin	determine
judicially	judici	judicially
and	and	and
settle	settl	settle
this	this	this
issue	issu	issue
now	now	now
.	.	.

Cruz	cruz	Cruz
,	,	,
who	who	who
ironically	iron	ironically
is	is	is
an	an	an
anti	anti	anti
-immigration	-immigr	-immigration
hawk	hawk	hawk
,	,	,
believes	believ	belief
there	there	there
is	is	is
no	no	no
issue	issu	issue
.	.	.

During	dure	During
Thursday	thursday	Thursday
s	s	s
debate	debat	debate
,	,	,
Cruz	cruz	Cruz
went	went	went
on	on	on
the	the	the
defensive	defens	defensive
against	against	against
Trump	trump	Trump
,	,	,
who	who	who
s	s	s
been	been	been
at	at	at
the	the	the
forefront	forefront	forefront
of	of	of
questioning	question	questioning
Cruz	cruz	Cruz
s	s	s
eligibility	elig	eligibility
.	.	.

Cruz	cruz	Cruz
said	said	said
There	there	There
s	s	s
nothing	noth	nothing
to	to	to
this	this	this
birther	birther	birther
issue	issu	issue
.	.	.

Since	sinc	Since
September	septemb	September
,	,	,
the	the	the
Constitution	constitut	Constitution
hasn	hasn	hasn
