Eric	eric	Eric
Zuesse	zuess	Zuesse
Off	off	Off
GuardianEven	guardianeven	GuardianEven
for	for	for
the	the	the
post	post	post
of	of	of
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
,	,	,
the	the	the
preferences	prefer	preference
of	of	of
the	the	the
American	american	American
people	peopl	people
have	have	have
only	onli	only
a	a	a
marginal	margin	marginal
,	,	,
if	if	if
any	ani	any
,	,	,
impact	impact	impact
upon	upon	upon
the	the	the
selection	select	selection
of	of	of
the	the	the
person	person	person
to	to	to
occupy	occupi	occupy
that	that	that
post	post	post
.	.	.
In	in	In
Colorado	colorado	Colorado
s	s	s
Republican	republican	Republican
race	race	race
to	to	to
win	win	win
delegates	deleg	delegate
to	to	to
the	the	the
Republican	republican	Republican
National	nation	National
Convention	convent	Convention
for	for	for
selecting	select	selecting
the	the	the
Republican	republican	Republican
Presidential	presidenti	Presidential
nominee	nomine	nominee
,	,	,
there	there	there
was	was	wa
no	no	no
primary	primari	primary
,	,	,
and	and	and
there	there	there
was	was	wa
no	no	no
caucus	caucus	caucus
.	.	.
As	as	As
the	the	the
Republican	republican	Republican
magazine	magazin	magazine
National	nation	National
Review	review	Review
headlined	headlin	headlined
on	on	on
April	april	April
11th	11th	11th
,	,	,
attempting	attempt	attempting
to	to	to
justify	justifi	justify
what	what	what
a	a	a
Republican	republican	Republican
wag	wag	wag
had	had	had
just	just	just
headlined	headlin	headlined
as	as	a
Cruz	cruz	Cruz
Celebrates	celebr	Celebrates
Voterless	voterless	Voterless
Win	win	Win
Donald	donald	Donald
Trump	trump	Trump
Laid	laid	Laid
a	a	a
Colorado	colorado	Colorado
Goose	goos	Goose
Egg	egg	Egg
because	becaus	because
He	he	He
Was	was	Was
Disorganized	disorgan	Disorganized
and	and	and
Amateurish	amateurish	Amateurish
.	.	.
Their	their	Their
argument	argument	argument
since	sinc	since
they	they	they
campaign	campaign	campaign
for	for	for
any	ani	any
Republican	republican	Republican
but	but	but
Trump	trump	Trump
was	was	wa
he	he	he
lost	lost	lost
because	becaus	because
he	he	he
was	was	wa
disorganized	disorgan	disorganized
and	and	and
amateurish	amateurish	amateurish
not	not	not
because	becaus	because
he	he	he
had	had	had
been	been	been
cheated	cheat	cheated
by	by	by
the	the	the
Party	parti	Party
-hierarchy	-hierarchi	-hierarchy
.	.	.
National	nation	National
Review	review	Review
explained	explain	explained
that	that	that
in	in	in
the	the	the
process	process	process
which	which	which
had	had	had
been	been	been
set	set	set
up	up	up
by	by	by
the	the	the
Colorado	colorado	Colorado
Republican	republican	Republican
Party	parti	Party
it	it	it
s	s	s
set	set	set
up	up	up
by	by	by
each	each	each
individual	individu	individual
state	state	state
s	s	s
Republican	republican	Republican
Party	parti	Party
,	,	,
not	not	not
by	by	by
the	the	the
National	nation	National
Republican	republican	Republican
Party	parti	Party
,	,	,
delegates	deleg	delegate
to	to	to
the	the	the
national	nation	national
convention	convent	convention
would	would	would
be	be	be
selected	select	selected
at	at	at
congressional	congression	congressional
-district	-district	-district
conventions	convent	convention
and	and	and
the	the	the
Republican	republican	Republican
s	s	s
sic	sic	sic
state	state	state
convention	convent	convention
,	,	,
and	and	and
this	this	this
was	was	wa
done	done	done
in	in	in
order	order	order
to	to	to
give	give	give
Colorado	colorado	Colorado
s	s	s
delegates	deleg	delegate
more	more	more
flexibility	flexibl	flexibility
,	,	,
not	not	not
done	done	done
in	in	in
order	order	order
to	to	to
require	requir	require
delegates	deleg	delegate
to	to	to
reflect	reflect	reflect
the	the	the
Republican	republican	Republican
or	or	or
any	ani	any
other	other	other
electorate	elector	electorate
in	in	in
Colorado	colorado	Colorado
since	sinc	since
NR	nr	NR
doesn	doesn	doesn
t	t	t
like	like	like
even	even	even
its	it	it
own	own	own
Party	parti	Party
s	s	s
electorate	elector	electorate
.	.	.
This	this	This
was	was	wa
the	the	the
explanation	explan	explanation
that	that	that
was	was	wa
provided	provid	provided
by	by	by
that	that	that
magazine	magazin	magazine
,	,	,
which	which	which
backs	back	back
Cruz	cruz	Cruz
,	,	,
and	and	and
which	which	which
has	has	ha
been	been	been
campaigning	campaign	campaigning
ferociously	feroci	ferociously
against	against	against
Trump	trump	Trump
.	.	.
Their	their	Their
article	articl	article
was	was	wa
built	built	built
upon	upon	upon
,	,	,
and	and	and
extensively	extens	extensively
quoted	quot	quoted
,	,	,
the	the	the
justifications	justif	justification
put	put	put
forth	forth	forth
by	by	by
one	one	one
particular	particular	particular
Cruz	cruz	Cruz
delegate	deleg	delegate
,	,	,
who	who	who
said	said	said
,	,	,
The	the	The
grassroots	grassroot	grassroots
made	made	made
the	the	the
decision	decis	decision
that	that	that
Ted	ted	Ted
Cruz	cruz	Cruz
was	was	wa
the	the	the
best	best	best
candidate	candid	candidate
for	for	for
us	us	u
,	,	,
and	and	and
the	the	the
grassroots	grassroot	grassroots
made	made	made
the	the	the
decision	decis	decision
to	to	to
come	come	come
out	out	out
for	for	for
Cruz	cruz	Cruz
and	and	and
absolutely	absolut	absolutely
swept	swept	swept
the	the	the
table	tabl	table
.	.	.
He	he	He
called	call	called
it	it	it
our	our	our
caucus	caucus	caucus
system	system	system
.	.	.
Whatever	whatev	Whatever
it	it	it
was	was	wa
,	,	,
it	it	it
shut	shut	shut
out	out	out
all	all	all
rank	rank	rank
-and-file	-and-fil	-and-file
Republican	republican	Republican
voters	voter	voter
,	,	,
and	and	and
left	left	left
everything	everyth	everything
to	to	to
people	peopl	people
like	like	like
himself	himself	himself
,	,	,
who	who	who
could	could	could
afford	afford	afford
to	to	to
do	do	do
this	this	this
You	you	You
have	have	have
to	to	to
put	put	put
in	in	in
the	the	the
work	work	work
,	,	,
you	you	you
have	have	have
to	to	to
put	put	put
in	in	in
the	the	the
effort	effort	effort
,	,	,
and	and	and
you	you	you
have	have	have
to	to	to
do	do	do
it	it	it
months	month	month
ahead	ahead	ahead
of	of	of
time	time	time
.	.	.
In	in	In
other	other	other
words	word	word
only	onli	only
Republican	republican	Republican
Party	parti	Party
activists	activist	activist
in	in	in
Colorado	colorado	Colorado
could	could	could
participate	particip	participate
in	in	in
selecting	select	selecting
the	the	the
delegates	deleg	delegate
who	who	who
would	would	would
participate	particip	participate
in	in	in
selecting	select	selecting
the	the	the
Republican	republican	Republican
nominee	nomine	nominee
.	.	.
No	no	No
one	one	one
else	els	else
was	was	wa
allowed	allow	allowed
to	to	to
.	.	.
Their	their	Their
conception	concept	conception
of	of	of
the	the	the
Colorado	colorado	Colorado
Republican	republican	Republican
Party	parti	Party
is	is	is
that	that	that
it	it	it
s	s	s
only	onli	only
the	the	the
Party	parti	Party
s	s	s
activists	activist	activist
;	;	;
and	and	and
,	,	,
if	if	if
you	you	you
re	re	re
not	not	not
a	a	a
Republican	republican	Republican
activist	activist	activist
,	,	,
you	you	you
have	have	have
no	no	no
say	say	say
.	.	.
It	it	It
s	s	s
as	as	a
if	if	if
to	to	to
say	say	say
Only	onli	Only
people	peopl	people
who	who	who
work	work	work
in	in	in
the	the	the
government	govern	government
can	can	can
have	have	have
a	a	a
say	say	say
in	in	in
how	how	how
the	the	the
government	govern	government
is	is	is
to	to	to
be	be	be
run	run	run
.	.	.
It	it	It
s	s	s
for	for	for
insiders	insid	insider
only	onli	only
and	and	and
,	,	,
of	of	of
course	cours	course
,	,	,
indirectly	indirect	indirectly
it	it	it
s	s	s
for	for	for
whomever	whomev	whomever
pays	pay	pay
those	those	those
insiders	insid	insider
and	and	and
so	so	so
enables	enabl	enables
them	them	them
to	to	to
put	put	put
in	in	in
the	the	the
work	work	work
to	to	to
participate	particip	participate
.	.	.
National	nation	National
Public	public	Public
Radio	radio	Radio
had	had	had
a	a	a
different	differ	different
take	take	take
on	on	on
this	this	this
matter	matter	matter
.	.	.
Steve	steve	Steve
Inskeep	inskeep	Inskeep
headlined	headlin	headlined
there	there	there
GOP	gop	GOP
Delegate	deleg	Delegate
Trump	trump	Trump
Primary	primari	Primary
Wins	win	Wins
Absolutely	absolut	Absolutely
Irrelevant	irrelev	Irrelevant
At	at	At
Convention	convent	Convention
.	.	.
He	he	He
interviewed	interview	interviewed
Curly	cur	Curly
Haughland	haughland	Haughland
,	,	,
a	a	a
member	member	member
of	of	of
the	the	the
Republican	republican	Republican
National	nation	National
Committee	committe	Committee
who	who	who
lives	live	life
in	in	in
North	north	North
Dakota	dakota	Dakota
,	,	,
and	and	and
who	who	who
said	said	said
No	no	No
matter	matter	matter
what	what	what
the	the	the
popular	popular	popular
belief	belief	belief
might	might	might
be	be	be
,	,	,
there	there	there
is	is	is
no	no	no
connection	connect	connection
between	between	between
primaries	primari	primary
and	and	and
the	the	the
actual	actual	actual
convention	convent	convention
.	.	.
Well	well	Well
,	,	,
that	that	that
s	s	s
putting	put	putting
it	it	it
rather	rather	rather
bluntly	blunt	bluntly
.	.	.
Haughland	haughland	Haughland
also	also	also
said	said	said
Cited	cite	Cited
the	the	the
GOP	gop	GOP
s	s	s
convention	convent	convention
Rules	rule	Rules
37	37	37
and	and	and
38	38	38
.	.	.
He	he	He
interprets	interpret	interprets
these	these	these
convoluted	convolut	convoluted
rules	rule	rule
to	to	to
mean	mean	mean
that	that	that
delegates	deleg	delegate
may	may	may
vote	vote	vote
their	their	their
conscience	conscienc	conscience
.	.	.
The	the	The
rules	rule	rule
do	do	do
not	not	not
explicitly	explicit	explicitly
say	say	say
this	this	this
.	.	.
Rule	rule	Rule
37	37	37
is	is	is
a	a	a
detailed	detail	detailed
explanation	explan	explanation
of	of	of
the	the	the
procedure	procedur	procedure
for	for	for
roll	roll	roll
-call	-call	-call
votes	vote	vote
.	.	.
However	howev	However
,	,	,
Rule	rule	Rule
38	38	38
does	doe	doe
say	say	say
that	that	that
no	no	no
delegate	deleg	delegate
may	may	may
be	be	be
bound	bound	bound
by	by	by
the	the	the
unit	unit	unit
rule	rule	rule
,	,	,
meaning	mean	meaning
that	that	that
delegates	deleg	delegate
from	from	from
a	a	a
state	state	state
can	can	can
t	t	t
all	all	all
be	be	be
forced	forc	forced
to	to	to
vote	vote	vote
the	the	the
same	same	same
way	way	way
.	.	.
Another	anoth	Another
of	of	of
Haughland	haughland	Haughland
s	s	s
points	point	point
is	is	is
indisputable	indisput	indisputable
When	when	When
the	the	the
convention	convent	convention
convenes	conven	convenes
,	,	,
he	he	he
said	said	said
,	,	,
the	the	the
delegates	deleg	delegate
adopt	adopt	adopt
their	their	their
own	own	own
rules	rule	rule
,	,	,
which	which	which
haven	haven	haven
t	t	t
been	been	been
adopted	adopt	adopted
yet	yet	yet
.	.	.
There	there	There
is	is	is
a	a	a
standard	standard	standard
template	templat	template
for	for	for
conventions	convent	convention
,	,	,
but	but	but
delegates	deleg	delegate
could	could	could
tweak	tweak	tweak
the	the	the
template	templat	template
,	,	,
changing	chang	changing
the	the	the
game	game	game
in	in	in
any	ani	any
way	way	way
that	that	that
they	they	they
want	want	want
.	.	.
In	in	In
other	other	other
words	word	word
the	the	the
National	nation	National
Republican	republican	Republican
Committee	committe	Committee
says	say	say
that	that	that
all	all	all
of	of	of
the	the	the
delegates	deleg	delegate
to	to	to
the	the	the
Republican	republican	Republican
National	nation	National
Convention	convent	Convention
are	are	are
allowed	allow	allowed
to	to	to
tweak	tweak	tweak
the	the	the
template	templat	template
,	,	,
changing	chang	changing
the	the	the
game	game	game
in	in	in
any	ani	any
way	way	way
that	that	that
they	they	they
want	want	want
.	.	.
So	so	So
the	the	the
delegates	deleg	delegate
at	at	at
that	that	that
Convention	convent	Convention
won	won	won
t	t	t
actually	actual	actually
be	be	be
representing	repres	representing
anyone	anyon	anyone
but	but	but
themselves	themselv	themselves
there	there	there
.	.	.
They	they	They
are	are	are
entirely	entir	entirely
free	free	free
to	to	to
push	push	push
for	for	for
anyone	anyon	anyone
whom	whom	whom
they	they	they
personally	person	personally
want	want	want
to	to	to
