Sounds	sound	Sounds
great	great	great
how	how	how
about	about	about
a	a	a
new	new	new
car	car	car
?	?	?
An	an	An
immigrant	immigr	immigrant
-rights	-right	-rights
group	group	group
proposed	propos	proposed
a	a	a
Bill	bill	Bill
of	of	of
Rights	right	Rights
for	for	for
illegal	illeg	illegal
immigrants	immigr	immigrant
Thursday	thursday	Thursday
,	,	,
demanding	demand	demanding
that	that	that
Americans	american	Americans
recognize	recogn	recognize
there	there	there
are	are	are
millions	million	million
already	alreadi	already
in	in	in
the	the	the
country	countri	country
who	who	who
deserve	deserv	deserve
health	health	health
care	care	care
,	,	,
in	in	in
-state	-state	-state
tuition	tuition	tuition
rates	rate	rate
for	for	for
college	colleg	college
and	and	and
a	a	a
guarantee	guarante	guarantee
of	of	of
citizenship	citizenship	citizenship
in	in	in
the	the	the
long	long	long
term	term	term
.	.	.
The	the	The
list	list	list
of	of	of
demands	demand	demand
runs	run	run
10	10	10
items	item	item
long	long	long
the	the	the
same	same	same
as	as	a
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Constitution	constitut	Constitution
s	s	s
Bill	bill	Bill
of	of	of
Rights	right	Rights
and	and	and
also	also	also
calls	call	call
for	for	for
an	an	an
end	end	end
to	to	to
arrests	arrest	arrest
and	and	and
deportations	deport	deportation
for	for	for
all	all	all
law	law	law
-abiding	-abid	-abiding
undocumented	undocu	undocumented
Americans	american	Americans
.	.	.

The	the	The
document	document	document
was	was	wa
circulated	circul	circulated
by	by	by
United	unit	United
We	we	We
Stay	stay	Stay
,	,	,
which	which	which
is	is	is
a	a	a
group	group	group
of	of	of
illegal	illeg	illegal
immigrants	immigr	immigrant
,	,	,
first	first	first
generation	generat	generation
Americans	american	Americans
and	and	and
human	human	human
rights	right	right
activists	activist	activist
pushing	push	pushing
for	for	for
changes	chang	change
to	to	to
immigration	immigr	immigration
law	law	law
.	.	.

We	we	We
know	know	know
we	we	we
have	have	have
human	human	human
rights	right	right
,	,	,
even	even	even
though	though	though
our	our	our
very	veri	very
presence	presenc	presence
is	is	is
deemed	deem	deemed
illegal	illeg	illegal
and	and	and
our	our	our
existence	exist	existence
alien	alien	alien
.	.	.

Now	now	Now
we	we	we
have	have	have
our	our	our
own	own	own
Bill	bill	Bill
of	of	of
Rights	right	Rights
and	and	and
we	we	we
want	want	want
it	it	it
to	to	to
be	be	be
the	the	the
framework	framework	framework
for	for	for
every	everi	every
immigration	immigr	immigration
decision	decis	decision
going	go	going
forward	forward	forward
from	from	from
the	the	the
local	local	local
to	to	to
the	the	the
national	nation	national
level	level	level
,	,	,
the	the	the
group	group	group
said	said	said
in	in	in
a	a	a
statement	statement	statement
announcing	announc	announcing
their	their	their
demands	demand	demand
.	.	.
The	the	The
10	10	10
points	point	point
include	includ	include
a	a	a
demand	demand	demand
