Carl	carl	Carl
Bernstein	bernstein	Bernstein
,	,	,
the	the	the
legendary	legendari	legendary
journalist	journalist	journalist
who	who	who
is	is	is
most	most	most
famous	famous	famous
for	for	for
his	his	his
original	origin	original
coverage	coverag	coverage
of	of	of
the	the	the
Watergate	waterg	Watergate
scandal	scandal	scandal
,	,	,
had	had	had
some	some	some
strong	strong	strong
words	word	word
for	for	for
Donald	donald	Donald
Trump	trump	Trump
Sunday	sunday	Sunday
morning	morn	morning
.	.	.

Bernstein	bernstein	Bernstein
appeared	appear	appeared
on	on	on
CNN	cnn	CNN
s	s	s
Reliable	reliabl	Reliable
Sources	sourc	Sources
to	to	to
discuss	discuss	discus
Trumps	trump	Trumps
campaign	campaign	campaign
s	s	s
media	media	medium
blackballing	blackbal	blackballing
of	of	of
several	sever	several
major	major	major
news	news	news
outlets	outlet	outlet
.	.	.
Trump	trump	Trump
has	has	ha
refused	refus	refused
to	to	to
give	give	give
media	media	medium
passes	pass	pass
to	to	to
several	sever	several
major	major	major
publishers	publish	publisher
from	from	from
Politico	politico	Politico
to	to	to
The	the	The
Washington	washington	Washington
Post	post	Post
,	,	,
where	where	where
Bernstein	bernstein	Bernstein
worked	work	worked
for	for	for
most	most	most
of	of	of
his	his	his
career	career	career
.	.	.
The	the	The
panel	panel	panel
featured	featur	featured
in	in	in
the	the	the
segment	segment	segment
was	was	wa
made	made	made
up	up	up
of	of	of
current	current	current
editors	editor	editor
from	from	from
a	a	a
few	few	few
of	of	of
the	the	the
media	media	medium
organizations	organ	organization
that	that	that
Trump	trump	Trump
has	has	ha
put	put	put
a	a	a
wall	wall	wall
up	up	up
between	between	between
them	them	them
and	and	and
his	his	his
campaign	campaign	campaign
.	.	.

They	they	They
wasted	wast	wasted
no	no	no
time	time	time
lamenting	lament	lamenting
how	how	how
hard	hard	hard
it	it	it
has	has	ha
been	been	been
to	to	to
deliver	deliv	deliver
news	news	news
coverage	coverag	coverage
of	of	of
Trump	trump	Trump
s	s	s
campaign	campaign	campaign
and	and	and
expressed	express	expressed
worry	worri	worry
for	for	for
the	the	the
media	media	medium
under	under	under
a	a	a
Trump	trump	Trump
administration	administr	administration
,	,	,
given	given	given
his	his	his
blatant	blatant	blatant
disregard	disregard	disregard
for	for	for
first	first	first
amendment	amend	amendment
rights	right	right
.	.	.
It	it	It
was	was	wa
Bernstein	bernstein	Bernstein
though	though	though
who	who	who
had	had	had
the	the	the
most	most	most
critical	critic	critical
things	thing	thing
to	to	to
say	say	say
about	about	about
Trump	trump	Trump
and	and	and
his	his	his
campaign	campaign	campaign
.	.	.

Really	realli	Really
,	,	,
this	this	this
is	is	is
about	about	about
a	a	a
candidate	candid	candidate
for	for	for
president	presid	president
of	of	of
the	the	the
United	unit	United
States	state	States
who	who	who
does	doe	doe
not	not	not
believe	believ	believe
in	in	in
a	a	a
free	free	free
press	press	press
,	,	,
said	said	said
Bernstein	bernstein	Bernstein
.	.	.

He	he	He
keeps	keep	keep
talking	talk	talking
about	about	about
changing	chang	changing
libel	libel	libel
laws	law	law
and	and	and
suing	su	suing
the	the	the
press	press	press
and	and	and
has	has	ha
instituted	institut	instituted
many	mani	many
,	,	,
many	mani	many
lawsuits	lawsuit	lawsuit
throughout	throughout	throughout
his	his	his
career	career	career
.	.	.

The	the	The
underlying	under	underlying
story	stori	story
here	here	here
is	is	is
who	who	who
is	is	is
Donald	donald	Donald
Trump	trump	Trump
?	?	?

And	and	And
I	i	I
will	will	will
say	say	say
,	,	,
and	and	and
have	have	have
said	said	said
,	,	,
that	that	that
we	we	we
are	are	are
seeing	see	seeing
the	the	the
nominee	nomine	nominee
of	of	of
a	a	a
major	major	major
political	polit	political
party	parti	party
for	for	for
the	the	the
first	first	first
time	time	time
in	in	in
our	our	our
history	histori	history
,	,	,
who	who	who
is	is	is
a	a	a
neofascist	neofascist	neofascist
,	,	,
a	a	a
particular	particular	particular
kind	kind	kind
of	of	of
neofascist	neofascist	neofascist
a	a	a
strongman	strongman	strongman
who	who	who
doesn	doesn	doesn
t	t	t
believe	believ	believe
in	in	in
democratic	democrat	democratic
institutions	institut	institution
.	.	.

Bernstein	bernstein	Bernstein
suggests	suggest	suggests
that	that	that
there	there	there
is	is	is
not	not	not
enough	enough	enough
reporting	report	reporting
and	and	and
analysis	analysi	analysis
of	of	of
Trump	trump	Trump
in	in	in
the	the	the
media	media	medium
that	that	that
shows	show	show
that	that	that
accurately	accur	accurately
puts	put	put
Trump	trump	Trump
into	into	into
the	the	the
context	context	context
of	of	of
elections	elect	election
historically	histor	historically
.	.	.

His	his	His
bigotry	bigotri	bigotry
is	is	is
evident	evid	evident
and	and	and
we	we	we
need	need	need
to	to	to
keep	keep	keep
looking	look	looking
at	at	at
it	it	it
,	,	,
but	but	but
this	this	this
is	is	is
a	a	a
story	stori	story
of	of	of
a	a	a
candidate	candid	candidate
who	who	who
is	is	is
a	a	a
total	total	total
break	break	break
in	in	in
our	our	our
history	histori	history
and	and	and
we	we	we
need	need	need
to	to	to
be	be	be
doing	do	doing
reporting	report	reporting
on	on	on
it	it	it
,	,	,
not	not	not
just	just	just
debating	debat	debating
it	it	it
on	on	on
television	televis	television
.	.	.

You	you	You
can	can	can
watch	watch	watch
the	the	the
panel	panel	panel
discussion	discuss	discussion
below	below	below
.	.	.
Featured	featur	Featured
image	imag	image
from	from	from
video	video	video
screenshot	screenshot	screenshot

