Meanwhile	meanwhil	Meanwhile
,	,	,
back	back	back
at	at	at
the	the	the
White	white	White
House	hous	House
,	,	,
Obama	obama	Obama
spent	spent	spent
the	the	the
afternoon	afternoon	afternoon
yesterday	yesterday	yesterday
thanking	thank	thanking
the	the	the
Black	black	Black
Lives	live	Lives
Matter	matter	Matter
terrorists	terrorist	terrorist
,	,	,
who	who	who
ve	ve	ve
burnt	burnt	burnt
major	major	major
cities	citi	city
to	to	to
the	the	the
ground	ground	ground
and	and	and
committed	commit	committed
unspeakable	unspeak	unspeakable
violence	violenc	violence
against	against	against
innocent	innoc	innocent
Americans	american	Americans
.	.	.
Merica	merica	Merica
A	a	A
federal	feder	federal
grand	grand	grand
jury	juri	jury
has	has	ha
indicted	indict	indicted
Cliven	cliven	Cliven
Bundy	bundi	Bundy
and	and	and
four	four	four
others	other	others
for	for	for
leading	lead	leading
a	a	a
2014	2014	2014
standoff	standoff	standoff
with	with	with
unconstitutional	unconstitut	unconstitutional
federal	feder	federal
agencies	agenc	agency
at	at	at
the	the	the
Bundy	bundi	Bundy
Ranch	ranch	Ranch
.	.	.
Bundy	bundi	Bundy
,	,	,
along	along	along
with	with	with
his	his	his
sons	son	son
Ammon	ammon	Ammon
and	and	and
Ryan	ryan	Ryan
,	,	,
Ryan	ryan	Ryan
Payne	payn	Payne
and	and	and
Pete	pete	Pete
Santilli	santilli	Santilli
are	are	are
facing	face	facing
charges	charg	charge
of	of	of
conspiracy	conspiraci	conspiracy
to	to	to
commit	commit	commit
an	an	an
offense	offens	offense
against	against	against
the	the	the
United	unit	United
States	state	States
,	,	,
conspiracy	conspiraci	conspiracy
to	to	to
impede	imped	impede
or	or	or
injure	injur	injure
a	a	a
federal	feder	federal
officer	offic	officer
,	,	,
using	use	using
and	and	and
carrying	carri	carrying
a	a	a
firearm	firearm	firearm
in	in	in
relation	relat	relation
to	to	to
a	a	a
crime	crime	crime
of	of	of
violence	violenc	violence
,	,	,
assault	assault	assault
on	on	on
a	a	a
federal	feder	federal
officer	offic	officer
,	,	,
threatening	threaten	threatening
a	a	a
federal	feder	federal
law	law	law
