Open	open	Open
borders	border	border
have	have	have
consequences	consequ	consequence
Bob	bob	Bob
Barry	barri	Barry
Jr	jr	Jr
.	.	.
is	is	is
survived	surviv	survived
by	by	by
his	his	his
wife	wife	wife
,	,	,
the	the	the
lovely	love	lovely
Gina	gina	Gina
,	,	,
his	his	his
four	four	four
children	children	child
;	;	;
Matt	matt	Matt
,	,	,
Tanner	tanner	Tanner
,	,	,
Evan	evan	Evan
and	and	and
Gracie	graci	Gracie
,	,	,
and	and	and
his	his	his
brother	brother	brother
,	,	,
Frank	frank	Frank
.	.	.
OKLAHOMA	oklahoma	OKLAHOMA
CITY	citi	CITY
Authorities	author	Authorities
confirmed	confirm	confirmed
Wednesday	wednesday	Wednesday
morning	morn	morning
that	that	that
a	a	a
man	man	man
,	,	,
accused	accus	accused
of	of	of
causing	caus	causing
a	a	a
crash	crash	crash
that	that	that
killed	kill	killed
local	local	local
sports	sport	sport
journalist	journalist	journalist
Bob	bob	Bob
Barry	barri	Barry
Jr	jr	Jr
.	.	.
,	,	,
had	had	had
previously	previous	previously
been	been	been
deported	deport	deported
three	three	three
times	time	time
.	.	.
Gustavo	gustavo	Gustavo
Castillo	castillo	Castillo
Gutierrez	gutierrez	Gutierrez
,	,	,
26	26	26
,	,	,
has	has	ha
been	been	been
charged	charg	charged
with	with	with
causing	caus	causing
an	an	an
accident	accid	accident
without	without	without
a	a	a
valid	valid	valid
driver	driver	driver
s	s	s
license	licens	license
and	and	and
drug	drug	drug
possession	possess	possession
on	on	on
Tuesday	tuesday	Tuesday
.	.	.
The	the	The
fatal	fatal	fatal
crash	crash	crash
occurred	occur	occurred
on	on	on
Saturday	saturday	Saturday
.	.	.
According	accord	According
to	to	to
police	polic	police
,	,	,
Barry	barri	Barry
was	was	wa
on	on	on
his	his	his
motorcycle	motorcycl	motorcycle
in	in	in
the	the	the
left	left	left
lane	lane	lane
on	on	on
May	may	May
Ave	ave	Ave
.	.	.
,	,	,
near	near	near
Memorial	memori	Memorial
,	,	,
when	when	when
Gutierrez	gutierrez	Gutierrez
was	was	wa
driving	drive	driving
in	in	in
the	the	the
right	right	right
lane	lane	lane
.	.	.
Police	polic	Police
said	said	said
Gutierrez	gutierrez	Gutierrez
made	made	made
an	an	an
illegal	illeg	illegal
U	u	U
-turn	-turn	-turn
in	in	in
front	front	front
of	of	of
Barry	barri	Barry
,	,	,
and	and	and
Barry	barri	Barry
was	was	wa
thrown	thrown	thrown
from	from	from
the	the	the
motorcycle	motorcycl	motorcycle
after	after	after
crashing	crash	crashing
into	into	into
Gutierrez	gutierrez	Gutierrez
s	s	s
car	car	car
.	.	.
On	on	On
Sunday	sunday	Sunday
,	,	,
U	u	U
.	.	.
S	s	S
.	.	.
Immigration	immigr	Immigration
and	and	and
Customs	custom	Customs
Enforcement	enforc	Enforcement
ICE	ice	ICE
placed	place	placed
a	a	a
detainer	detain	detainer
with	with	with
Oklahoma	oklahoma	Oklahoma
County	counti	County
on	on	on
Gutierrez	gutierrez	Gutierrez
from	from	from
Mexico	mexico	Mexico
,	,	,
following	follow	following
his	his	his
arrest	arrest	arrest
on	on	on
criminal	crimin	criminal
charges	charg	charge
.	.	.
ICE	ice	ICE
officials	offici	official
confirmed	confirm	confirmed
that	that	that
Gutierrez	gutierrez	Gutierrez
had	had	had
been	been	been
voluntarily	voluntarili	voluntarily
returned	return	returned
to	to	to
Mexico	mexico	Mexico
three	three	three
times	time	time
,	,	,
twice	twice	twice
in	in	in
2010	2010	2010
,	,	,
and	and	and
once	onc	once
in	in	in
2013	2013	2013
.	.	.
News9	news9	News9
.	.	.
com	com	com
Oklahoma	oklahoma	Oklahoma
City	citi	City
,	,	,
OK	ok	OK
News	news	News
,	,	,
Weather	weather	Weather
,	,	,
Video	video	Video
and	and	and
Sports	sport	Sports
According	accord	According
to	to	to
an	an	an
accident	accid	accident
report	report	report
released	releas	released
on	on	on
Wednesday	wednesday	Wednesday
,	,	,
Barry	barri	Barry
took	took	took
no	no	no
improper	improp	improper
action	action	action
in	in	in
the	the	the
crash	crash	crash
,	,	,
meaning	mean	meaning
he	he	he
was	was	wa
purely	pure	purely
a	a	a
victim	victim	victim
.	.	.
Authorities	author	Authorities
said	said	said
Gutierrez	gutierrez	Gutierrez
had	had	had
been	been	been
distracted	distract	distracted
before	befor	before
the	the	the
collision	collis	collision
for	for	for
an	an	an
unknown	unknown	unknown
reason	reason	reason
.	.	.
Barry	barri	Barry
suffered	suffer	suffered
injuries	injuri	injury
to	to	to
his	his	his
head	head	head
,	,	,
trunk	trunk	trunk
internal	intern	internal
and	and	and
external	extern	external
,	,	,
arms	arm	arm
and	and	and
legs	leg	leg
.	.	.
Gutierrez	gutierrez	Gutierrez
suffered	suffer	suffered
head	head	head
and	and	and
trunk	trunk	trunk
injuries	injuri	injury
.	.	.
The	the	The
collision	collis	collision
report	report	report
stated	state	stated
that	that	that
the	the	the
