What	what	What
could	could	could
Hastert	hastert	Hastert
have	have	have
done	done	done
so	so	so
wrong	wrong	wrong
to	to	to
have	have	have
to	to	to
pay	pay	pay
someone	someon	someone
from	from	from
his	his	his
past	past	past
3	3	3
.	.	.
5	5	5
million	million	million
?	?	?
He	he	He
was	was	wa
a	a	a
teacher	teacher	teacher
and	and	and
a	a	a
wrestling	wrestl	wrestling
coach	coach	coach
before	befor	before
he	he	he
go	go	go
involved	involv	involved
in	in	in
politics	polit	politics
so	so	so
my	my	my
question	question	question
is	is	is
who	who	who
was	was	wa
extorting	extort	extorting
money	money	money
from	from	from
him	him	him
?	?	?
WE	we	WE
HAVE	have	HAVE
AN	an	AN
UPDATE	updat	UPDATE
ON	on	ON
THIS	this	THIS
STORY	stori	STORY
Former	former	Former
House	hous	House
Speaker	speaker	Speaker
Dennis	denni	Dennis
Hastert	hastert	Hastert
paid	paid	paid
a	a	a
man	man	man
to	to	to
conceal	conceal	conceal
sexual	sexual	sexual
misconduct	misconduct	misconduct
while	while	while
the	the	the
man	man	man
was	was	wa
a	a	a
student	student	student
at	at	at
the	the	the
high	high	high
school	school	school
where	where	where
Hastert	hastert	Hastert
taught	taught	taught
,	,	,
a	a	a
federal	feder	federal
law	law	law
enforcement	enforc	enforcement
official	offici	official
told	told	told
NBC	nbc	NBC
News	news	News
on	on	on
Friday	friday	Friday
.	.	.
The	the	The
official	offici	official
spoke	spoke	spoke
on	on	on
condition	condit	condition
of	of	of
anonymity	anonym	anonymity
.	.	.
Tribune	tribun	Tribune
newspapers	newspap	newspaper
reported	report	reported
earlier	earlier	earlier
in	in	in
the	the	the
day	day	day
that	that	that
two	two	two
unnamed	unnam	unnamed
federal	feder	federal
officials	offici	official
said	said	said
that	that	that
Hastert	hastert	Hastert
paid	paid	paid
a	a	a
man	man	man
from	from	from
his	his	his
past	past	past
to	to	to
conceal	conceal	conceal
sexual	sexual	sexual
misconduct	misconduct	misconduct
.	.	.
YORKVILLE	yorkvill	YORKVILLE
,	,	,
Ill	ill	Ill
.	.	.
J	j	J
.	.	.
Dennis	denni	Dennis
Hastert	hastert	Hastert
,	,	,
the	the	the
longest	longest	longest
-serving	-serv	-serving
Republican	republican	Republican
speaker	speaker	speaker
in	in	in
the	the	the
history	histori	history
of	of	of
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
House	hous	House
,	,	,
was	was	wa
indicted	indict	indicted
Thursday	thursday	Thursday
by	by	by
a	a	a
federal	feder	federal
grand	grand	grand
jury	juri	jury
on	on	on
charges	charg	charge
that	that	that
he	he	he
violated	violat	violated
banking	bank	banking
laws	law	law
in	in	in
a	a	a
bid	bid	bid
to	to	to
pay	pay	pay
3	3	3
.	.	.
5	5	5
million	million	million
to	to	to
an	an	an
unnamed	unnam	unnamed
person	person	person
to	to	to
cover	cover	cover
up	up	up
past	past	past
misconduct	misconduct	misconduct
.	.	.
Hastert	hastert	Hastert
,	,	,
73	73	73
,	,	,
who	who	who
has	has	ha
been	been	been
a	a	a
high	high	high
-paid	-paid	-paid
lobbyist	lobbyist	lobbyist
in	in	in
Washington	washington	Washington
since	sinc	since
his	his	his
2007	2007	2007
retirement	retir	retirement
from	from	from
Congress	congress	Congress
,	,	,
schemed	scheme	schemed
to	to	to
mask	mask	mask
more	more	more
than	than	than
950	950	950
,	,	,
000	000	000
in	in	in
withdrawals	withdraw	withdrawal
from	from	from
various	various	various
ac	ac	ac
counts	count	count
in	in	in
violation	violat	violation
of	of	of
federal	feder	federal
banking	bank	banking
laws	law	law
that	that	that
require	requir	require
the	the	the
disclosure	disclosur	disclosure
of	of	of
large	larg	large
cash	cash	cash
transactions	transact	transaction
,	,	,
according	accord	according
to	to	to
a	a	a
seven	seven	seven
-page	-page	-page
indictment	indict	indictment
delivered	deliv	delivered
by	by	by
a	a	a
grand	grand	grand
jury	juri	jury
in	in	in
Chicago	chicago	Chicago
.	.	.
The	the	The
indictment	indict	indictment
did	did	did
not	not	not
spell	spell	spell
out	out	out
the	the	the
exact	exact	exact
nature	natur	nature
of	of	of
the	the	the
prior	prior	prior
