21st	21st	21st
Century	centuri	Century
Wire	wire	Wire
says	say	say
Does	doe	Does
the	the	the
American	american	American
ideal	ideal	ideal
of	of	of
a	a	a
egalitarian	egalitarian	egalitarian
meritocracy	meritocraci	meritocracy
really	realli	really
live	live	live
up	up	up
to	to	to
the	the	the
reality	realiti	reality
?	?	?
Did	did	Did
it	it	it
ever	ever	ever
?	?	?
The	the	The
world	world	world
s	s	s
political	polit	political
and	and	and
financial	financi	financial
elite	elit	elite
are	are	are
currently	current	currently
operating	oper	operating
in	in	in
an	an	an
epoch	epoch	epoch
which	which	which
features	featur	feature
the	the	the
greatest	greatest	greatest
wealth	wealth	wealth
gap	gap	gap
in	in	in
human	human	human
history	histori	history
,	,	,
and	and	and
in	in	in
a	a	a
financial	financi	financial
environment	environ	environment
which	which	which
is	is	is
the	the	the
most	most	most
unrestrained	unrestrain	unrestrained
in	in	in
modern	modern	modern
times	time	time
all	all	all
controlled	control	controlled
by	by	by
a	a	a
relatively	relat	relatively
small	small	small
tribe	tribe	tribe
of	of	of
hereditary	hereditari	hereditary
elites	elit	elite
.	.	.
It	it	It
s	s	s
high	high	high
time	time	time
to	to	to
question	question	question
and	and	and
reexamine	reexamin	reexamine
the	the	the
post	post	post
-modern	-modern	-modern
concept	concept	concept
of	of	of
democracy	democraci	democracy
Liberal	liber	Liberal
Democracy	democraci	Democracy
is	is	is
a	a	a
system	system	system
of	of	of
governance	govern	governance
conditioned	condit	conditioned
not	not	not
only	onli	only
by	by	by
political	polit	political
liberties	liberti	liberty
such	such	such
as	as	a
free	free	free
and	and	and
fair	fair	fair
elections	elect	election
,	,	,
universal	univers	universal
suffrage	suffrag	suffrage
,	,	,
and	and	and
rights	right	right
to	to	to
run	run	run
for	for	for
office	offic	office
,	,	,
but	but	but
also	also	also
by	by	by
constitutional	constitut	constitutional
liberties	liberti	liberty
such	such	such
as	as	a
the	the	the
rule	rule	rule
of	of	of
law	law	law
,	,	,
respect	respect	respect
for	for	for
minorities	minor	minority
,	,	,
freedom	freedom	freedom
of	of	of
speech	speech	speech
,	,	,
religion	religion	religion
and	and	and
assembly	assembl	assembly
,	,	,
private	privat	private
property	properti	property
rights	right	right
,	,	,
and	and	and
most	most	most
importantly	import	importantly
,	,	,
a	a	a
wide	wide	wide
separation	separ	separation
of	of	of
powers	power	power
.	.	.
The	the	The
founding	found	founding
pillar	pillar	pillar
of	of	of
liberal	liber	liberal
democracy	democraci	democracy
,	,	,
therefore	therefor	therefore
,	,	,
is	is	is
its	it	it
citizens	citizen	citizen
ability	abil	ability
to	to	to
influence	influenc	influence
the	the	the
government	govern	government
s	s	s
policy	polici	policy
formulation	formul	formulation
through	through	through
the	the	the
exercise	exercis	exercise
of	of	of
the	the	the
aforementioned	aforement	aforementioned
political	polit	political
and	and	and
constitutional	constitut	constitutional
liberties	liberti	liberty
.	.	.
In	in	In
other	other	other
words	word	word
,	,	,
while	while	while
a	a	a
flawless	flawless	flawless
correspondence	correspond	correspondence
between	between	between
government	govern	government
policy	polici	policy
formulation	formul	formulation
and	and	and
majority	major	majority
preferences	prefer	preference
is	is	is
idealistic	idealist	idealistic
,	,	,
government	govern	government
responsiveness	respons	responsiveness
to	to	to
citizens	citizen	citizen
interests	interest	interest
and	and	and
concerns	concern	concern
,	,	,
in	in	in
the	the	the
process	process	process
of	of	of
policy	polici	policy
formulation	formul	formulation
,	,	,
is	is	is
of	of	of
central	central	central
importance	import	importance
when	when	when
evaluating	evalu	evaluating
democratic	democrat	democratic
governance	govern	governance
.	.	.
Petar	petar	Petar
Djolic	djolic	Djolic
Global	global	Global
ResearchErgo	researchergo	ResearchErgo
,	,	,
by	by	by
embracing	embrac	embracing
the	the	the
Iron	iron	Iron
Law	law	Law
of	of	of
Oligarchy	oligarchi	Oligarchy
and	and	and
The	the	The
Elite	elit	Elite
Theory	theori	Theory
s	s	s
perspective	perspect	perspective
,	,	,
this	this	this
paper	paper	paper
will	will	will
illustrate	illustr	illustrate
how	how	how
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
system	system	system
of	of	of
governance	govern	governance
,	,	,
while	while	while
providing	provid	providing
constitutional	constitut	constitutional
,	,	,
that	that	that
is	is	is
,	,	,
civil	civil	civil
liberties	liberti	liberty
to	to	to
its	it	it
citizens	citizen	citizen
,	,	,
espouses	espous	espouses
more	more	more
focused	focus	focused
and	and	and
more	more	more
powerful	power	powerful
interests	interest	interest
over	over	over
more	more	more
diffused	diffus	diffused
and	and	and
less	less	le
powerful	power	powerful
interests	interest	interest
.	.	.
This	this	This
inevitably	inevit	inevitably
results	result	result
in	in	in
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
political	polit	political
system	system	system
being	be	being
a	a	a
liberal	liber	liberal
oligarchy	oligarchi	oligarchy
rather	rather	rather
than	than	than
liberal	liber	liberal
democracy	democraci	democracy
as	as	a
it	it	it
is	is	is
presumed	presum	presumed
by	by	by
many	mani	many
see	see	see
Dahl	dahl	Dahl
,	,	,
1971	1971	1971
,	,	,
1985	1985	1985
,	,	,
2006	2006	2006
;	;	;
Tocqueville	tocquevill	Tocqueville
,	,	,
2000	2000	2000
;	;	;
Monroe	monro	Monroe
,	,	,
1979	1979	1979
;	;	;
Key	key	Key
,	,	,
1961	1961	1961
and	and	and
famously	famous	famously
Lincoln	lincoln	Lincoln
,	,	,
1989	1989	1989
.	.	.
First	first	First
,	,	,
the	the	the
paper	paper	paper
will	will	will
review	review	review
the	the	the
Iron	iron	Iron
Law	law	Law
of	of	of
Oligarchy	oligarchi	Oligarchy
and	and	and
The	the	The
Elite	elit	Elite
Theory	theori	Theory
while	while	while
highlighting	highlight	highlighting
some	some	some
of	of	of
their	their	their
most	most	most
prominent	promin	prominent
advocates	advoc	advocate
.	.	.
Next	next	Next
,	,	,
by	by	by
briefly	briefli	briefly
reflecting	reflect	reflecting
upon	upon	upon
the	the	the
definition	definit	definition
of	of	of
the	the	the
oligarchs	oligarch	oligarch
and	and	and
the	the	the
elites	elit	elite
,	,	,
the	the	the
paper	paper	paper
will	will	will
place	place	place
the	the	the
concept	concept	concept
of	of	of
political	polit	political
influence	influenc	influence
that	that	that
corporate	corpor	corporate
power	power	power
exerts	exert	exerts
in	in	in
context	context	context
.	.	.
Subsequently	subsequ	Subsequently
,	,	,
the	the	the
paper	paper	paper
will	will	will
survey	survey	survey
an	an	an
eminent	emin	eminent
empirical	empir	empirical
study	studi	study
that	that	that
found	found	found
a	a	a
vast	vast	vast
discrepancy	discrep	discrepancy
in	in	in
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
government	govern	government
s	s	s
responsiveness	respons	responsiveness
to	to	to
the	the	the
majority	major	majority
preferences	prefer	preference
as	as	a
opposed	oppos	opposed
to	to	to
the	the	the
preferences	prefer	preference
of	of	of
the	the	the
elites	elit	elite
.	.	.
Last	last	Last
,	,	,
the	the	the
essay	essay	essay
will	will	will
illustrate	illustr	illustrate
how	how	how
studies	studi	study
confirming	confirm	confirming
an	an	an
ostensibly	ostens	ostensibly
desirable	desir	desirable
degree	degre	degree
of	of	of
government	govern	government
s	s	s
responsiveness	respons	responsiveness
to	to	to
the	the	the
preferences	prefer	preference
of	of	of
average	averag	average
citizens	citizen	citizen
neglect	neglect	neglect
the	the	the
reflection	reflect	reflection
of	of	of
those	those	those
preferences	prefer	preference
to	to	to
those	those	those
of	of	of
wealthy	wealthi	wealthy
citizens	citizen	citizen
.	.	.
The	the	The
Iron	iron	Iron
Law	law	Law
of	of	of
Oligarchy	oligarchi	Oligarchy
and	and	and
The	the	The
Elite	elit	Elite
TheoryPolitical	theorypolit	TheoryPolitical
theory	theori	theory
,	,	,
The	the	The
Iron	iron	Iron
Law	law	Law
of	of	of
Oligarchy	oligarchi	Oligarchy
,	,	,
was	was	wa
first	first	first
proposed	propos	proposed
by	by	by
Robert	robert	Robert
Michels	michel	Michels
in	in	in
his	his	his
book	book	book
Political	polit	Political
Parties	parti	Parties
1999	1999	1999
and	and	and
later	later	later
developed	develop	developed
into	into	into
The	the	The
Elite	elit	Elite
Theory	theori	Theory
by	by	by
scholars	scholar	scholar
such	such	such
as	as	a
C	c	C
.	.	.
Wright	wright	Wright
Mills	mill	Mills
,	,	,
Elmer	elmer	Elmer
Eric	eric	Eric
Schattschneider	schattschneid	Schattschneider
,	,	,
G	g	G
.	.	.
William	william	William
Domhoff	domhoff	Domhoff
,	,	,
etc	etc	etc
.	.	.
Opposing	oppos	Opposing
pluralism	plural	pluralism
,	,	,
the	the	the
theory	theori	theory
focuses	focus	focus
on	on	on
the	the	the
disparity	dispar	disparity
between	between	between
the	the	the
political	polit	political
influence	influenc	influence
exerted	exert	exerted
by	by	by
the	the	the
oligarchs	oligarch	oligarch
or	or	or
the	the	the
elites	elit	elite
,	,	,
actors	actor	actor
that	that	that
control	control	control
considerable	consider	considerable
concentrations	concentr	concentration
of	of	of
wealth	wealth	wealth
,	,	,
as	as	a
opposed	oppos	opposed
to	to	to
that	that	that
of	of	of
the	the	the
average	averag	average
citizen	citizen	citizen
.	.	.
This	this	This
school	school	school
of	of	of
political	polit	political
thought	thought	thought
argues	argu	argues
that	that	that
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
system	system	system
of	of	of
governance	govern	governance
espouses	espous	espouses
more	more	more
focused	focus	focused
and	and	and
more	more	more
powerful	power	powerful
interests	interest	interest
over	over	over
more	more	more
diffused	diffus	diffused
and	and	and
less	less	le
powerful	power	powerful
interests	interest	interest
.	.	.
That	that	That
is	is	is
,	,	,
the	the	the
advocates	advoc	advocate
of	of	of
the	the	the
Elite	elit	Elite
Theory	theori	Theory
stress	stress	stress
that	that	that
,	,	,
in	in	in
the	the	the
case	case	case
of	of	of
the	the	the
United	unit	United
States	state	States
government	govern	government
policy	polici	policy
formulation	formul	formulation
,	,	,
influence	influenc	influence
is	is	is
conditioned	condit	conditioned
by	by	by
affluence	affluenc	affluence
.	.	.
Mills	mill	Mills
1959	1959	1959
,	,	,
in	in	in
his	his	his
magnum	magnum	magnum
opus	opus	opus
,	,	,
The	the	The
Power	power	Power
Elite	elit	Elite
,	,	,
offered	offer	offered
a	a	a
comprehensive	comprehens	comprehensive
description	descript	description
of	of	of
how	how	how
U	u	U
.	.	.
S	s	S
.	.	.
political	polit	political
,	,	,
economic	econom	economic
,	,	,
military	militari	military
and	and	and
social	social	social
elites	elit	elite
have	have	have
dominated	domin	dominated
key	key	key
issues	issu	issue
in	in	in
public	public	public
policy	polici	policy
formulation	formul	formulation
.	.	.
Similarly	similar	Similarly
,	,	,
in	in	in
The	the	The
Semisovereign	semisovereign	Semisovereign
People	peopl	People
,	,	,
Schattschneider	schattschneid	Schattschneider
asserted	assert	asserted
that	that	that
the	the	the
realm	realm	realm
of	of	of
the	the	the
pressure	pressur	pressure
system	system	system
is	is	is
actually	actual	actually
fairly	fair	fairly
small	small	small
the	the	the
range	rang	range
of	of	of
organized	organ	organized
,	,	,
identifiable	identifi	identifiable
,	,	,
known	known	known
groups	group	group
is	is	is
amazingly	amaz	amazingly
narrow	narrow	narrow
;	;	;
there	there	there
is	is	is
nothing	noth	nothing
remotely	remot	remotely
universal	univers	universal
about	about	about
it	it	it
1960	1960	1960
30	30	30
.	.	.
Schattschneider	schattschneid	Schattschneider
continues	continu	continues
by	by	by
arguing	argu	arguing
that	that	that
business	busi	business
or	or	or
upper	upper	upper
-class	-class	-class
bias	bias	bias
of	of	of
the	the	the
pressure	pressur	pressure
system	system	system
shows	show	show
up	up	up
everywhere	everywher	everywhere
ibid	ibid	ibid
30	30	30
,	,	,
therefore	therefor	therefore
,	,	,
the	the	the
notion	notion	notion
that	that	that
the	the	the
pressure	pressur	pressure
system	system	system
is	is	is
