Wow	wow	Wow
!	!	!

The	the	The
liberal	liber	liberal
Supreme	suprem	Supreme
Court	court	Court
s	s	s
really	realli	really
making	make	making
their	their	their
views	view	view
known	known	known
with	with	with
the	the	the
past	past	past
few	few	few
decisions	decis	decision
.	.	.

Thank	thank	Thank
goodness	good	goodness
for	for	for
the	the	the
ACLJ	aclj	ACLJ
and	and	and
all	all	all
the	the	the
good	good	good
work	work	work
they	they	they
do	do	do
This	this	This
afternoon	afternoon	afternoon
,	,	,
the	the	the
Supreme	suprem	Supreme
Court	court	Court
of	of	of
the	the	the
United	unit	United
States	state	States
ordered	order	ordered
to	to	to
stay	stay	stay
the	the	the
Fifth	fifth	Fifth
Circuit	circuit	Circuit
s	s	s
ruling	rule	ruling
upholding	uphold	upholding
the	the	the
common	common	common
-sense	-sens	-sense
abortion	abort	abortion
restrictions	restrict	restriction
passed	pass	passed
by	by	by
Texas	texa	Texas
in	in	in
2013	2013	2013
.	.	.

In	in	In
a	a	a
5	5	5
-4	-4	-4
vote	vote	vote
with	with	with
Chief	chief	Chief
Justice	justic	Justice
Roberts	robert	Roberts
,	,	,
Justice	justic	Justice
Scalia	scalia	Scalia
,	,	,
Justice	justic	Justice
Thomas	thoma	Thomas
,	,	,
and	and	and
Justice	justic	Justice
Alito	alito	Alito
dissenting	dissent	dissenting
,	,	,
the	the	the
Court	court	Court
granted	grant	granted
the	the	the
application	applic	application
to	to	to
stay	stay	stay
the	the	the
5th	5th	5th
Circuit	circuit	Circuit
decision	decis	decision
.	.	.
As	as	As
The	the	The
New	new	New
York	york	York
Times	time	Times
reports	report	report
The	the	The
Supreme	suprem	Supreme
Court	court	Court
on	on	on
Monday	monday	Monday
allowed	allow	allowed
nine	nine	nine
Texas	texa	Texas
abortion	abort	abortion
clinics	clinic	clinic
to	to	to
remain	remain	remain
open	open	open
while	while	while
the	the	the
justices	justic	justice
consider	consid	consider
whether	whether	whether
to	to	to
hear	hear	hear
an	an	an
appeal	appeal	appeal
from	from	from
a	a	a
decision	decis	decision
effectively	effect	effectively
ordering	order	ordering
them	them	them
to	to	to
close	close	close
.	.	.

The	the	The
case	case	case
concerns	concern	concern
two	two	two
parts	part	part
of	of	of
a	a	a
state	state	state
law	law	law
that	that	that
imposes	impos	imposes
strict	strict	strict
requirements	requir	requirement
on	on	on
abortion	abort	abortion
providers	provid	provider
.	.	.

One	one	One
requires	requir	requires
all	all	all
abortion	abort	abortion
clinics	clinic	clinic
in	in	in
the	the	the
state	state	state
to	to	to
meet	meet	meet
the	the	the
standards	standard	standard
for	for	for
ambulatory	ambulatori	ambulatory
surgical	surgic	surgical
centers	center	center
,	,	,
including	includ	including
regulations	regul	regulation
concerning	concern	concerning
buildings	build	building
,	,	,
equipment	equip	equipment
and	and	and
staffing	staf	staffing
.	.	.

The	the	The
other	other	other
requires	requir	requires
doctors	doctor	doctor
performing	perform	performing
abortions	abort	abortion
to	to	to
have	have	have
admitting	admit	admitting
privileges	privileg	privilege
at	at	at
a	a	a
nearby	nearbi	nearby
hospital	hospit	hospital
.	.	.
Other	other	Other
parts	part	part
of	of	of
the	the	the
law	law	law
took	took	took
effect	effect	effect
in	in	in
