Former	former	Former
reality	realiti	reality
show	show	show
star	star	star
Donald	donald	Donald
Trump	trump	Trump
launched	launch	launched
a	a	a
war	war	war
on	on	on
the	the	the
free	free	free
press	press	press
during	dure	during
his	his	his
campaign	campaign	campaign
and	and	and
it	it	it
s	s	s
been	been	been
ongoing	ongo	ongoing
ever	ever	ever
since	sinc	since
.	.	.
On	on	On
Friday	friday	Friday
,	,	,
Attorney	attorney	Attorney
General	general	General
Jeff	jeff	Jeff
Sessions	session	Sessions
announced	announc	announced
that	that	that
the	the	the
Justice	justic	Justice
Department	depart	Department
is	is	is
reviewing	review	reviewing
policies	polici	policy
for	for	for
subpoenaing	subpoena	subpoenaing
reporters	report	reporter
and	and	and
forcing	forc	forcing
them	them	them
to	to	to
give	give	give
up	up	up
their	their	their
sources	sourc	source
and	and	and
that	that	that
s	s	s
not	not	not
going	go	going
to	to	to
go	go	go
down	down	down
very	veri	very
well	well	well
.	.	.
NBC	nbc	NBC
s	s	s
Meet	meet	Meet
the	the	the
Press	press	Press
moderator	moder	moderator
Chuck	chuck	Chuck
Todd	todd	Todd
gave	gave	gave
zero	zero	zero
f	f	f
cks	cks	cks
over	over	over
Sessions	session	Sessions
threat	threat	threat
and	and	and
said	said	said
flat	flat	flat
out	out	out
that	that	that
he	he	he
would	would	would
ignore	ignor	ignore
any	ani	any
subpoena	subpoena	subpoena
the	the	the
Department	depart	Department
of	of	of
Justice	justic	Justice
issues	issu	issue
him	him	him
.	.	.
If	if	If
DoJ	doj	DoJ
media	media	medium
source	sourc	source
threat	threat	threat
is	is	is
real	real	real
I	i	I
assume	assum	assume
it	it	it
s	s	s
not	not	not
;	;	;
just	just	just
a	a	a
show	show	show
presser	presser	presser
to	to	to
please	pleas	please
WH	wh	WH
then	then	then
I	i	I
look	look	look
forward	forward	forward
to	to	to
ignoring	ignor	ignoring
that	that	that
subpoena	subpoena	subpoena
,	,	,
Todd	todd	Todd
tweeted	tweet	tweeted
.	.	.
If	if	If
DoJ	doj	DoJ
media	media	medium
source	sourc	source
threat	threat	threat
is	is	is
real	real	real
I	i	I
assume	assum	assume
it's	it	it's
not	not	not
;	;	;
just	just	just
a	a	a
show	show	show
presser	presser	presser
to	to	to
please	pleas	please
WH	wh	WH
then	then	then
I	i	I
look	look	look
forward	forward	forward
to	to	to
ignoring	ignor	ignoring
that	that	that
subpoena	subpoena	subpoena
Chuck	chuck	Chuck
Todd	todd	Todd
@chucktodd	@chucktodd	@chucktodd
August	august	August
4	4	4
,	,	,
2017	2017	2017
One	one	One
of	of	of
the	the	the
things	thing	thing
we	we	we
are	are	are
doing	do	doing
is	is	is
reviewing	review	reviewing
the	the	the
policies	polici	policy
affecting	affect	affecting
media	media	medium
subpoenas	subpoena	subpoena
,	,	,
Sessions	session	Sessions
said	said	said
Thursday	thursday	Thursday
.	.	.
We	we	We
respect	respect	respect
the	the	the
important	import	important
role	role	role
that	that	that
the	the	the
press	press	press
plays	play	play
,	,	,
and	and	and
we	we	we
will	will	will
give	give	give
our	our	our
support	support	support
.	.	.
But	but	But
,	,	,
it	it	it
is	is	is
not	not	not
unlimited	unlimit	unlimited
.	.	.
They	they	They
cannot	cannot	cannot
place	place	place
lives	live	life
at	at	at
risk	risk	risk
