Beginning	begin	Beginning
in	in	in
2011	2011	2011
,	,	,
Republican	republican	Republican
-controlled	-control	-controlled
states	state	state
began	began	began
setting	set	setting
up	up	up
what	what	what
they	they	they
claim	claim	claim
is	is	is
a	a	a
system	system	system
to	to	to
identify	identifi	identify
voters	voter	voter
who	who	who
have	have	have
voted	vote	voted
in	in	in
more	more	more
than	than	than
one	one	one
place	place	place
.	.	.
As	as	As
reported	report	reported
on	on	on
Democracy	democraci	Democracy
Now	now	Now
,	,	,
at	at	at
least	least	least
27	27	27
states	state	state
began	began	began
using	use	using
an	an	an
interstate	interst	interstate
cross	cross	cross
-checking	-check	-checking
system	system	system
,	,	,
which	which	which
identifies	identifi	identifies
voters	voter	voter
whose	whose	whose
names	name	name
appear	appear	appear
on	on	on
the	the	the
voter	voter	voter
rolls	roll	roll
in	in	in
more	more	more
than	than	than
one	one	one
state	state	state
.	.	.
Investigative	investig	Investigative
reporter	report	reporter
Greg	greg	Greg
Palast	palast	Palast
was	was	wa
able	abl	able
to	to	to
access	access	access
the	the	the
list	list	list
of	of	of
flagged	flag	flagged
voters	voter	voter
,	,	,
which	which	which
has	has	ha
now	now	now
grown	grown	grown
to	to	to
include	includ	include
more	more	more
than	than	than
seven	seven	seven
million	million	million
names	name	name
.	.	.
As	as	As
Palast	palast	Palast
explains	explain	explains
during	dure	during
a	a	a
recent	recent	recent
episode	episod	episode
of	of	of
Redacted	redact	Redacted
Tonight	tonight	Tonight
,	,	,
not	not	not
a	a	a
single	singl	single
person	person	person
whose	whose	whose
name	name	name
appears	appear	appears
on	on	on
the	the	the
list	list	list
of	of	of
flagged	flag	flagged
voters	voter	voter
has	has	ha
been	been	been
prosecuted	prosecut	prosecuted
for	for	for
voter	voter	voter
fraud	fraud	fraud
.	.	.
In	in	In
fact	fact	fact
,	,	,
none	none	none
of	of	of
the	the	the
people	peopl	people
whose	whose	whose
names	name	name
have	have	have
been	been	been
removed	remov	removed
from	from	from
the	the	the
voting	vote	voting
rolls	roll	roll
for	for	for
suspected	suspect	suspected
voter	voter	voter
fraud	fraud	fraud
has	has	ha
even	even	even
been	been	been
reported	report	reported
for	for	for
further	further	further
investigation	investig	investigation
.	.	.
That	that	That
s	s	s
because	becaus	because
Republicans	republican	Republicans
know	know	know
that	that	that
this	this	this
system	system	system
does	doe	doe
not	not	not
identify	identifi	identify
people	peopl	people
who	who	who
are	are	are
voting	vote	voting
multiple	multipl	multiple
times	time	time
,	,	,
as	as	a
they	they	they
claim	claim	claim
it	it	it
does	doe	doe
.	.	.
After	after	After
reviewing	review	reviewing
the	the	the
list	list	list
firsthand	firsthand	firsthand
,	,	,
Palast	palast	Palast
discovered	discov	discovered
that	that	that
it	it	it
is	is	is
made	made	made
up	up	up
of	of	of
voters	voter	voter
who	who	who
have	have	have
very	veri	very
common	common	common
names	name	name
;	;	;
for	for	for
example	exampl	example
,	,	,
Joe	joe	Joe
Smith	smith	Smith
.	.	.
While	while	While
it	it	it
would	would	would
be	be	be
surprising	surpris	surprising
if	if	if
a	a	a
name	name	name
like	like	like
Joe	joe	Joe
Smith	smith	Smith
didn	didn	didn
t	t	t
appear	appear	appear
multiple	multipl	multiple
times	time	time
on	on	on
several	sever	several
state	state	state
voter	voter	voter
rolls	roll	roll
,	,	,
the	the	the
system	system	system
flags	flag	flag
any	ani	any
voter	voter	voter
who	who	who
appears	appear	appears
to	to	to
be	be	be
registered	regist	registered
twice	twice	twice
.	.	.
Worse	wors	Worse
,	,	,
it	it	it
even	even	even
flags	flag	flag
voters	voter	voter
who	who	who
may	may	may
have	have	have
the	the	the
same	same	same
first	first	first
and	and	and
last	last	last
name	name	name
as	as	a
another	anoth	another
person	person	person
,	,	,
but	but	but
an	an	an
entirely	entir	entirely
different	differ	different
middle	middl	middle
name	name	name
.	.	.
Not	not	Not
surprisingly	surpris	surprisingly
,	,	,
the	the	the
interstate	interst	interstate
cross	cross	cross
-check	-check	-check
system	system	system
overwhelmingly	overwhelm	overwhelmingly
impacts	impact	impact
minority	minor	minority
and	and	and
Democratic	democrat	Democratic
voters	voter	voter
.	.	.
During	dure	During
a	a	a
March	march	March
10	10	10
,	,	,
2016	2016	2016
interview	interview	interview
with	with	with
Lee	lee	Lee
Camp	camp	Camp
,	,	,
Palast	palast	Palast
described	describ	described
the	the	the
likely	like	likely
impact	impact	impact
of	of	of
the	the	the
interstate	interst	interstate
crosscheck	crosscheck	crosscheck
system	system	system
on	on	on
the	the	the
2016	2016	2016
election	elect	election
.	.	.
Watch	watch	Watch
the	the	the
interview	interview	interview
below	below	below
Palast	palast	Palast
first	first	first
began	began	began
sounding	sound	sounding
the	the	the
alarm	alarm	alarm
over	over	over
inaccuracies	inaccuraci	inaccuracy
in	in	in
the	the	the
interstate	interst	interstate
crosscheck	crosscheck	crosscheck
system	system	system
in	in	in
2014	2014	2014
.	.	.
A	a	A
thirty	thirti	thirty
-minute	-minut	-minute
special	special	special
report	report	report
titled	titl	titled
Jim	jim	Jim
Crow	crow	Crow
Returns	return	Returns
Interstate	interst	Interstate
Crosscheck	crosscheck	Crosscheck
Program	program	Program
threatens	threaten	threatens
Millions	million	Millions
of	of	of
Voters	voter	Voters
,	,	,
provides	provid	provides
a	a	a
closer	closer	closer
look	look	look
at	at	at
the	the	the
list	list	list
of	of	of
voters	voter	voter
who	who	who
have	have	have
been	been	been
impacted	impact	impacted
by	by	by
the	the	the
bogus	bogus	bogus
system	system	system
.	.	.
Watch	watch	Watch
the	the	the
full	full	full
report	report	report
below	below	below
,	,	,
via	via	via
Greg	greg	Greg
Palast	palast	Palast
on	on	on
YouTube	youtub	YouTube
Millions	million	Millions
of	of	of
voters	voter	voter
are	are	are
likely	like	likely
to	to	to
be	be	be
kicked	kick	kicked
from	from	from
the	the	the
voter	voter	voter
rolls	roll	roll
between	between	between
now	now	now
and	and	and
November	novemb	November
,	,	,
if	if	if
they	they	they
haven	haven	haven
t	t	t
been	been	been
already	alreadi	already
.	.	.
One	one	One
of	of	of
the	the	the
most	most	most
important	import	important
things	thing	thing
voters	voter	voter
can	can	can
do	do	do
to	to	to
protect	protect	protect
their	their	their
voting	vote	voting
rights	right	right
is	is	is
regularly	regular	regularly
check	check	check
their	their	their
status	status	status
