Student	student	Student
government	govern	government
leaders	leader	leader
at	at	at
Loyola	loyola	Loyola
University	univers	University
Maryland	maryland	Maryland
faced	face	faced
a	a	a
barrage	barrag	barrage
of	of	of
pressure	pressur	pressure
from	from	from
the	the	the
university	univers	university
administration	administr	administration
to	to	to
change	chang	change
the	the	the
theme	theme	theme
of	of	of
a	a	a
senior	senior	senior
class	class	class
party	parti	party
described	describ	described
as	as	a
very	veri	very
alienating	alien	alienating
,	,	,
divisive	divis	divisive
and	and	and
harmful	harm	harmful
and	and	and
against	against	against
the	the	the
university	univers	university
s	s	s
core	core	core
values	valu	value
,	,	,
according	accord	according
to	to	to
emails	email	email
provided	provid	provided
to	to	to
The	the	The
Daily	daili	Daily
Caller	caller	Caller
.	.	.
The	the	The
theme	theme	theme
?	?	?
America	america	America
.	.	.
The	the	The
theme	theme	theme
for	for	for
Loyola	loyola	Loyola
s	s	s
annual	annual	annual
Senior	senior	Senior
200s	200s	200s
party	parti	party
one	one	one
of	of	of
four	four	four
celebrations	celebr	celebration
exclusive	exclus	exclusive
to	to	to
seniors	senior	senior
held	held	held
throughout	throughout	throughout
the	the	the
year	year	year
was	was	wa
based	base	based
upon	upon	upon
a	a	a
survey	survey	survey
of	of	of
Loyola	loyola	Loyola
seniors	senior	senior
taken	taken	taken
last	last	last
summer	summer	summer
.	.	.
The	the	The
party	parti	party
was	was	wa
held	held	held
on	on	on
Nov	nov	Nov
.	.	.
18	18	18
and	and	and
went	went	went
off	off	off
without	without	without
a	a	a
hitch	hitch	hitch
,	,	,
according	accord	according
to	to	to
students	student	student
who	who	who
attended	attend	attended
,	,	,
despite	despit	despite
warnings	warn	warning
that	that	that
the	the	the
administration	administr	administration
might	might	might
have	have	have
to	to	to
get	get	get
involved	involv	involved
if	if	if
students	student	student
were	were	were
offended	offend	offended
.	.	.
Emails	email	Emails
sent	sent	sent
to	to	to
student	student	student
government	govern	government
representatives	repres	representative
were	were	were
provided	provid	provided
to	to	to
TheDC	thedc	TheDC
on	on	on
condition	condit	condition
of	of	of
anonymity	anonym	anonymity
.	.	.
Multiple	multipl	Multiple
student	student	student
government	govern	government
representatives	repres	representative
confirmed	confirm	confirmed
the	the	the
emails	email	email
authenticity	authent	authenticity
on	on	on
condition	condit	condition
of	of	of
anonymity	anonym	anonymity
for	for	for
fear	fear	fear
of	of	of
retaliation	retali	retaliation
from	from	from
the	the	the
administration	administr	administration
.	.	.
Right	right	Right
before	befor	before
the	the	the
presidential	presidenti	presidential
election	elect	election
,	,	,
some	some	some
student	student	student
government	govern	government
members	member	member
wondered	wonder	wondered
if	if	if
they	they	they
should	should	should
nix	nix	nix
the	the	the
America	america	America
theme	theme	theme
if	if	if
Donald	donald	Donald
Trump	trump	Trump
won	won	won
,	,	,
according	accord	according
to	to	to
internal	intern	internal
SGA	sga	SGA
group	group	group
chats	chat	chat
shared	share	shared
with	with	with
TheDC	thedc	TheDC
on	on	on
condition	condit	condition
of	of	of
anonymity	anonym	anonymity
for	for	for
the	the	the
same	same	same
reason	reason	reason
.	.	.
One	one	One
representative	repres	representative
claimed	claim	claimed
that	that	that
if	if	if
Trump	trump	Trump
wins	win	win
it	it	it
will	will	will
be	be	be
bad	bad	bad
,	,	,
while	while	while
another	anoth	another
argued	argu	argued
it	it	it
would	would	would
be	be	be
wrong	wrong	wrong
to	to	to
change	chang	change
the	the	the
party	parti	party
theme	theme	theme
simply	simpli	simply
because	becaus	because
of	of	of
disagreement	disagr	disagreement
with	with	with
the	the	the
president	presid	president
-elect	-elect	-elect
s	s	s
policies	polici	policy
.	.	.
The	the	The
party	parti	party
was	was	wa
still	still	still
on	on	on
.	.	.
The	the	The
day	day	day
after	after	after
Trump	trump	Trump
s	s	s
victory	victori	victory
,	,	,
a	a	a
handful	hand	handful
of	of	of
students	student	student
messaged	messag	messaged
SGA	sga	SGA
representatives	repres	representative
to	to	to
argue	argu	argue
that	that	that
because	becaus	because
of	of	of
Trump	trump	Trump
s	s	s
victory	victori	victory
an	an	an
America	america	America
-themed	-theme	-themed
party	parti	party
was	was	wa
now	now	now
inappropriate	inappropri	inappropriate
.	.	.
One	one	One
female	femal	female
student	student	student
claimed	claim	claimed
she	she	she
was	was	wa
a	a	a
victim	victim	victim
of	of	of
horrible	horribl	horrible
hate	hate	hate
words	word	word
and	and	and
worried	worri	worried
that	that	that
similar	similar	similar
mean	mean	mean
things	thing	thing
might	might	might
be	be	be
said	said	said
at	at	at
the	the	the
party	parti	party
if	if	if
the	the	the
theme	theme	theme
wasn	wasn	wasn
t	t	t
changed	chang	changed
.	.	.
When	when	When
the	the	the
possibility	possibl	possibility
of	of	of
unpleasant	unpleas	unpleasant
feelings	feel	feeling
wasn	wasn	wasn
t	t	t
enough	enough	enough
to	to	to
cancel	cancel	cancel
a	a	a
class	class	class
-wide	-wide	-wide
event	event	event
,	,	,
the	the	the
administration	administr	administration
got	got	got
involved	involv	involved
.	.	.
The	the	The
university	univers	university
s	s	s
executive	execut	executive
vice	vice	vice
president	presid	president
,	,	,
Susan	susan	Susan
Donovan	donovan	Donovan
sent	sent	sent
an	an	an
email	email	email
to	to	to
two	two	two
SGA	sga	SGA
members	member	member
claiming	claim	claiming
she	she	she
talked	talk	talked
with	with	with
a	a	a
number	number	number
of	of	of
students	student	student
and	and	and
heard	heard	heard
from	from	from
faculty	faculti	faculty
members	member	member
about	about	about
the	the	the
party	parti	party
.	.	.
None	none	None
of	of	of
it	it	it
is	is	is
positive	posit	positive
and	and	and
it	it	it
sounds	sound	sound
very	veri	very
alienating	alien	alienating
,	,	,
divisive	divis	divisive
and	and	and
harmful	harm	harmful
.	.	.
Sheilah	sheilah	Sheilah
Horton	horton	Horton
,	,	,
the	the	the
university	univers	university
s	s	s
dean	dean	dean
of	of	of
students	student	student
also	also	also
tried	tri	tried
to	to	to
pressure	pressur	pressure
students	student	student
to	to	to
change	chang	change
the	the	the
party	parti	party
theme	theme	theme
,	,	,
in	in	in
a	a	a
lengthy	lengthi	lengthy
email	email	email
that	that	that
portrayed	portray	portrayed
the	the	the
students	student	student
as	as	a
insensitive	insensit	insensitive
for	for	for
not	not	not
canceling	cancel	canceling
the	the	the
America	america	America
theme	theme	theme
.	.	.
Horton	horton	Horton
worried	worri	worried
that	that	that
the	the	the
theme	theme	theme
provides	provid	provides
an	an	an
opportunity	opportun	opportunity
for	for	for
students	student	student
to	to	to
dress	dress	dress
or	or	or
behave	behav	behave
in	in	in
a	a	a
way	way	way
that	that	that
offends	offend	offends
or	or	or
oppresses	oppress	oppresses
others	other	others
.	.	.
Horton	horton	Horton
also	also	also
said	said	said
the	the	the
administration	administr	administration
would	would	would
have	have	have
to	to	to
deal	deal	deal
with	with	with
any	ani	any
fallout	fallout	fallout
from	from	from
the	the	the
party	parti	party
,	,	,
which	which	which
she	she	she
worried	worri	worried
would	would	would
make	make	make
students	student	student
feel	feel	feel
unsafe	unsaf	unsafe
.	.	.
She	she	She
also	also	also
worried	worri	worried
that	that	that
the	the	the
America	america	America
-themed	-theme	-themed
party	parti	party
might	might	might
keep	keep	keep
potential	potenti	potential
students	student	student
from	from	from
attending	attend	attending
Loyola	loyola	Loyola
and	and	and
implied	impli	implied
the	the	the
event	event	event
could	could	could
be	be	be
the	the	the
defining	defin	defining
incident	incid	incident
of	of	of
the	the	the
senior	senior	senior
class	class	class
.	.	.
Even	even	Even
one	one	one
negative	negat	negative
event	event	event
,	,	,
especially	especi	especially
with	with	with
social	social	social
media	media	medium
can	can	can
cause	caus	cause
the	the	the
campus	campus	campus
community	communiti	community
to	to	to
feel	feel	feel
unsafe	unsaf	unsafe
;	;	;
it	it	it
can	can	can
be	be	be
shared	share	shared
with	with	with
potential	potenti	potential
students	student	student
which	which	which
can	can	can
have	have	have
an	an	an
effect	effect	effect
on	on	on
admissions	admiss	admission
and	and	and
indeed	inde	indeed
can	can	can
be	be	be
the	the	the
defining	defin	defining
incident	incid	incident
for	for	for
the	the	the
class	class	class
of	of	of
2017	2017	2017
,	,	,
she	she	she
said	said	said
.	.	.
So	so	So
,	,	,
you	you	you
have	have	have
made	made	made
a	a	a
decision	decis	decision
that	that	that
in	in	in
effect	effect	effect
,	,	,
has	has	ha
the	the	the
potential	potenti	potential
to	to	to
cause	caus	cause
negative	negat	negative
consequences	consequ	consequence
for	for	for
the	the	the
university	univers	university
and	and	and
even	even	even
to	to	to
the	the	the
students	student	student
whose	whose	whose
behavior	behavior	behavior
crosses	cross	cross
the	the	the
line	line	line
,	,	,
she	she	she
continued	continu	continued
.	.	.
Horton	horton	Horton
did	did	did
not	not	not
respond	respond	respond
to	to	to
TheDC	thedc	TheDC
s	s	s
request	request	request
for	for	for
comment	comment	comment
by	by	by
press	press	press
time	time	time
.	.	.
I	i	I
was	was	wa
amazed	amaz	amazed
and	and	and
shocked	shock	shocked
at	at	at
not	not	not
only	onli	only
the	the	the
reaction	reaction	reaction
and	and	and
lack	lack	lack
of	of	of
confidence	confid	confidence
of	of	of
the	the	the
administration	administr	administration
in	in	in
our	our	our
class	class	class
and	and	and
SGA	sga	SGA
itself	itself	itself
,	,	,
but	but	but
how	how	how
they	they	they
handled	handl	handled
everything	everyth	everything
including	includ	including
some	some	some
of	of	of
the	the	the
rude	rude	rude
things	thing	thing
said	said	said
about	about	about
our	our	our
organization	organ	organization
.	.	.
It	it	It
is	is	is
quite	quit	quite
disgusting	disgust	disgusting
how	how	how
people	peopl	people
feel	feel	feel
and	and	and
see	see	see
the	the	the
word	word	word
America	america	America
as	as	a
something	someth	something
that	that	that
is	is	is
discriminatory	discriminatori	discriminatory
,	,	,
said	said	said
one	one	one
student	student	student
government	govern	government
representative	repres	representative
,	,	,
who	who	who
wished	wish	wished
to	to	to
remain	remain	remain
anonymous	anonym	anonymous
out	out	out
of	of	of
fear	fear	fear
of	of	of
retaliation	retali	retaliation
from	from	from
the	the	the
administration	administr	administration
.	.	.
We	we	We
should	should	should
see	see	see
the	the	the
theme	theme	theme
America	america	America
as	as	a
a	a	a
way	way	way
to	to	to
forget	forget	forget
political	polit	political
divide	divid	divide
and	and	and
come	come	come
together	togeth	together
as	as	a
a	a	a
country	countri	country
and	and	and
class	class	class
and	and	and
celebrate	celebr	celebrate
all	all	all
that	that	that
we	we	we
have	have	have
accomplished	accomplish	accomplished
.	.	.
That	that	That
is	is	is
what	what	what
ended	end	ended
up	up	up
happening	happen	happening
,	,	,
yet	yet	yet
we	we	we
didn	didn	didn
t	t	t
have	have	have
the	the	the
support	support	support
of	of	of
people	peopl	people
in	in	in
our	our	our
class	class	class
and	and	and
the	the	the
administration	administr	administration
itself	itself	itself
.	.	.
Daily	daili	Daily
Caller	caller	Caller
