IAN	ian	IAN
JACKSON	jackson	JACKSON
People	peopl	People
have	have	have
been	been	been
slightly	slight	slightly
concerned	concern	concerned
about	about	about
the	the	the
trail	trail	trail
and	and	and
as	as	a
your	your	your
last	last	last
guest	guest	guest
pointed	point	pointed
out	out	out
it	it	it
s	s	s
very	veri	very
decentralized	decentr	decentralized
.	.	.
ED	ed	ED
HENRYY	henryy	HENRYY
Uh	uh	Uh
-huh	-huh	-huh
.	.	.
When	when	When
you	you	you
say	say	say
slightly	slight	slightly
concerned	concern	concerned
,	,	,
that	that	that
doesn	doesn	doesn
t	t	t
sound	sound	sound
to	to	to
me	me	me
like	like	like
there	there	there
s	s	s
widespread	widespread	widespread
allegations	alleg	allegation
or	or	or
more	more	more
importantly	import	importantly
evidence	evid	evidence
of	of	of
some	some	some
sort	sort	sort
of	of	of
fraud	fraud	fraud
.	.	.
So	so	So
is	is	is
this	this	this
giving	give	giving
Jill	jill	Jill
Stein	stein	Stein
supporters	support	supporter
some	some	some
sort	sort	sort
of	of	of
false	fals	false
hope	hope	hope
?	?	?
JACKSON	jackson	JACKSON
Well	well	Well
,	,	,
I	i	I
pause	paus	pause
there	there	there
s	s	s
we	we	we
re	re	re
pause	paus	pause
trying	tri	trying
to	to	to
find	find	find
what	what	what
the	the	the
count	count	count
is	is	is
and	and	and
pause	paus	pause
I	i	I
m	m	m
not	not	not
sure	sure	sure
it	it	it
s	s	s
false	fals	false
hope	hope	hope
.	.	.
It	it	It
s	s	s
trying	tri	trying
to	to	to
find	find	find
the	the	the
truth	truth	truth
behind	behind	behind
the	the	the
numbers	number	number
.	.	.
There	there	There
has	has	ha
been	been	been
these	these	these
allegations	alleg	allegation
by	by	by
computer	comput	computer
scientists	scientist	scientist
but	but	but
as	as	a
your	your	your
last	last	last
guest	guest	guest
pointed	point	pointed
out	out	out
,	,	,
it	it	it
was	was	wa
using	use	using
different	differ	different
systems	system	system
and	and	and
using	use	using
that	that	that
,	,	,
being	be	being
engineers	engin	engineer
,	,	,
um	um	um
,	,	,
I	i	I
m	m	m
a	a	a
software	softwar	software
engineer	engin	engineer
and	and	and
we	we	we
like	like	like
our	our	our
little	littl	little
pause	paus	pause
models	model	model
,	,	,
but	but	but
unless	unless	unless
you	you	you
actually	actual	actually
count	count	count
and	and	and
check	check	check
it	it	it
,	,	,
you	you	you
don	don	don
t	t	t
know	know	know
whether	whether	whether
it	it	it
s	s	s
just	just	just
a	a	a
thoughy	thoughi	thoughy
well	well	well
,	,	,
they	they	they
used	use	used
something	someth	something
different	differ	different
or	or	or
if	if	if
there	there	there
s	s	s
something	someth	something
to	to	to
it	it	it
.	.	.
And	and	And
you	you	you
mentioned	mention	mentioned
your	your	your
show	show	show
is	is	is
all	all	all
about	about	about
finding	find	finding
truth	truth	truth
.	.	.
HENRY	henri	HENRY
Let	let	Let
s	s	s
find	find	find
that	that	that
truth	truth	truth
.	.	.
My	my	My
next	next	next
question	question	question
is	is	is
,	,	,
our	our	our
last	last	last
guest	guest	guest
,	,	,
who	who	who
you	you	you
cited	cite	cited
several	sever	several
times	time	time
,	,	,
Craig	craig	Craig
Gilbert	gilbert	Gilbert
,	,	,
also	also	also
said	said	said
,	,	,
accurately	accur	accurately
,	,	,
that	that	that
in	in	in
2000	2000	2000
and	and	and
2004	2004	2004
the	the	the
margin	margin	margin
was	was	wa
even	even	even
closer	closer	closer
in	in	in
the	the	the
presidential	presidenti	presidential
race	race	race
and	and	and
there	there	there
was	was	wa
no	no	no
recount	recount	recount
.	.	.
So	so	So
what	what	what
s	s	s
your	your	your
case	case	case
tonight	tonight	tonight
?	?	?
JACKSON	jackson	JACKSON
pause	paus	pause
Well	well	Well
,	,	,
the	the	the
case	case	case
pause	paus	pause
tonight	tonight	tonight
,	,	,
you	you	you
can	can	can
see	see	see
that	that	that
there	there	there
that	that	that
was	was	wa
pause	paus	pause
a	a	a
real	real	real
contentious	contenti	contentious
election	elect	election
pause	paus	pause
,	,	,
and	and	and
,	,	,
based	base	based
on	on	on
that	that	that
there	there	there
are	are	are
people	peopl	people
that	that	that
have	have	have
expressed	express	expressed
concerns	concern	concern
.	.	.
So	so	So
,	,	,
it	it	it
s	s	s
best	best	best
to	to	to
find	find	find
the	the	the
truth	truth	truth
and	and	and
go	go	go
through	through	through
the	the	the
process	process	process
.	.	.
And	and	And
obviously	obvious	obviously
people	peopl	people
have	have	have
been	been	been
willing	will	willing
to	to	to
put	put	put
up	up	up
millions	million	million
of	of	of
dollars	dollar	dollar
pause	paus	pause
to	to	to
find	find	find
out	out	out
and	and	and
count	count	count
the	the	the
ballots	ballot	ballot
again	again	again
.	.	.
HENRY	henri	HENRY
Okay	okay	Okay
,	,	,
so	so	so
final	final	final
question	question	question
if	if	if
you	you	you
really	realli	really
want	want	want
to	to	to
get	get	get
at	at	at
the	the	the
truth	truth	truth
can	can	can
we	we	we
get	get	get
at	at	at
another	anoth	another
truth	truth	truth
which	which	which
is	is	is
that	that	that
it	it	it
appears	appear	appears
that	that	that
Jill	jill	Jill
Stein	stein	Stein
has	has	ha
raised	rais	raised
about	about	about
5	5	5
million	million	million
for	for	for
a	a	a
recount	recount	recount
that	that	that
may	may	may
or	or	or
may	may	may
not	not	not
happen	happen	happen
for	for	for
fraud	fraud	fraud
that	that	that
may	may	may
or	or	or
may	may	may
not	not	not
have	have	have
happened	happen	happened
.	.	.
If	if	If
there	there	there
s	s	s
nothing	noth	nothing
found	found	found
here	here	here
and	and	and
if	if	if
there	there	there
s	s	s
not	not	not
even	even	even
a	a	a
recount	recount	recount
will	will	will
you	you	you
pledge	pledg	pledge
tonight	tonight	tonight
that	that	that
you	you	you
and	and	and
others	other	others
in	in	in
the	the	the
Green	green	Green
Party	parti	Party
believe	believ	believe
that	that	that
that	that	that
money	money	money
should	should	should
be	be	be
refunded	refund	refunded
,	,	,
so	so	so
this	this	this
is	is	is
not	not	not
just	just	just
money	money	money
being	be	being
raised	rais	raised
on	on	on
false	fals	false
hope	hope	hope
?	?	?
JACKSON	jackson	JACKSON
Well	well	Well
,	,	,
we	we	we
re	re	re
exploring	explor	exploring
that	that	that
I	i	I
m	m	m
only	onli	only
treasurer	treasur	treasurer
for	for	for
the	the	the
Green	green	Green
-Rainbow	-rainbow	-Rainbow
party	parti	party
.	.	.
We	we	We
re	re	re
certainly	certain	certainly
going	go	going
if	if	if
it	it	it
doesn	doesn	doesn
t	t	t
get	get	get
used	use	used
,	,	,
we	we	we
re	re	re
certainly	certain	certainly
going	go	going
to	to	to
discuss	discuss	discus
with	with	with
our	our	our
donors	donor	donor
what	what	what
their	their	their
desire	desir	desire
is	is	is
for	for	for
that	that	that
money	money	money
.	.	.
