OBAMA	obama	OBAMA
S	s	S
AMERICA	america	AMERICA
Why	whi	Why
do	do	do
you	you	you
think	think	think
people	peopl	people
are	are	are
leaving	leav	leaving
the	the	the
Air	air	Air
Force	forc	Force
in	in	in
droves	drove	drove
?	?	?

What	what	What
began	began	began
as	as	a
a	a	a
dignified	dignifi	dignified
affair	affair	affair
quickly	quick	quickly
turned	turn	turned
into	into	into
an	an	an
embarrassing	embarrass	embarrassing
scene	scene	scene
after	after	after
a	a	a
retired	retir	retired
Air	air	Air
Force	forc	Force
official	offici	official
was	was	wa
forcibly	forcibl	forcibly
ejected	eject	ejected
from	from	from
his	his	his
colleague	colleagu	colleague
s	s	s
retiree	retire	retiree
ceremony	ceremoni	ceremony
.	.	.
The	the	The
event	event	event
was	was	wa
being	be	being
held	held	held
at	at	at
Travis	travi	Travis
Air	air	Air
Force	forc	Force
Base	base	Base
in	in	in
California	california	California
for	for	for
Master	master	Master
Sergeant	sergeant	Sergeant
Chuck	chuck	Chuck
Roberson	roberson	Roberson
of	of	of
the	the	the
749th	749th	749th
Aircraft	aircraft	Aircraft
Maintenance	mainten	Maintenance
Squadron	squadron	Squadron
.	.	.
But	but	But
the	the	the
service	servic	service
was	was	wa
interrupted	interrupt	interrupted
when	when	when
Retired	retir	Retired
Senior	senior	Senior
Master	master	Master
Sgt	sgt	Sgt
.	.	.

Oscar	oscar	Oscar
Rodriguez	rodriguez	Rodriguez
was	was	wa
forcibly	forcibl	forcibly
ejected	eject	ejected
from	from	from
the	the	the
stage	stage	stage
as	as	a
he	he	he
began	began	began
to	to	to
read	read	read
out	out	out
a	a	a
statement	statement	statement
honoring	honor	honoring
the	the	the
American	american	American
Flag	flag	Flag
to	to	to
the	the	the
audience	audienc	audience
.	.	.
However	howev	However
,	,	,
the	the	the
recital	recit	recital
was	was	wa
not	not	not
a	a	a
part	part	part
of	of	of
the	the	the
usual	usual	usual
procedure	procedur	procedure
at	at	at
retirement	retir	retirement
ceremonies	ceremoni	ceremony
and	and	and
Rodriguez	rodriguez	Rodriguez
was	was	wa
told	told	told
to	to	to
stop	stop	stop
.	.	.
A	a	A
video	video	video
that	that	that
captured	captur	captured
the	the	the
incident	incid	incident
shows	show	show
two	two	two
men	men	men
in	in	in
camouflage	camouflag	camouflage
uniform	uniform	uniform
approach	approach	approach
Rodriguez	rodriguez	Rodriguez
and	and	and
say	say	say
something	someth	something
quietly	quiet	quietly
,	,	,
but	but	but
he	he	he
appears	appear	appears
not	not	not
to	to	to
respond	respond	respond
.	.	.
As	as	As
the	the	the
two	two	two
men	men	men
push	push	push
him	him	him
off	off	off
stage	stage	stage
,	,	,
he	he	he
continues	continu	continues
to	to	to
shout	shout	shout
out	out	out
the	the	the
words	word	word
,	,	,
he	he	he
is	is	is
eventually	eventu	eventually
pushed	push	pushed
out	out	out
of	of	of
the	the	the
room	room	room
,	,	,
but	but	but
his	his	his
shouts	shout	shout
can	can	can
still	still	still
be	be	be
heard	heard	heard
in	in	in
the	the	the
distance	distanc	distance
.	.	.
An	an	An
investigation	investig	investigation
has	has	ha
since	sinc	since
been	been	been
launched	launch	launched
into	into	into
the	the	the
disturbance	disturb	disturbance
,	,	,
an	an	an
Air	air	Air
Force	forc	Force
Reserve	reserv	Reserve
official	offici	official
told	told	told
Fox	fox	Fox
News	news	News
Wednesday	wednesday	Wednesday
.	.	.
An	an	An
official	offici	official
said	said	said
in	in	in
a	a	a
statement	statement	statement
Rodriguez	rodriguez	Rodriguez
ignored	ignor	ignored
