Politicians	politician	Politicians
have	have	have
been	been	been
known	known	known
to	to	to
do	do	do
a	a	a
lot	lot	lot
of	of	of
things	thing	thing
to	to	to
get	get	get
elected	elect	elected
.	.	.

They	they	They
usually	usual	usually
cater	cater	cater
and	and	and
pander	pander	pander
to	to	to
a	a	a
group	group	group
of	of	of
people	peopl	people
who	who	who
they	they	they
think	think	think
will	will	will
have	have	have
the	the	the
best	best	best
chance	chanc	chance
at	at	at
casting	cast	casting
a	a	a
vote	vote	vote
in	in	in
their	their	their
favor	favor	favor
.	.	.

In	in	In
the	the	the
case	case	case
of	of	of
Republican	republican	Republican
presidential	presidenti	presidential
candidate	candid	candidate
Senator	senat	Senator
Ted	ted	Ted
Cruz	cruz	Cruz
,	,	,
those	those	those
he	he	he
s	s	s
decided	decid	decided
to	to	to
cater	cater	cater
to	to	to
are	are	are
the	the	the
residents	resid	resident
of	of	of
Idiot	idiot	Idiot
America	america	America
.	.	.
Cruz	cruz	Cruz
has	has	ha
decided	decid	decided
to	to	to
go	go	go
all	all	all
in	in	in
trying	tri	trying
to	to	to
get	get	get
the	the	the
ultra	ultra	ultra
-religious	-religi	-religious
,	,	,
absent	absent	absent
from	from	from
reality	realiti	reality
,	,	,
guns	gun	gun
and	and	and
God	god	God
group	group	group
of	of	of
folks	folk	folk
who	who	who
love	love	love
to	to	to
hunt	hunt	hunt
,	,	,
hate	hate	hate
gay	gay	gay
people	peopl	people
and	and	and
live	live	live
far	far	far
away	away	away
from	from	from
populated	popul	populated
areas	area	area
.	.	.

People	peopl	People
otherwise	otherwis	otherwise
known	known	known
as	as	a
extreme	extrem	extreme
,	,	,
right	right	right
-wing	-wing	-wing
Republicans	republican	Republicans
.	.	.
Perfectly	perfect	Perfectly
pandering	pander	pandering
to	to	to
this	this	this
demographic	demograph	demographic
,	,	,
Cruz	cruz	Cruz
paired	pair	paired
himself	himself	himself
up	up	up
with	with	with
Duck	duck	Duck
Dynasty	dynasti	Dynasty
and	and	and
their	their	their
bigot	bigot	bigot
-in-chief	-in-chief	-in-chief
Phil	phil	Phil
Robertson	robertson	Robertson
.	.	.

Robertson	robertson	Robertson
is	is	is
about	about	about
as	as	a
anti	anti	anti
-gay	-gay	-gay
and	and	and
bigoted	bigot	bigoted
as	as	a
one	one	one
could	could	could
ever	ever	ever
hope	hope	hope
to	to	to
be	be	be
,	,	,
so	so	so
of	of	of
course	cours	course
he	he	he
s	s	s
now	now	now
endorsed	endors	endorsed
one	one	one
of	of	of
the	the	the
leading	lead	leading
bigot	bigot	bigot
candidates	candid	candidate
running	run	running
for	for	for
president	presid	president
Ted	ted	Ted
Cruz	cruz	Cruz
.	.	.
In	in	In
a	a	a
new	new	new
campaign	campaign	campaign
commercial	commerci	commercial
for	for	for
Cruz	cruz	Cruz
,	,	,
Robertson	robertson	Robertson
,	,	,
with	with	with
his	his	his
face	face	face
painting	paint	painting
black	black	black
camo	camo	camo
for	for	for
hunting	hunt	hunting
,	,	,
tells	tell	tell
everyone	everyon	everyone
the	the	the
qualifications	qualif	qualification
he	he	he
wants	want	want
to	to	to
see	see	see
in	in	in
a	a	a
president	presid	president
Is	is	Is
he	he	he
or	or	or
she	she	she
godly	god	godly
?	?	?

Does	doe	Does
he	he	he
or	or	or
she	she	she
love	love	love
us	us	u
?	?	?

Can	can	Can
he	he	he
or	or	or
she	she	she
do	do	do
the	the	the
job	job	job
?	?	?

And	and	And
finally	final	finally
,	,	,
would	would	would
they	they	they
kill	kill	kill
a	a	a
duck	duck	duck
and	and	and
put	put	put
em	em	em
in	in	in
a	a	a
pot	pot	pot
and	and	and
make	make	make
up	up	up
a	a	a
good	good	good
duck	duck	duck
gumbo	gumbo	gumbo
?	?	?

I	i	I
ve	ve	ve
looked	look	looked
at	at	at
the	the	the
candidates	candid	candidate
.	.	.

Ted	ted	Ted
Cruz	cruz	Cruz
is	is	is
my	my	my
man	man	man
.	.	.

Let	let	Let
s	s	s
just	just	just
pause	paus	pause
for	for	for
a	a	a
second	second	second
and	and	and
acknowledge	acknowledg	acknowledge
that	that	that
Robertson	robertson	Robertson
said	said	said
he	he	he
or	or	or
she	she	she
.	.	.

Got	got	Got
to	to	to
at	at	at
least	least	least
give	give	give
