Every	everi	Every
American	american	American
should	should	should
know	know	know
the	the	the
corrupt	corrupt	corrupt
UN	un	UN
has	has	ha
been	been	been
,	,	,
and	and	and
will	will	will
continue	continu	continue
to	to	to
be	be	be
,	,	,
the	the	the
one	one	one
organization	organ	organization
who	who	who
decides	decid	decides
which	which	which
Muslim	muslim	Muslim
refugees	refuge	refugee
will	will	will
be	be	be
flooding	flood	flooding
your	your	your
hometown	hometown	hometown
Who	who	Who
picks	pick	pick
the	the	the
Syrian	syrian	Syrian
refugees	refuge	refugee
that	that	that
resettle	resettl	resettle
in	in	in
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
?	?	?

Homeland	homeland	Homeland
Security	secur	Security
?	?	?

No	no	No
,	,	,
the	the	the
United	unit	United
Nations	nation	Nations
,	,	,
in	in	in
concert	concert	concert
with	with	with
a	a	a
global	global	global
Islamist	islamist	Islamist
group	group	group
.	.	.

And	and	And
they	they	they
re	re	re
sending	send	sending
more	more	more
than	than	than
15	15	15
,	,	,
000	000	000
,	,	,
not	not	not
the	the	the
widely	wide	widely
reported	report	reported
10	10	10
,	,	,
000	000	000
.	.	.
In	in	In
fact	fact	fact
,	,	,
Washington	washington	Washington
has	has	ha
no	no	no
role	role	role
in	in	in
selecting	select	selecting
the	the	the
thousands	thousand	thousand
of	of	of
Syrian	syrian	Syrian
refugees	refuge	refugee
coming	come	coming
to	to	to
your	your	your
hometown	hometown	hometown
.	.	.

The	the	The
U	u	U
.	.	.
N	n	N
.	.	.
High	high	High
Commissioner	commission	Commissioner
for	for	for
Refugees	refuge	Refugees
is	is	is
really	realli	really
behind	behind	behind
the	the	the
effort	effort	effort
,	,	,
and	and	and
he	he	he
s	s	s
referred	refer	referred
an	an	an
additional	addit	additional
5	5	5
,	,	,
000	000	000
-plus	-plus	-plus
Syrian	syrian	Syrian
nationals	nation	national
here	here	here
.	.	.
A	a	A
new	new	new
State	state	State
Department	depart	Department
report	report	report
reveals	reveal	reveals
that	that	that
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
already	alreadi	already
has	has	ha
accepted	accept	accepted
at	at	at
least	least	least
15	15	15
,	,	,
000	000	000
Syrian	syrian	Syrian
refugee	refuge	refugee
referrals	referr	referral
from	from	from
the	the	the
UNHCR	unhcr	UNHCR
.	.	.

The	the	The
United	unit	United
States	state	States
is	is	is
one	one	one
of	of	of
28	28	28
countries	countri	country
that	that	that
have	have	have
agreed	agre	agreed
to	to	to
accept	accept	accept
referrals	referr	referral
from	from	from
UNHCR	unhcr	UNHCR
as	as	a
part	part	part
of	of	of
its	it	it
ambitious	ambiti	ambitious
international	intern	international
effort	effort	effort
to	to	to
secure	secur	secure
permanent	perman	permanent
or	or	or
temporary	temporari	temporary
resettlement	resettl	resettlement
for	for	for
130	130	130
,	,	,
000	000	000
Syrian	syrian	Syrian
refugees	refuge	refugee
by	by	by
the	the	the
end	end	end
of	of	of
2016	2016	2016
,	,	,
the	the	the
State	state	State
Department	depart	Department
said	said	said
in	in	in
Proposed	propos	Proposed
Refugee	refuge	Refugee
Admissions	admiss	Admissions
for	for	for
Fiscal	fiscal	Fiscal
Year	year	Year
2016	2016	2016
.	.	.

As	as	As
of	of	of
mid	mid	mid
-2015	-2015	-2015
,	,	,
UNHCR	unhcr	UNHCR
has	has	ha
referred	refer	referred
more	more	more
than	than	than
15	15	15
,	,	,
000	000	000
Syrian	syrian	Syrian
refugees	refuge	refugee
to	to	to
the	the	the
United	unit	United
States	state	States
,	,	,
the	the	the
71	71	71
-page	-page	-page
report	report	report
adds	add	add
.	.	.

And	and	And
these	these	these
individuals	individu	individual
are	are	are
being	be	being
screened	screen	screened
to	to	to
determine	determin	determine
whether	whether	whether
they	they	they
are	are	are
eligible	elig	eligible
.	.	.

Of	of	Of
course	cours	course
,	,	,
that	that	that
security	secur	security
screening	screen	screening
is	is	is
