Politically	polit	Politically
correct	correct	correct
racism	racism	racism
condoned	condon	condoned
by	by	by
the	the	the
Left	left	Left
and	and	and
fueled	fuel	fueled
by	by	by
Obama	obama	Obama
,	,	,
his	his	his
administration	administr	administration
,	,	,
the	the	the
media	media	medium
and	and	and
radical	radic	radical
educators	educ	educator
Disclaimer	disclaim	Disclaimer
MRCTV	mrctv	MRCTV
linked	link	linked
to	to	to
a	a	a
Facebook	facebook	Facebook
event	event	event
that	that	that
has	has	ha
since	sinc	since
been	been	been
removed	remov	removed
.	.	.

An	an	An
archive	archiv	archive
of	of	of
the	the	the
event	event	event
can	can	can
be	be	be
viewed	view	viewed
here	here	here
.	.	.
An	an	An
organized	organ	organized
protest	protest	protest
at	at	at
Cornell	cornel	Cornell
University	univers	University
supporting	support	supporting
racial	racial	racial
equality	equal	equality
has	has	ha
been	been	been
canceled	cancel	canceled
after	after	after
a	a	a
black	black	black
student	student	student
group	group	group
complained	complain	complained
about	about	about
the	the	the
lack	lack	lack
of	of	of
people	peopl	people
of	of	of
color	color	color
in	in	in
the	the	the
planning	plan	planning
and	and	and
attendance	attend	attendance
of	of	of
the	the	the
event	event	event
,	,	,
which	which	which
appears	appear	appears
to	to	to
have	have	have
been	been	been
organized	organ	organized
by	by	by
a	a	a
white	white	white
student	student	student
.	.	.
The	the	The
group	group	group
also	also	also
stated	state	stated
that	that	that
although	although	although
the	the	the
members	member	member
appreciate	appreci	appreciate
the	the	the
solidarity	solidar	solidarity
and	and	and
interest	interest	interest
of	of	of
our	our	our
allies	alli	ally
,	,	,
the	the	the
organization	organ	organization
would	would	would
like	like	like
to	to	to
address	address	address
prejudice	prejudic	prejudice
in	in	in
their	their	their
own	own	own
way	way	way
.	.	.

They	they	They
then	then	then
suggested	suggest	suggested
that	that	that
individuals	individu	individual
who	who	who
would	would	would
like	like	like
to	to	to
show	show	show
support	support	support
for	for	for
black	black	black
causes	caus	cause
should	should	should
ask	ask	ask
in	in	in
advance	advanc	advance
for	for	for
the	the	the
organization	organ	organization
s	s	s
approval	approv	approval
.	.	.
Thursday	thursday	Thursday
morning	morn	morning
,	,	,
a	a	a
Facebook	facebook	Facebook
event	event	event
was	was	wa
created	creat	created
for	for	for
a	a	a
#ConcernedStudent1950	#concernedstudent1950	#ConcernedStudent1950
protest	protest	protest
that	that	that
would	would	would
take	take	take
place	place	place
on	on	on
Friday	friday	Friday
at	at	at
noon	noon	noon
.	.	.

People	peopl	People
immediately	immedi	immediately
expressed	express	expressed
outrage	outrag	outrage
at	at	at
the	the	the
event	event	event
.	.	.
AD	ad	AD
FEEDBACK	feedback	FEEDBACK
The	the	The
event	event	event
creator	creator	creator
,	,	,
who	who	who
appears	appear	appears
to	to	to
be	be	be
a	a	a
white	white	white
man	man	man
on	on	on
his	his	his
Facebook	facebook	Facebook
profile	profil	profile
,	,	,
was	was	wa
accused	accus	accused
of	of	of
mocking	mock	mocking
the	the	the
struggles	struggl	struggle
of	of	of
our	our	our
communities	communiti	community
and	and	and
creating	creat	creating
an	an	an
event	event	event
to	to	to
promote	promot	promote
himself	himself	himself
.	.	.

Some	some	Some
Facebook	facebook	Facebook
commenters	comment	commenters
called	call	called
the	the	the
event	event	event
creator	creator	creator
a	a	a
troll	troll	troll
.	.	.

Cornell	cornel	Cornell
student	student	student
and	and	and
alleged	alleg	alleged
Huffington	huffington	Huffington
Post	post	Post
writer	writer	writer
Paola	paola	Paola
Mu	mu	Mu
oz	oz	oz
wrote	wrote	wrote
Are	are	Are
you	you	you
f	f	f
king	king	king
kidding	kid	kidding
me	me	me
?	?	?

Being	be	Being
an	an	an
ally	alli	ally
is	is	is
not	not	not
about	about	about
starting	start	starting
events	event	event
because	becaus	because
now	now	now
it	it	it
s	s	s
actual	actual	actual
racism	racism	racism
racism	racism	racism
takes	take	take
on	on	on
different	differ	different
forms	form	form
,	,	,
such	such	such
as	as	a
through	through	through
microaggressions	microaggress	microaggressions
,	,	,
cultural	cultur	cultural
appropriation	appropri	appropriation
,	,	,
people	peopl	people
wearing	wear	wearing
PoC	poc	PoC
caricatures	caricatur	caricature
for	for	for
Halloween	halloween	Halloween
;	;	;
bull	bull	bull
sh	sh	sh
t	t	t
that	that	that
ultimately	ultim	ultimately
others	other	others
us	us	u
that	that	that
you	you	you
and	and	and
so	so	so
many	mani	many
other	other	other
folxs	folx	folxs
poked	poke	poked
fun	fun	fun
at	at	at
.	.	.

Mu	mu	Mu
oz	oz	oz
went	went	went
on	on	on
to	to	to
claim	claim	claim
the	the	the
event	event	event
creator	creator	creator
has	has	ha
posted	post	posted
classist	classist	classist
sh	sh	sh
t	t	t
and	and	and
use	use	use
s	s	s
humor	humor	humor
to	to	to
dilute	dilut	dilute
our	our	our
pain	pain	pain
.	.	.

She	she	She
called	call	called
the	the	the
event	event	event
a	a	a
complete	complet	complete
mockery	mockeri	mockery
.	.	.

Mu	mu	Mu
oz	oz	oz
requested	request	requested
the	the	the
student	student	student
group	group	group
Black	black	Black
Students	student	Students
United	unit	United
at	at	at
Cornell	cornel	Cornell
University	univers	University
post	post	post
on	on	on
the	the	the
page	page	page
and	and	and
cancel	cancel	cancel
the	the	the
event	event	event
.	.	.
Black	black	Black
Students	student	Students
United	unit	United
at	at	at
Cornell	cornel	Cornell
University	univers	University
posted	post	posted
,	,	,
We	we	We
,	,	,
Black	black	Black
Students	student	Students
United	unit	United
,	,	,
would	would	would
like	like	like
to	to	to
point	point	point
out	out	out
the	the	the
lack	lack	lack
of	of	of
people	peopl	people
of	of	of
color	color	color
in	in	in
the	the	the
planning	plan	planning
and	and	and
attendance	attend	attendance
of	of	of
this	this	this
protest	protest	protest
.	.	.

The	the	The
organization	organ	organization
continued	continu	continued
,	,	,
While	while	While
we	we	we
appreciate	appreci	appreciate
the	the	the
solidarity	solidar	solidarity
and	and	and
interest	interest	interest
of	of	of
our	our	our
allies	alli	ally
across	across	across
campus	campus	campus
,	,	,
we	we	we
would	would	would
like	like	like
to	to	to
be	be	be
able	abl	able
to	to	to
address	address	address
prejudice	prejudic	prejudice
on	on	on
this	this	this
campus	campus	campus
and	and	and
campuses	campus	campus
like	like	like
it	it	it
in	in	in
our	our	our
own	own	own
way	way	way
.	.	.

Black	black	Black
Students	student	Students
United	unit	United
at	at	at
Cornell	cornel	Cornell
University	univers	University
noted	note	noted
they	they	they
would	would	would
like	like	like
individuals	individu	individual
to	to	to
ask	ask	ask
their	their	their
permission	permiss	permission
before	befor	before
creating	creat	creating
events	event	event
.	.	.

In	in	In
the	the	the
future	futur	future
,	,	,
please	pleas	please
ask	ask	ask
how	how	how
you	you	you
can	can	can
support	support	support
us	us	u
before	befor	before
organizing	organ	organizing
on	on	on
your	your	your
own	own	own
.	.	.

With	with	With
that	that	that
in	in	in
mind	mind	mind
,	,	,
we	we	we
would	would	would
appreciate	appreci	appreciate
the	the	the
cancellation	cancel	cancellation
sic	sic	sic
of	of	of
this	this	this
event	event	event
.	.	.

In	in	In
response	respons	response
to	to	to
the	the	the
comment	comment	comment
by	by	by
Black	black	Black
Students	student	Students
United	unit	United
at	at	at
Cornell	cornel	Cornell
University	univers	University
,	,	,
the	the	the
event	event	event
creator	creator	creator
posted	post	posted
an	an	an
update	updat	update
canceling	cancel	canceling
the	the	the
event	event	event
.	.	.

He	he	He
wrote	wrote	wrote
,	,	,
Thank	thank	Thank
you	you	you
for	for	for
calling	call	calling
me	me	me
out	out	out
on	on	on
my	my	my
ignorance	ignor	ignorance
.	.	.

Via	via	Via
MRCTV	mrctv	MRCTV

