House	hous	House
Speaker	speaker	Speaker
Paul	paul	Paul
Ryan	ryan	Ryan
sold	sold	sold
his	his	his
soul	soul	soul
the	the	the
day	day	day
he	he	he
endorsed	endors	endorsed
Donald	donald	Donald
Trump	trump	Trump
to	to	to
be	be	be
president	presid	president
of	of	of
the	the	the
United	unit	United
States	state	States
.	.	.
It	it	It
was	was	wa
clear	clear	clear
that	that	that
he	he	he
was	was	wa
just	just	just
being	be	being
a	a	a
spineless	spineless	spineless
,	,	,
cowardly	coward	cowardly
weasel	weasel	weasel
when	when	when
he	he	he
did	did	did
so	so	so
,	,	,
as	as	a
he	he	he
did	did	did
it	it	it
under	under	under
cover	cover	cover
of	of	of
a	a	a
big	big	big
policy	polici	policy
speech	speech	speech
by	by	by
Democratic	democrat	Democratic
nominee	nomine	nominee
Hillary	hillari	Hillary
Clinton	clinton	Clinton
.	.	.
Ever	ever	Ever
since	sinc	since
then	then	then
,	,	,
Ryan	ryan	Ryan
s	s	s
relationship	relationship	relationship
with	with	with
Trump	trump	Trump
has	has	ha
been	been	been
frosty	frosti	frosty
at	at	at
best	best	best
,	,	,
and	and	and
they	they	they
have	have	have
never	never	never
appeared	appear	appeared
on	on	on
stage	stage	stage
together	togeth	together
.	.	.
During	dure	During
a	a	a
weekly	week	weekly
press	press	press
briefing	brief	briefing
,	,	,
Ryan	ryan	Ryan
got	got	got
the	the	the
one	one	one
question	question	question
everyone	everyon	everyone
has	has	ha
been	been	been
asking	ask	asking
Why	whi	Why
hasn	hasn	hasn
t	t	t
Donald	donald	Donald
Trump	trump	Trump
released	releas	released
his	his	his
tax	tax	tax
returns	return	return
?	?	?
This	this	This
is	is	is
especially	especi	especially
pressing	press	pressing
right	right	right
now	now	now
,	,	,
as	as	a
Newsweek	newsweek	Newsweek
just	just	just
printed	print	printed
a	a	a
damning	damn	damning
story	stori	story
that	that	that
shows	show	show
that	that	that
should	should	should
Donald	donald	Donald
Trump	trump	Trump
become	becom	become
president	presid	president
,	,	,
the	the	the
Trump	trump	Trump
Organization	organ	Organization
