Likening	liken	Likening
girls	girl	girl
to	to	to
common	common	common
crops	crop	crop
that	that	that
should	should	should
be	be	be
rushed	rush	rushed
off	off	off
to	to	to
the	the	the
market	market	market
as	as	a
soon	soon	soon
as	as	a
possible	possibl	possible
is	is	is
a	a	a
growing	grow	growing
belief	belief	belief
among	among	among
conservative	conserv	conservative
Christians	christian	Christians
.	.	.

If	if	If
you	you	you
have	have	have
heard	heard	heard
of	of	of
the	the	the
Duggar	duggar	Duggar
family	famili	family
you	you	you
ve	ve	ve
likely	like	likely
heard	heard	heard
of	of	of
the	the	the
Quiverfull	quiverful	Quiverfull
movement	movement	movement
they	they	they
belong	belong	belong
to	to	to
,	,	,
which	which	which
requires	requir	requires
Christians	christian	Christians
to	to	to
have	have	have
as	as	a
many	mani	many
kids	kid	kid
as	as	a
possible	possibl	possible
,	,	,
which	which	which
is	is	is
why	whi	why
the	the	the
Duggars	duggar	Duggars
have	have	have
19	19	19
children	children	child
.	.	.
But	but	But
there	there	there
is	is	is
another	anoth	another
part	part	part
of	of	of
the	the	the
Quiverfull	quiverful	Quiverfull
movement	movement	movement
that	that	that
is	is	is
even	even	even
creepier	creepier	creepier
.	.	.
One	one	One
Quiverfull	quiverful	Quiverfull
ministry	ministri	ministry
not	not	not
only	onli	only
pushes	push	push
couples	coupl	couple
to	to	to
pop	pop	pop
out	out	out
kids	kid	kid
like	like	like
rabbits	rabbit	rabbit
,	,	,
they	they	they
preach	preach	preach
that	that	that
fathers	father	father
should	should	should
farm	farm	farm
the	the	the
girls	girl	girl
like	like	like
crops	crop	crop
such	such	such
as	as	a
apples	appl	apple
and	and	and
give	give	give
them	them	them
over	over	over
to	to	to
men	men	men
as	as	a
early	earli	early
as	as	a
possible	possibl	possible
.	.	.
In	in	In
other	other	other
words	word	word
,	,	,
this	this	this
Christian	christian	Christian
fundamentalist	fundamentalist	fundamentalist
movement	movement	movement
believe	believ	believe
in	in	in
child	child	child
marriage	marriag	marriage
like	like	like
the	the	the
ones	one	one
Americans	american	Americans
often	often	often
are	are	are
horrified	horrifi	horrified
by	by	by
when	when	when
we	we	we
hear	hear	hear
stories	stori	story
of	of	of
little	littl	little
girls	girl	girl
being	be	being
married	marri	married
off	off	off
to	to	to
middle	middl	middle
-aged	-age	-aged
men	men	men
in	in	in
the	the	the
Middle	middl	Middle
East	east	East
.	.	.
Their	their	Their
website	websit	website
is	is	is
called	call	called
Let	let	Let
Them	them	Them
Marry	marri	Marry
,	,	,
and	and	and
one	one	one
of	of	of
the	the	the
first	first	first
things	thing	thing
you	you	you
would	would	would
see	see	see
is	is	is
a	a	a
tree	tree	tree
shaped	shape	shaped
missive	missiv	missive
comparing	compar	comparing
little	littl	little
girls	girl	girl
to	to	to
apples	appl	apple
that	that	that
must	must	must
be	be	be
picked	pick	picked
early	earli	early
by	by	by
the	the	the
farmer	farmer	farmer
father	father	father
and	and	and
provided	provid	provided
to	to	to
men	men	men
who	who	who
are	are	are
in	in	in
need	need	need
.	.	.

Girls	girl	Girls
are	are	are
like	like	like
apples	appl	apple
on	on	on
trees	tree	tree
.	.	.

Their	their	Their
fathers	father	father
are	are	are
the	the	the
farmers	farmer	farmer
,	,	,
whose	whose	whose
