Adolf	adolf	Adolf
Hitler	hitler	Hitler
isn	isn	isn
t	t	t
enthused	enthus	enthused
about	about	about
being	be	being
compared	compar	compared
to	to	to
Republican	republican	Republican
front	front	front
runner	runner	runner
Donald	donald	Donald
Trump	trump	Trump
,	,	,
according	accord	according
to	to	to
comedian	comedian	comedian
Sarah	sarah	Sarah
Silverman	silverman	Silverman
,	,	,
who	who	who
dressed	dress	dressed
up	up	up
as	as	a
the	the	the
Nazi	nazi	Nazi
dictator	dictat	dictator
and	and	and
made	made	made
an	an	an
appearance	appear	appearance
on	on	on
Conan	conan	Conan
.	.	.

After	after	After
being	be	being
introduced	introduc	introduced
,	,	,
Silverman	silverman	Silverman
-as-Hitler	-as-hitl	-as-Hitler
said	said	said
Wow	wow	Wow
,	,	,
look	look	look
at	at	at
that	that	that
!	!	!

I	i	I
have	have	have
to	to	to
say	say	say
,	,	,
that	that	that
s	s	s
more	more	more
applause	applaus	applause
than	than	than
I	i	I
expected	expect	expected
.	.	.

Don	don	Don
t	t	t
get	get	get
me	me	me
wrong	wrong	wrong
,	,	,
Conan	conan	Conan
.	.	.

I	i	I
agree	agre	agree
with	with	with
a	a	a
lot	lot	lot
he	he	he
says	say	say
a	a	a
lot	lot	lot
.	.	.

Like	like	Like
90	90	90
percent	percent	percent
of	of	of
what	what	what
he	he	he
says	say	say
,	,	,
I	i	I
m	m	m
like	like	like
,	,	,
this	this	this
guy	guy	guy
gets	get	get
it	it	it
,	,	,
but	but	but
I	i	I
don	don	don
t	t	t
like	like	like
the	the	the
way	way	way
he	he	he
says	say	say
it	it	it
.	.	.

It	it	It
s	s	s
crass	crass	crass
.	.	.

In	in	In
reference	refer	reference
to	to	to
a	a	a
recent	recent	recent
GOP	gop	GOP
debate	debat	debate
when	when	when
Rubio	rubio	Rubio
poked	poke	poked
fun	fun	fun
of	of	of
Trump	trump	Trump
s	s	s
hands	hand	hand
and	and	and
implicitly	implicit	implicitly
referred	refer	referred
to	to	to
the	the	the
size	size	size
of	of	of
his	his	his
penis	peni	penis
,	,	,
Silverman	silverman	Silverman
-as-Hitler	-as-hitl	-as-Hitler
had	had	had
this	this	this
to	to	to
say	say	say
What	what	What
kind	kind	kind
of	of	of
person	person	person
talks	talk	talk
about	about	about
his	his	his
penis	peni	penis
size	size	size
on	on	on
national	nation	national
television	televis	television
?	?	?

Oh	oh	Oh
yeah	yeah	yeah
,	,	,
I	i	I
m	m	m
so	so	so
sure	sure	sure
Donald	donald	Donald
Trump	trump	Trump
has	has	ha
a	a	a
big	big	big
penis	peni	penis
.	.	.

I	i	I
famously	famous	famously
have	have	have
a	a	a
micro	micro	micro
penis	peni	penis
.	.	.

That	that	That
s	s	s
what	what	what
makes	make	make
a	a	a
tyrant	tyrant	tyrant
.	.	.

Anyway	anyway	Anyway
,	,	,
all	all	all
these	these	these
comparisons	comparison	comparison
to	to	to
Trump	trump	Trump
,	,	,
it	it	it
s	s	s
like	like	like
,	,	,
it	it	it
bums	bum	bum
me	me	me
out	out	out
.	.	.

You	you	You
know	know	know
what	what	what
I	i	I
mean	mean	mean
?	?	?

Sometimes	sometim	Sometimes
I	i	I
watch	watch	watch
him	him	him
and	and	and
I	i	I
m	m	m
like	like	like
,	,	,
Is	is	Is
that	that	that
how	how	how
people	peopl	people
see	see	see
me	me	me
?	?	?
'	'	'
Watch	watch	Watch
the	the	the
clip	clip	clip
here	here	here
Trump	trump	Trump
has	has	ha
received	receiv	received
a	a	a
barrage	barrag	barrage
of	of	of
criticism	critic	criticism
,	,	,
some	some	some
comparing	compar	comparing
him	him	him
to	to	to
the	the	the
notorious	notori	notorious
dictator	dictat	dictator
including	includ	including
Louis	loui	Louis
CK	ck	CK
,	,	,
who	who	who
said	said	said
,	,	,
he	he	he
is	is	is
dangerous	danger	dangerous
.	.	.

Mexican	mexican	Mexican
President	presid	President
Enrique	enriqu	Enrique
Pe	pe	Pe
a	a	a
Nieto	nieto	Nieto
said	said	said
Trump	trump	Trump
s	s	s
campaign	campaign	campaign
had	had	had
similarities	similar	similarity
to	to	to
