Before	befor	Before
his	his	his
campaign	campaign	campaign
morphed	morph	morphed
into	into	into
angry	angri	angry
hordes	hord	horde
of	of	of
MAGA	maga	MAGA
hat	hat	hat
wearing	wear	wearing
white	white	white
people	peopl	people
chanting	chant	chanting
lock	lock	lock
her	her	her
up	up	up
!	!	!
the	the	the
chants	chant	chant
were	were	were
about	about	about
building	build	building
a	a	a
wall	wall	wall
to	to	to
keep	keep	keep
all	all	all
those	those	those
Mexican	mexican	Mexican
rapists	rapist	rapist
our	our	our
of	of	of
our	our	our
country	countri	country
.	.	.
Of	of	Of
course	cours	course
,	,	,
anyone	anyon	anyone
with	with	with
half	half	half
a	a	a
brain	brain	brain
knows	know	know
that	that	that
building	build	building
a	a	a
wall	wall	wall
against	against	against
a	a	a
2	2	2
,	,	,
000	000	000
-mile	-mile	-mile
border	border	border
,	,	,
much	much	much
of	of	of
which	which	which
is	is	is
either	either	either
under	under	under
water	water	water
or	or	or
privately	privat	privately
owned	own	owned
,	,	,
is	is	is
a	a	a
logistical	logist	logistical
and	and	and
financial	financi	financial
nightmare	nightmar	nightmare
.	.	.
Nonetheless	nonetheless	Nonetheless
,	,	,
Donald	donald	Donald
Trump	trump	Trump
continues	continu	continues
to	to	to
talk	talk	talk
about	about	about
the	the	the
wall	wall	wall
,	,	,
but	but	but
one	one	one
Republican	republican	Republican
Congressman	congressman	Congressman
,	,	,
Rep	rep	Rep
Francis	franci	Francis
Rooney	rooney	Rooney
R	r	R
-FL	-fl	-FL
finally	final	finally
broke	broke	broke
down	down	down
and	and	and
told	told	told
the	the	the
truth	truth	truth
today	today	today
.	.	.
Trump	trump	Trump
was	was	wa
lying	lie	lying
to	to	to
his	his	his
supporters	support	supporter
.	.	.
I	i	I
think	think	think
it	it	it
s	s	s
another	anoth	another
bit	bit	bit
of	of	of
campaign	campaign	campaign
rhetoric	rhetor	rhetoric
,	,	,
Rooney	rooney	Rooney
said	said	said
on	on	on
CNN	cnn	CNN
Thursday	thursday	Thursday
.	.	.
It	it	It
s	s	s
highly	high	highly
unusual	unusu	unusual
,	,	,
but	but	but
I	i	I
don	don	don
t	t	t
think	think	think
that	that	that
anyone	anyon	anyone
during	dure	during
the	the	the
campaign	campaign	campaign
seriously	serious	seriously
thought	thought	thought
that	that	that
Mexico	mexico	Mexico
would	would	would
pay	pay	pay
for	for	for
that	that	that
wall	wall	wall
even	even	even
though	though	though
we	we	we
all	all	all
desperately	desper	desperately
believe	believ	believe
the	the	the
wall	wall	wall
s	s	s
a	a	a
metaphor	metaphor	metaphor
for	for	for
border	border	border
security	secur	security
.	.	.
On	on	On
CNN	cnn	CNN
on	on	on
Thursday	thursday	Thursday
,	,	,
Rooney	rooney	Rooney
said	said	said
that	that	that
campaigns	campaign	campaign
are	are	are
full	full	full
of	of	of
promises	promis	promise
comments	comment	comment
,	,	,
promises	promis	promise
,	,	,
commitments	commit	commitment
,	,	,
expressions	express	expression
,	,	,
vitriolic	vitriol	vitriolic
diatribes	diatrib	diatribe
but	but	but
that	that	that
once	onc	once
the	the	the
campaign	campaign	campaign
s	s	s
over	over	over
,	,	,
it	it	it
s	s	s
time	time	time
to	to	to
move	move	move
on	on	on
to	to	to
governing	govern	governing
.	.	.
Source	sourc	Source
Think	think	Think
ProgressHere	progressher	ProgressHere
s	s	s
the	the	the
video	video	video
This	this	This
was	was	wa
following	follow	following
the	the	the
release	releas	release
of	of	of
a	a	a
transcript	transcript	transcript
from	from	from
a	a	a
January	januari	January
phone	phone	phone
call	call	call
between	between	between
Trump	trump	Trump
and	and	and
Mexico	mexico	Mexico
s	s	s
President	presid	President
Enrique	enriqu	Enrique
Pe	pe	Pe
a	a	a
Nieto	nieto	Nieto
.	.	.
In	in	In
the	the	the
call	call	call
,	,	,
Trump	trump	Trump
admitted	admit	admitted
that	that	that
the	the	the
wall	wall	wall
was	was	wa
nothing	noth	nothing
but	but	but
a	a	a
political	polit	political
ruse	ruse	ruse
.	.	.
At	at	At
one	one	one
point	point	point
in	in	in
his	his	his
call	call	call
with	with	with
Mexican	mexican	Mexican
President	presid	President
Enrique	enriqu	Enrique
Pe	pe	Pe
a	a	a
Nieto	nieto	Nieto
,	,	,
Trump	trump	Trump
even	even	even
acknowledges	acknowledg	acknowledges
that	that	that
the	the	the
wall	wall	wall
is	is	is
the	the	the
least	least	least
important	import	important
thing	thing	thing
we	we	we
are	are	are
talking	talk	talking
about	about	about
,	,	,
but	but	but
politically	polit	politically
this	this	this
might	might	might
be	be	be
the	the	the
most	most	most
important	import	important
.	.	.
You	you	You
hear	hear	hear
that	that	that
,	,	,
Trump	trump	Trump
supporters	support	supporter
?	?	?
That	that	That
applause	applaus	applause
line	line	line
that	that	that
Trump	trump	Trump
