Watch	watch	Watch
Jill	jill	Jill
Stein	stein	Stein
explain	explain	explain
why	whi	why
she	she	she
s	s	s
working	work	working
to	to	to
force	forc	force
a	a	a
recount	recount	recount
in	in	in
3	3	3
states	state	state
that	that	that
used	use	used
to	to	to
be	be	be
Democrat	democrat	Democrat
strongholds	stronghold	stronghold
https://youtu.be/AjXjJ7R8uyUAs	https://youtu.be/ajxjj7r8uyua	https://youtu.be/AjXjJ7R8uyUAs
Ms	ms	Ms
.	.	.
Stein	stein	Stein
starts	start	start
in	in	in
her	her	her
answers	answer	answer
during	dure	during
the	the	the
CNN	cnn	CNN
interview	interview	interview
in	in	in
the	the	the
video	video	video
above	abov	above
,	,	,
Why	whi	Why
would	would	would
anyone	anyon	anyone
not	not	not
want	want	want
to	to	to
count	count	count
the	the	the
votes	vote	vote
,	,	,
and	and	and
to	to	to
be	be	be
sure	sure	sure
that	that	that
they	they	they
were	were	were
counted	count	counted
accurately	accur	accurately
?	?	?

What	what	What
we	we	we
know	know	know
is	is	is
that	that	that
there	there	there
were	were	were
lots	lot	lot
of	of	of
hacks	hack	hack
taking	take	taking
place	place	place
around	around	around
this	this	this
election	elect	election
.	.	.

Much	much	Much
of	of	of
the	the	the
equipment	equip	equipment
used	use	used
is	is	is
not	not	not
only	onli	only
open	open	open
to	to	to
hacks	hack	hack
,	,	,
it	it	it
basically	basic	basically
invites	invit	invite
hacks	hack	hack
and	and	and
malfeasance	malfeas	malfeasance
,	,	,
tampering	tamper	tampering
,	,	,
human	human	human
error	error	error
,	,	,
etc	etc	etc
.	.	.

Here	here	Here
are	are	are
10	10	10
reasons	reason	reason
this	this	this
is	is	is
a	a	a
horrible	horribl	horrible
idea	idea	idea
1	1	1
The	the	The
votes	vote	vote
were	were	were
counted	count	counted
with	with	with
integrity	integr	integrity
.	.	.

The	the	The
real	real	real
experts	expert	expert
do	do	do
not	not	not
believe	believ	believe
a	a	a
recount	recount	recount
is	is	is
needed	need	needed
.	.	.

As	as	As
described	describ	described
by	by	by
the	the	the
Detroit	detroit	Detroit
Free	free	Free
Press	press	Press
,	,	,
The	the	The
report	report	report
says	say	say
the	the	the
scientists	scientist	scientist
believe	believ	believe
they	they	they
have	have	have
identified	identifi	identified
a	a	a
questionable	question	questionable
trend	trend	trend
of	of	of
Clinton	clinton	Clinton
performing	perform	performing
worse	wors	worse
in	in	in
Wisconsin	wisconsin	Wisconsin
counties	counti	county
that	that	that
relied	reli	relied
on	on	on
electronic	electron	electronic
voting	vote	voting
machines	machin	machine
,	,	,
compared	compar	compared
to	to	to
paper	paper	paper
ballots	ballot	ballot
and	and	and
optical	optic	optical
scanners	scanner	scanner
.	.	.

It	it	It
wasn	wasn	wasn
t	t	t
clear	clear	clear
from	from	from
the	the	the
reports	report	report
why	whi	why
Michigan	michigan	Michigan
and	and	and
Pennsylvania	pennsylvania	Pennsylvania
were	were	were
reportedly	report	reportedly
cited	cite	cited
by	by	by
the	the	the
scientists	scientist	scientist
.	.	.
Chris	chris	Chris
Thomas	thoma	Thomas
,	,	,
the	the	the
longtime	longtim	longtime
director	director	director
of	of	of
Michigan	michigan	Michigan
s	s	s
Bureau	bureau	Bureau
of	of	of
Elections	elect	Elections
,	,	,
said	said	said
Michigan	michigan	Michigan
doesn	doesn	doesn
t	t	t
use	use	use
the	the	the
electronic	electron	electronic
voting	vote	voting
machines	machin	machine
identified	identifi	identified
in	in	in
the	the	the
report	report	report
as	as	a
being	be	being
the	the	the
sources	sourc	source
of	of	of
potential	potenti	potential
hacking	hack	hacking
.	.	.

We	we	We
are	are	are
an	an	an
entire	entir	entire
paper	paper	paper
and	and	and
optical	optic	optical
scan	scan	scan
state	state	state
,	,	,
Thomas	thoma	Thomas
told	told	told
the	the	the
Free	free	Free
PressWednesday	presswednesday	PressWednesday
.	.	.

Nothing	noth	Nothing
is	is	is
connected	connect	connected
to	to	to
the	the	the
Internet	internet	Internet
.	.	.

2	2	2
There	there	There
s	s	s
zero	zero	zero
proof	proof	proof
of	of	of
any	ani	any
actual	actual	actual
hacking	hack	hacking
,	,	,
malware	malwar	malware
or	or	or
illegal	illeg	illegal
tampering	tamper	tampering
with	with	with
any	ani	any
votes	vote	vote
in	in	in
any	ani	any
of	of	of
these	these	these
states	state	state
.	.	.

The	the	The
examples	exampl	example
given	given	given
in	in	in
the	the	the
report	report	report
are	are	are
hypothetical	hypothet	hypothetical
possibilities	possibl	possibility
that	that	that
were	were	were
discussed	discuss	discussed
well	well	well
before	befor	before
the	the	the
election	elect	election
,	,	,
with	with	with
known	known	known
equipment	equip	equipment
limitations	limit	limitation
before	befor	before
this	this	this
election	elect	election
took	took	took
place	place	place
.	.	.

In	in	In
Stein	stein	Stein
s	s	s
own	own	own
words	word	word
Let	let	Let
me	me	me
be	be	be
very	veri	very
clear	clear	clear
We	we	We
do	do	do
not	not	not
have	have	have
evidence	evid	evidence
of	of	of
fraud	fraud	fraud
,	,	,
Stein	stein	Stein
says	say	say
.	.	.

We	we	We
do	do	do
not	not	not
have	have	have
smoking	smoke	smoking
guns	gun	gun
