To	to	To
say	say	say
Hillary	hillari	Hillary
Clinton	clinton	Clinton
wiped	wipe	wiped
the	the	the
floor	floor	floor
with	with	with
Donald	donald	Donald
Trump	trump	Trump
during	dure	during
her	her	her
foreign	foreign	foreign
policy	polici	policy
speech	speech	speech
is	is	is
being	be	being
far	far	far
too	too	too
polite	polit	polite
.	.	.

She	she	She
demolished	demolish	demolished
him	him	him
.	.	.

She	she	She
hit	hit	hit
him	him	him
,	,	,
and	and	and
hit	hit	hit
him	him	him
repeatedly	repeat	repeatedly
hard	hard	hard
.	.	.

Going	go	Going
after	after	after
him	him	him
in	in	in
regards	regard	regard
to	to	to
everything	everyth	everything
he	he	he
s	s	s
said	said	said
over	over	over
the	the	the
past	past	past
year	year	year
and	and	and
how	how	how
utterly	utter	utterly
dangerous	danger	dangerous
and	and	and
reprehensible	reprehens	reprehensible
he	he	he
would	would	would
be	be	be
as	as	a
Commander	command	Commander
-in-Chief	-in-chief	-in-Chief
.	.	.
She	she	She
hit	hit	hit
him	him	him
so	so	so
hard	hard	hard
,	,	,
in	in	in
fact	fact	fact
,	,	,
that	that	that
Trump	trump	Trump
got	got	got
very	veri	very
,	,	,
very	veri	very
flustered	fluster	flustered
.	.	.

He	he	He
responded	respond	responded
in	in	in
a	a	a
speech	speech	speech
clearly	clear	clearly
sweating	sweat	sweating
and	and	and
angrily	angrili	angrily
shaking	shake	shaking
the	the	the
podium	podium	podium
.	.	.

I	i	I
mean	mean	mean
,	,	,
after	after	after
all	all	all
,	,	,
how	how	how
dare	dare	dare
a	a	a
woman	woman	woman
call	call	call
him	him	him
out	out	out
so	so	so
astutely	astut	astutely
and	and	and
with	with	with
such	such	such
bravado	bravado	bravado
.	.	.
Trump	trump	Trump
also	also	also
took	took	took
to	to	to
Twitter	twitter	Twitter
the	the	the
next	next	next
day	day	day
still	still	still
not	not	not
over	over	over
it	it	it
,	,	,
and	and	and
still	still	still
not	not	not
knowing	know	knowing
how	how	how
to	to	to
spell	spell	spell
teleprompter	teleprompt	teleprompter
.	.	.

Trump	trump	Trump
tweeted	tweet	tweeted
out	out	out
In	in	In
Crooked	crook	Crooked
Hillary	hillari	Hillary
s	s	s
telepromter	telepromt	telepromter
speech	speech	speech
yesterday	yesterday	yesterday
,	,	,
she	she	she
made	made	made
up	up	up
things	thing	thing
that	that	that
I	i	I
said	said	said
or	or	or
believe	believ	believe
but	but	but
have	have	have
no	no	no
basis	basi	basis
in	in	in
fact	fact	fact
.	.	.

Not	not	Not
honest	honest	honest
!	!	!

In	in	In
Crooked	crook	Crooked
Hillary's	hillari	Hillary's
telepromter	telepromt	telepromter
speech	speech	speech
yesterday	yesterday	yesterday
,	,	,
she	she	she
made	made	made
up	up	up
things	thing	thing
that	that	that
I	i	I
said	said	said
or	or	or
believe	believ	believe
but	but	but
have	have	have
no	no	no
basis	basi	basis
in	in	in
fact	fact	fact
.	.	.

Not	not	Not
honest	honest	honest
!	!	!

Donald	donald	Donald
J	j	J
.	.	.

Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
June	june	June
3	3	3
,	,	,
2016Noticing	2016notic	2016Noticing
the	the	the
tweet	tweet	tweet
was	was	wa
the	the	the
Hillary	hillari	Hillary
campaign	campaign	campaign
,	,	,
who	who	who
quickly	quick	quickly
tweeted	tweet	tweeted
out	out	out
not	not	not
only	onli	only
that	that	that
everything	everyth	everything
she	she	she
said	said	said
was	was	wa
true	true	true
,	,	,
but	but	but
fact	fact	fact
checked	check	checked
him	him	him
line	line	line
by	by	by
line	line	line
.	.	.

It	it	It
was	was	wa
pure	pure	pure
poetry	poetri	poetry
,	,	,
saying	say	saying
You	you	You
literally	liter	literally
said	said	said
all	all	all
those	those	those
things	thing	thing
.	.	.

Then	then	Then
posted	post	posted
a	a	a
link	link	link
