MSNBC	msnbc	MSNBC
host	host	host
Joy	joy	Joy
Reid	reid	Reid
was	was	wa
SHOCKED	shock	SHOCKED
when	when	when
a	a	a
conservative	conserv	conservative
anti	anti	anti
-choice	-choic	-choice
activist	activist	activist
openly	open	openly
stated	state	stated
that	that	that
birth	birth	birth
control	control	control
should	should	should
be	be	be
banned	ban	banned
.	.	.
During	dure	During
a	a	a
panel	panel	panel
discussion	discuss	discussion
on	on	on
Saturday	saturday	Saturday
,	,	,
Kristan	kristan	Kristan
Hawkins	hawkin	Hawkins
of	of	of
Students	student	Students
for	for	for
Life	life	Life
literally	liter	literally
admitted	admit	admitted
that	that	that
she	she	she
wants	want	want
a	a	a
law	law	law
that	that	that
forces	forc	force
women	women	woman
to	to	to
get	get	get
pregnant	pregnant	pregnant
if	if	if
they	they	they
want	want	want
to	to	to
have	have	have
sex	sex	sex
.	.	.
The	the	The
discussion	discuss	discussion
began	began	began
with	with	with
Reid	reid	Reid
pointing	point	pointing
out	out	out
that	that	that
contraception	contracept	contraception
and	and	and
mammogram	mammogram	mammogram
costs	cost	cost
will	will	will
go	go	go
up	up	up
for	for	for
women	women	woman
if	if	if
the	the	the
Affordable	afford	Affordable
Care	care	Care
Act	act	Act
is	is	is
repealed	repeal	repealed
.	.	.
Reid	reid	Reid
asked	ask	asked
the	the	the
panel	panel	panel
if	if	if
they	they	they
agreed	agre	agreed
that	that	that
contraception	contracept	contraception
should	should	should
be	be	be
legal	legal	legal
,	,	,
and	and	and
Hawkins	hawkin	Hawkins
not	not	not
only	onli	only
disagreed	disagre	disagreed
,	,	,
she	she	she
spewed	spew	spewed
misinformation	misinform	misinformation
about	about	about
two	two	two
popular	popular	popular
forms	form	form
of	of	of
contraception	contracept	contraception
.	.	.

I	i	I
believe	believ	believe
certain	certain	certain
forms	form	form
can	can	can
be	be	be
legal	legal	legal
,	,	,
yes	yes	yes
,	,	,
Hawkins	hawkin	Hawkins
said	said	said
.	.	.

I	i	I
don	don	don
t	t	t
believe	believ	believe
abortion	abort	abortion
causing	caus	causing
contraception	contracept	contraception
should	should	should
be	be	be
legal	legal	legal
.	.	.

When	when	When
asked	ask	asked
to	to	to
specifically	specif	specifically
name	name	name
a	a	a
form	form	form
of	of	of
contraception	contracept	contraception
she	she	she
thinks	think	think
should	should	should
be	be	be
outlawed	outlaw	outlawed
,	,	,
Hawkins	hawkin	Hawkins
mentioned	mention	mentioned
hormonal	hormon	hormonal
contraception	contracept	contraception
like	like	like
IUDs	iud	IUDs
.	.	.
REID	reid	REID
You	you	You
think	think	think
IUDs	iud	IUDs
should	should	should
be	be	be
illegal	illeg	illegal
?	?	?

HAWKINS	hawkin	HAWKINS
I	i	I
don	don	don
t	t	t
think	think	think
they	they	they
should	should	should
be	be	be
legal	legal	legal
.	.	.

They	they	They
put	put	put
women	women	woman
at	at	at
risk	risk	risk
and	and	and
they	they	they
kill	kill	kill
children	children	child
.	.	.

Except	except	Except
that	that	that
IUDs	iud	IUDs
are	are	are
one	one	one
of	of	of
the	the	the
safest	safest	safest
forms	form	form
of	of	of
birth	birth	birth
control	control	control
,	,	,
and	and	and
they	they	they
work	work	work
by	by	by
preventing	prevent	preventing
sperm	sperm	sperm
from	from	from
joining	join	joining
with	with	with
the	the	the
egg	egg	egg
.	.	.
According	accord	According
to	to	to
the	the	the
Baby	babi	Baby
Center	center	Center
,	,	,
Both	both	Both
types	type	type
of	of	of
IUDs	iud	IUDs
work	work	work
primarily	primarili	primarily
by	by	by
preventing	prevent	preventing
sperm	sperm	sperm
from	from	from
fertilizing	fertil	fertilizing
an	an	an
egg	egg	egg
.	.	.

The	the	The
copper	copper	copper
IUD	iud	IUD
releases	releas	release
copper	copper	copper
into	into	into
the	the	the
uterus	uterus	uterus
,	,	,
which	which	which
works	work	work
as	as	a
a	a	a
spermicide	spermicid	spermicide
.	.	.

The	the	The
others	other	others
release	releas	release
a	a	a
form	form	form
of	of	of
the	the	the
hormone	hormon	hormone
progestin	progestin	progestin
into	into	into
the	the	the
uterus	uterus	uterus
.	.	.

The	the	The
progestin	progestin	progestin
thickens	thicken	thickens
the	the	the
cervical	cervic	cervical
mucus	mucus	mucus
so	so	so
that	that	that
sperm	sperm	sperm
can	can	can
t	t	t
reach	reach	reach
the	the	the
egg	egg	egg
.	.	.
In	in	In
other	other	other
words	word	word
,	,	,
unless	unless	unless
conservatives	conserv	conservative
now	now	now
believe	believ	believe
that	that	that
life	life	life
begins	begin	begin
BEFORE	befor	BEFORE
conception	concept	conception
,	,	,
they	they	they
should	should	should
have	have	have
absolutely	absolut	absolutely
no	no	no
problem	problem	problem
with	with	with
IUDs	iud	IUDs
.	.	.
But	but	But
Hawkins	hawkin	Hawkins
also	also	also
declared	declar	declared
that	that	that
birth	birth	birth
control	control	control
pills	pill	pill
should	should	should
be	be	be
illegal	illeg	illegal
as	as	a
well	well	well
.	.	.
However	howev	However
,	,	,
birth	birth	birth
control	control	control
pills	pill	pill
also	also	also
prevent	prevent	prevent
