Recall	recal	Recall
that	that	that
in	in	in
2016	2016	2016
a	a	a
Muslim	muslim	Muslim
professor	professor	professor
was	was	wa
caught	caught	caught
on	on	on
video	video	video
see	see	see
below	below	below
explaining	explain	explaining
why	whi	why
cutting	cut	cutting
off	off	off
hands	hand	hand
as	as	a
punishment	punish	punishment
for	for	for
theft	theft	theft
is	is	is
a	a	a
good	good	good
punishment	punish	punishment
.	.	.
Bassam	bassam	Bassam
Alhalabi	alhalabi	Alhalabi
believes	believ	belief
in	in	in
Sharia	sharia	Sharia
law	law	law
and	and	and
was	was	wa
explaining	explain	explaining
why	whi	why
it	it	it
s	s	s
such	such	such
a	a	a
great	great	great
idea	idea	idea
and	and	and
that	that	that
it	it	it
would	would	would
cut	cut	cut
down	down	down
on	on	on
crime	crime	crime
.	.	.
Here	here	Here
s	s	s
the	the	the
video	video	video
below	below	below
JUST	just	JUST
TO	to	TO
BE	be	BE
CLEAR	clear	CLEAR
THIS	this	THIS
MAN	man	MAN
BELIEVES	believ	BELIEVES
IT	it	IT
S	s	S
OK	ok	OK
TO	to	TO
CHOP	chop	CHOP
OFF	off	OFF
HANDS	hand	HANDS
!	!	!
Where	where	Where
there	there	there
is	is	is
no	no	no
Sharia	sharia	Sharia
,	,	,
Islamic	islam	Islamic
Sharia	sharia	Sharia
,	,	,
they	they	they
die	die	die
in	in	in
dozens	dozen	dozen
and	and	and
hundreds	hundr	hundred
every	everi	every
day	day	day
because	becaus	because
of	of	of
organized	organ	organized
crime	crime	crime
.	.	.
People	peopl	People
kill	kill	kill
people	peopl	people
,	,	,
other	other	other
people	peopl	people
or	or	or
steal	steal	steal
pizza	pizza	pizza
for	for	for
10	10	10
and	and	and
so	so	so
so	so	so
when	when	when
Islamic	islam	Islamic
Shariah	shariah	Shariah
is	is	is
saying	say	saying
about	about	about
capital	capit	capital
punishment	punish	punishment
so	so	so
even	even	even
though	though	though
it	it	it
sounds	sound	sound
like	like	like
it	it	it
is	is	is
severe	sever	severe
but	but	but
if	if	if
that	that	that
is	is	is
the	the	the
solution	solut	solution
to	to	to
prevent	prevent	prevent
any	ani	any
crimes	crime	crime
,	,	,
then	then	then
it	it	it
still	still	still
has	has	ha
a	a	a
lot	lot	lot
of	of	of
rules	rule	rule
and	and	and
regulations	regul	regulation
.	.	.
I	i	I
will	will	will
just	just	just
mention	mention	mention
one	one	one
and	and	and
stop	stop	stop
here	here	here
,	,	,
which	which	which
is	is	is
let	let	let
s	s	s
say	say	say
cutting	cut	cutting
off	off	off
the	the	the
hands	hand	hand
of	of	of
a	a	a
person	person	person
if	if	if
they	they	they
steal	steal	steal
.	.	.
It	it	It
sounds	sound	sound
very	veri	very
severe	sever	severe
.	.	.
It	it	It
sounds	sound	sound
very	veri	very
barbaric	barbar	barbaric
,	,	,
I	i	I
know	know	know
.	.	.
But	but	But
if	if	if
takes	take	take
one	one	one
or	or	or
two	two	two
people	peopl	people
to	to	to
have	have	have
their	their	their
hands	hand	hand
cut	cut	cut
off	off	off
,	,	,
and	and	and
then	then	then
there	there	there
s	s	s
no	no	no
more	more	more
stealing	steal	stealing
and	and	and
there	there	there
s	s	s
no	no	no
more	more	more
stealing	steal	stealing
in	in	in
the	the	the
whole	whole	whole
nation	nation	nation
that	that	that
s	s	s
a	a	a
much	much	much
better	better	better
resolution	resolut	resolution
than	than	than
having	have	having
hundreds	hundr	hundred
of	of	of
people	peopl	people
die	die	die
every	everi	every
day	day	day
.	.	.
RUN	run	RUN
AWAY	away	AWAY
,	,	,
RUN	run	RUN
AWAY	away	AWAY
!	!	!
THE	the	THE
PROFESSOR	professor	PROFESSOR
HIGHTAILED	hightail	HIGHTAILED
IT	it	IT
OUT	out	OUT
OF	of	OF
THERE	there	THERE
WHEN	when	WHEN
HE	he	HE
SAW	saw	SAW
UNITED	unit	UNITED
WEST	west	WEST
THERE	there	THERE
TO	to	TO
RECORD	record	RECORD
HIM	him	HIM
AGAIN	again	AGAIN
!	!	!
On	on	On
August	august	August
17	17	17
,	,	,
2017	2017	2017
Florida	florida	Florida
Atlantic	atlant	Atlantic
University	univers	University
FAU	fau	FAU
Professor	professor	Professor
and	and	and
President	presid	President
of	of	of
the	the	the
Islamic	islam	Islamic
Society	societi	Society
