Almost	almost	Almost
immediately	immedi	immediately
following	follow	following
the	the	the
Nov	nov	Nov
.	.	.
8	8	8
election	elect	election
,	,	,
Trump	trump	Trump
and	and	and
his	his	his
fledgling	fledgl	fledgling
administration	administr	administration
made	made	made
a	a	a
point	point	point
of	of	of
denying	deni	denying
that	that	that
they	they	they
were	were	were
in	in	in
contact	contact	contact
with	with	with
Russia	russia	Russia
about	about	about
anything	anyth	anything
.	.	.
Now	now	Now
his	his	his
own	own	own
national	nation	national
security	secur	security
adviser	advis	adviser
,	,	,
Michael	michael	Michael
Flynn	flynn	Flynn
,	,	,
is	is	is
saying	say	saying
otherwise	otherwis	otherwise
.	.	.
Flynn	flynn	Flynn
has	has	ha
more	more	more
or	or	or
less	less	le
said	said	said
that	that	that
he	he	he
might	might	might
have	have	have
discussed	discuss	discussed
the	the	the
sanctions	sanction	sanction
privately	privat	privately
with	with	with
Russia	russia	Russia
s	s	s
ambassador	ambassador	ambassador
to	to	to
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
,	,	,
Sergey	sergey	Sergey
Kislyak	kislyak	Kislyak
.	.	.
But	but	But
there	there	there
are	are	are
nine	nine	nine
officials	offici	official
who	who	who
all	all	all
say	say	say
he	he	he
definitely	definit	definitely
did	did	did
.	.	.
Flynn	flynn	Flynn
first	first	first
denied	deni	denied
the	the	the
allegations	alleg	allegation
rather	rather	rather
emphatically	emphat	emphatically
,	,	,
according	accord	according
to	to	to
a	a	a
report	report	report
from	from	from
the	the	the
Washington	washington	Washington
Post	post	Post
.	.	.
However	howev	However
,	,	,
he	he	he
walked	walk	walked
it	it	it
back	back	back
through	through	through
his	his	his
spokesman	spokesman	spokesman
later	later	later
on	on	on
,	,	,
who	who	who
said	said	said
that	that	that
he	he	he
indicated	indic	indicated
that	that	that
while	while	while
he	he	he
had	had	had
no	no	no
recollection	recollect	recollection
of	of	of
discussing	discuss	discussing
sanctions	sanction	sanction
,	,	,
he	he	he
couldn	couldn	couldn
t	t	t
be	be	be
certain	certain	certain
that	that	that
the	the	the
topic	topic	topic
never	never	never
came	came	came
up	up	up
.	.	.
That	that	That
s	s	s
an	an	an
interesting	interest	interesting
way	way	way
of	of	of
not	not	not
answering	answer	answering
a	a	a
question	question	question
,	,	,
but	but	but
it	it	it
might	might	might
get	get	get
him	him	him
off	off	off
the	the	the
hook	hook	hook
just	just	just
a	a	a
little	littl	little
.	.	.
The	the	The
Post	post	Post
reports	report	report
that	that	that
no	no	no
fewer	fewer	fewer
than	than	than
nine	nine	nine
officials	offici	official
,	,	,
who	who	who
have	have	have
access	access	access
to	to	to
reports	report	report
from	from	from
law	law	law
enforcement	enforc	enforcement
and	and	and
intelligence	intellig	intelligence
agencies	agenc	agency
that	that	that
monitor	monitor	monitor
communications	communic	communication
of	of	of
Russian	russian	Russian
diplomats	diplomat	diplomat
,	,	,
say	say	say
that	that	that
Flynn	flynn	Flynn
s	s	s
references	refer	reference
to	to	to
the	the	the
sanctions	sanction	sanction
Obama	obama	Obama
imposed	impos	imposed
following	follow	following
the	the	the
election	elect	election
were	were	were
explicit	explicit	explicit
and	and	and
clear	clear	clear
.	.	.
Two	two	Two
also	also	also
said	said	said
that	that	that
Flynn	flynn	Flynn
actually	actual	actually
told	told	told
Russia	russia	Russia
not	not	not
to	to	to
overreact	overreact	overreact
to	to	to
the	the	the
penalties	penalti	penalty
since	sinc	since
all	all	all
of	of	of
this	this	this
could	could	could
be	be	be
discussed	discuss	discussed
again	again	again
after	after	after
Trump	trump	Trump
was	was	wa
sworn	sworn	sworn
in	in	in
.	.	.
A	a	A
third	third	third
official	offici	official
said	said	said
that	that	that
either	either	either
Flynn	flynn	Flynn
had	had	had
lied	lie	lied
to	to	to
Mike	mike	Mike
Pence	penc	Pence
,	,	,
who	who	who
flatly	flat	flatly
denied	deni	denied
the	the	the
allegations	alleg	allegation
,	,	,
too	too	too
,	,	,
or	or	or
that	that	that
Pence	penc	Pence
misspoke	misspok	misspoke
knowing	know	knowing
this	this	this
administration	administr	administration
,	,	,
it	it	it
s	s	s
the	the	the
former	former	former
.	.	.
Pence	penc	Pence
told	told	told
CBS	cbs	CBS
Face	face	Face
the	the	the
Nation	nation	Nation
the	the	the
following	follow	following
I	i	I
talked	talk	talked
to	to	to
General	general	General
Flynn	flynn	Flynn
about	about	about
that	that	that
conversation	convers	conversation
and	and	and
actually	actual	actually
was	was	wa
initiated	initi	initiated
on	on	on
Christmas	christma	Christmas
Day	day	Day
he	he	he
had	had	had
sent	sent	sent
a	a	a
text	text	text
to	to	to
the	the	the
Russian	russian	Russian
ambassador	ambassador	ambassador
to	to	to
express	express	express
not	not	not
only	onli	only
Christmas	christma	Christmas
wishes	wish	wish
but	but	but
sympathy	sympathi	sympathy
for	for	for
the	the	the
loss	loss	loss
of	of	of
life	life	life
in	in	in
the	the	the
airplane	airplan	airplane
crash	crash	crash
that	that	that
took	took	took
place	place	place
.	.	.
It	it	It
was	was	wa
strictly	strict	strictly
coincidental	coincident	coincidental
that	that	that
they	they	they
had	had	had
a	a	a
conversation	convers	conversation
.	.	.
They	they	They
did	did	did
not	not	not
discuss	discuss	discus
anything	anyth	anything
having	have	having
to	to	to
do	do	do
with	with	with
the	the	the
United	unit	United
States	state	States
decision	decis	decision
to	to	to
expel	expel	expel
diplomats	diplomat	diplomat
or	or	or
impose	impos	impose
censure	censur	censure
against	against	against
Russia	russia	Russia
.	.	.
After	after	After
host	host	host
John	john	John
Dickerson	dickerson	Dickerson
pressed	press	pressed
him	him	him
on	on	on
whether	whether	whether
Flynn	flynn	Flynn
had	had	had
ever	ever	ever
had	had	had
a	a	a
conversation	convers	conversation
about	about	about
sanctions	sanction	sanction
with	with	with
Kislyak	kislyak	Kislyak
at	at	at
any	ani	any
time	time	time
,	,	,
Pence	penc	Pence
said	said	said
Well	well	Well
,	,	,
look	look	look
.	.	.
General	general	General
Flynn	flynn	Flynn
has	has	ha
been	been	been
in	in	in
touch	touch	touch
with	with	with
diplomatic	diplomat	diplomatic
leaders	leader	leader
,	,	,
security	secur	security
leaders	leader	leader
in	in	in
some	some	some
30	30	30
countries	countri	country
.	.	.
That	that	That
s	s	s
exactly	exact	exactly
what	what	what
the	the	the
incoming	incom	incoming
national	nation	national
security	secur	security
advisor	advisor	advisor
should	should	should
do	do	do
.	.	.
But	but	But
what	what	what
I	i	I
can	can	can
confirm	confirm	confirm
,	,	,
having	have	having
spoken	spoken	spoken
to	to	to
him	him	him
about	about	about
it	it	it
,	,	,
is	is	is
that	that	that
those	those	those
conversations	convers	conversation
that	that	that
happened	happen	happened
to	to	to
occur	occur	occur
around	around	around
the	the	the
time	time	time
that	that	that
the	the	the
United	unit	United
States	state	States
took	took	took
action	action	action
to	to	to
expel	expel	expel
diplomats	diplomat	diplomat
had	had	had
nothing	noth	nothing
whatsoever	whatsoev	whatsoever
to	to	to
do	do	do
with	with	with
those	those	those
sanctions	sanction	sanction
.	.	.
He	he	He
then	then	then
finished	finish	finished
that	that	that
part	part	part
of	of	of
the	the	the
interview	interview	interview
with	with	with
,	,	,
I	i	I
don	don	don
t	t	t
believe	believ	believe
there	there	there
were	were	were
more	more	more
conversations	convers	conversation
.	.	.
U	u	U
.	.	.
S	s	S
.	.	.
intelligence	intellig	intelligence
agencies	agenc	agency
became	becam	became
suspicious	suspici	suspicious
after	after	after
Putin	putin	Putin
s	s	s
lackluster	lacklust	lackluster
response	respons	response
to	to	to
our	our	our
kicking	kick	kicking
out	out	out
all	all	all
of	of	of
their	their	their
diplomats	diplomat	diplomat
,	,	,
and	and	and
they	they	they
began	began	began
to	to	to
look	look	look
for	for	for
evidence	evid	evidence
suggesting	suggest	suggesting
that	that	that
he	he	he
was	was	wa
promised	promis	promised
relief	relief	relief
.	.	.
They	they	They
discovered	discov	discovered
that	that	that
conversations	convers	conversation
between	between	between
Flynn	flynn	Flynn
and	and	and
Kislyak	kislyak	Kislyak
had	had	had
happened	happen	happened
around	around	around
the	the	the
time	time	time
we	we	we
announced	announc	announced
the	the	the
new	new	new
sanctions	sanction	sanction
and	and	and
kicked	kick	kicked
their	their	their
diplomats	diplomat	diplomat
out	out	out
.	.	.
The	the	The
administration	administr	administration
s	s	s
position	posit	position
was	was	wa
to	to	to
deny	deni	deny
,	,	,
deny	deni	deny
,	,	,
deny	deni	deny
,	,	,
because	becaus	because
of	of	of
course	cours	course
.	.	.
But	but	But
Flynn	flynn	Flynn
isn	isn	isn
t	t	t
exactly	exact	exactly
denying	deni	denying
it	it	it
anymore	anymor	anymore
.	.	.
This	this	This
may	may	may
have	have	have
something	someth	something
to	to	to
do	do	do
with	with	with
Congress	congress	Congress
seeking	seek	seeking
to	to	to
limit	limit	limit
Trump	trump	Trump
s	s	s
ability	abil	ability
to	to	to
ease	eas	ease
the	the	the
sanctions	sanction	sanction
.	.	.
It	it	It
may	may	may
have	have	have
anything	anyth	anything
to	to	to
do	do	do
with	with	with
anything	anyth	anything
maybe	mayb	maybe
he	he	he
just	just	just
feels	feel	feel
backed	back	backed
into	into	into
a	a	a
corner	corner	corner
now	now	now
.	.	.
The	the	The
point	point	point
is	is	is
,	,	,
of	of	of
all	all	all
the	the	the
lies	lie	lie
coming	come	coming
out	out	out
of	of	of
this	this	this
administration	administr	administration
,	,	,
this	this	this
is	is	is
one	one	one
of	of	of
the	the	the
biggest	biggest	biggest
and	and	and
the	the	the
worst	worst	worst
thus	thus	thus
far	far	far
.	.	.
Oddly	odd	Oddly
enough	enough	enough
,	,	,
both	both	both
Flynn	flynn	Flynn
and	and	and
his	his	his
son	son	son
seem	seem	seem
to	to	to
have	have	have
deleted	delet	deleted
their	their	their
Twitter	twitter	Twitter
accounts	account	account
.	.	.
That	that	That
could	could	could
be	be	be
for	for	for
any	ani	any
reason	reason	reason
,	,	,
but	but	but
it	it	it
s	s	s
just	just	just
a	a	a
little	littl	little
too	too	too
coincidental	coincident	coincidental
to	to	to
the	the	the
Post	post	Post
s	s	s
report	report	report
.	.	.
Now	now	Now
we	we	we
get	get	get
to	to	to
wonder	wonder	wonder
what	what	what
else	els	else
this	this	this
administration	administr	administration
has	has	ha
done	done	done
to	to	to
aid	aid	aid
an	an	an
official	offici	official
enemy	enemi	enemy
.	.	.
Working	work	Working
to	to	to
rebuild	rebuild	rebuild
relationships	relationship	relationship
and	and	and
strengthen	strengthen	strengthen
ties	tie	tie
is	is	is
one	one	one
thing	thing	thing
.	.	.
Working	work	Working
to	to	to
aid	aid	aid
an	an	an
enemy	enemi	enemy
is	is	is
another	anoth	another
,	,	,
and	and	and
that	that	that
s	s	s
what	what	what
Flynn	flynn	Flynn
and	and	and
by	by	by
extension	extens	extension
,	,	,
Trump	trump	Trump
has	has	ha
done	done	done
.	.	.
Featured	featur	Featured
image	imag	image
by	by	by
Drew	drew	Drew
Angerer	anger	Angerer
via	via	via
Getty	getti	Getty
Images	imag	Images
