Sounds	sound	Sounds
to	to	to
me	me	me
like	like	like
Gen	gen	Gen
.	.	.

Kelly	kelli	Kelly
got	got	got
it	it	it
right	right	right
.	.	.

This	this	This
portion	portion	portion
of	of	of
her	her	her
speech	speech	speech
seems	seem	seems
to	to	to
emphasize	emphas	emphasize
her	her	her
role	role	role
in	in	in
getting	get	getting
the	the	the
naming	name	naming
done	done	done
.	.	.

That	that	That
was	was	wa
his	his	his
point	point	point
,	,	,
she	she	she
needs	need	need
the	the	the
spotlight	spotlight	spotlight
hence	henc	hence
her	her	her
using	use	using
the	the	the
death	death	death
of	of	of
a	a	a
soldier	soldier	soldier
and	and	and
the	the	the
families	famili	family
grief	grief	grief
as	as	a
a	a	a
political	polit	political
football	footbal	football
trying	tri	trying
to	to	to
score	score	score
political	polit	political
points	point	point
.	.	.
In	in	In
case	case	case
you	you	you
missed	miss	missed
the	the	the
wonderful	wonder	wonderful
message	messag	message
from	from	from
Chief	chief	Chief
of	of	of
Staff	staff	Staff
Kelly	kelli	Kelly
White	white	White
House	hous	House
Chief	chief	Chief
of	of	of
Staff	staff	Staff
John	john	John
Kelly	kelli	Kelly
says	say	say
he	he	he
was	was	wa
stunned	stun	stunned
to	to	to
learn	learn	learn
that	that	that
Congresswoman	congresswoman	Congresswoman
Frederica	frederica	Frederica
Wilson	wilson	Wilson
listened	listen	listened
in	in	in
on	on	on
the	the	the
president	presid	president
s	s	s
call	call	call
to	to	to
a	a	a
fallen	fallen	fallen
soldier	soldier	soldier
s	s	s
wife	wife	wife
.	.	.

He	he	He
came	came	came
into	into	into
the	the	the
White	white	White
House	hous	House
press	press	press
briefing	brief	briefing
and	and	and
let	let	let
the	the	the
press	press	press
have	have	have
it	it	it
too	too	too
.	.	.

He	he	He
goes	goe	go
through	through	through
the	the	the
steps	step	step
of	of	of
what	what	what
happens	happen	happens
when	when	when
someone	someon	someone
in	in	in
the	the	the
military	militari	military
is	is	is
killed	kill	killed
.	.	.

He	he	He
says	say	say
that	that	that
the	the	the
members	member	member
of	of	of
our	our	our
military	militari	military
are	are	are
the	the	the
best	best	best
1	1	1
of	of	of
our	our	our
population	popul	population
.	.	.

He	he	He
said	said	said
he	he	he
was	was	wa
brokenhearted	brokenheart	brokenhearted
when	when	when
he	he	he
found	found	found
out	out	out
what	what	what
a	a	a
member	member	member
of	of	of
congress	congress	congress
did	did	did
.	.	.

This	this	This
is	is	is
a	a	a
heartfelt	heartfelt	heartfelt
moment	moment	moment
that	that	that
is	is	is
amazing	amaz	amazing
KELLY	kelli	KELLY
DOES	doe	DOES
A	a	A
GREAT	great	GREAT
JOB	job	JOB
OF	of	OF
CUTTING	cut	CUTTING
THROUGH	through	THROUGH
THE	the	THE
BS	bs	BS
FROM	from	FROM
THE	the	THE
PRESS	press	PRESS
The	the	The
retired	retir	retired
general	general	general
who	who	who
lost	lost	lost
his	his	his
own	own	own
son	son	son
in	in	in
Afghanistan	afghanistan	Afghanistan
said	said	said
the	the	the
call	call	call
to	to	to
Sgt	sgt	Sgt
.	.	.

La	la	La
David	david	David
T	t	T
.	.	.

Johnson	johnson	Johnson
s	s	s
wife	wife	wife
should	should	should
have	have	have
been	been	been
sacred	sacr	sacred
.	.	.

It	it	It
stuns	stun	stuns
me	me	me
that	that	that
a	a	a
member	member	member
of	of	of
congress	congress	congress
would	would	would
have	have	have
listened	listen	listened
in	in	in
on	on	on
that	that	that
conversation	convers	conversation
.	.	.

Absolutely	absolut	Absolutely
stuns	stun	stuns
me	me	me
.	.	.

I	i	I
thought	thought	thought
at	at	at
least	least	least
that	that	that
was	was	wa
sacred	sacr	sacred
,	,	,
he	he	he
said	said	said
.	.	.
The	the	The
White	white	White
House	hous	House
official	offici	official
found	found	found
himself	himself	himself
at	at	at
the	the	the
center	center	center
of	of	of
a	a	a
charge	charg	charge
that	that	that
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
didn	didn	didn
t	t	t
make	make	make
calls	call	call
to	to	to
the	the	the
families	famili	family
of	of	of
fallen	fallen	fallen
soldiers	soldier	soldier
this	this	this
week	week	week
after	after	after
President	presid	President
Trump	trump	Trump
claimed	claim	claimed
that	that	that
Obama	obama	Obama
didn	didn	didn
t	t	t
call	call	call
Kelly	kelli	Kelly
when	when	when
his	his	his
son	son	son
Robert	robert	Robert
died	die	died
.	.	.
Kelly	kelli	Kelly
said	said	said
Thursday	thursday	Thursday
at	at	at
a	a	a
White	white	White
House	hous	House
news	news	news
conference	confer	conference
that	that	that
it	it	it
s	s	s
true	true	true
but	but	but
he	he	he
wasn	wasn	wasn
t	t	t
offended	offend	offended
.	.	.
In	in	In
fact	fact	fact
,	,	,
Kelly	kelli	Kelly
says	say	say
he	he	he
counseled	counsel	counseled
Trump	trump	Trump
not	not	not
to	to	to
call	call	call
Gold	gold	Gold
Star	star	Star
families	famili	family
and	and	and
to	to	to
instead	instead	instead
write	write	write
letters	letter	letter
.	.	.
Read	read	Read
more	more	more
Daily	daili	Daily
Mail	mail	Mail

