Whenever	whenev	Whenever
big	big	big
news	news	news
happens	happen	happens
in	in	in
Washington	washington	Washington
,	,	,
the	the	the
nation	nation	nation
at	at	at
least	least	least
those	those	those
in	in	in
desperate	desper	desperate
need	need	need
of	of	of
entertainment	entertain	entertainment
awaits	await	awaits
the	the	the
response	respons	response
of	of	of
just	just	just
one	one	one
man	man	man
Rep	rep	Rep
.	.	.
Louie	louie	Louie
Gohmert	gohmert	Gohmert
R	r	R
-Texas	-texa	-Texas
.	.	.
Gohmert	gohmert	Gohmert
almost	almost	almost
never	never	never
disappoints	disappoint	disappoints
with	with	with
the	the	the
depth	depth	depth
of	of	of
his	his	his
stupidity	stupid	stupidity
and	and	and
he	he	he
certainly	certain	certainly
didn	didn	didn
t	t	t
on	on	on
Thursday	thursday	Thursday
,	,	,
when	when	when
he	he	he
yelled	yell	yelled
at	at	at
the	the	the
Democratic	democrat	Democratic
Congresspeople	congresspeopl	Congresspeople
who	who	who
were	were	were
conducting	conduct	conducting
a	a	a
sit	sit	sit
-in	-in	-in
in	in	in
support	support	support
of	of	of
gun	gun	gun
control	control	control
.	.	.
The	the	The
sit	sit	sit
-in	-in	-in
lasted	last	lasted
a	a	a
bit	bit	bit
over	over	over
24	24	24
hours	hour	hour
,	,	,
and	and	and
it	it	it
was	was	wa
in	in	in
protest	protest	protest
to	to	to
the	the	the
four	four	four
failed	fail	failed
attempts	attempt	attempt
at	at	at
gun	gun	gun
control	control	control
in	in	in
the	the	the
Senate	senat	Senate
and	and	and
of	of	of
Speaker	speaker	Speaker
Paul	paul	Paul
Ryan	ryan	Ryan
s	s	s
R	r	R
-Wisconsin	-wisconsin	-Wisconsin
refusal	refus	refusal
to	to	to
even	even	even
let	let	let
a	a	a
gun	gun	gun
control	control	control
measure	measur	measure
get	get	get
a	a	a
debate	debat	debate
or	or	or
vote	vote	vote
.	.	.
Gohmert	gohmert	Gohmert
,	,	,
who	who	who
received	receiv	received
more	more	more
than	than	than
13	13	13
,	,	,
000	000	000
in	in	in
contributions	contribut	contribution
from	from	from
the	the	the
National	nation	National
Rifle	rifl	Rifle
Association	associ	Association
,	,	,
thought	thought	thought
the	the	the
Congresspeople	congresspeopl	Congresspeople
were	were	were
protesting	protest	protesting
the	the	the
wrong	wrong	wrong
thing	thing	thing
.	.	.
According	accord	According
to	to	to
him	him	him
,	,	,
Islam	islam	Islam
is	is	is
responsible	respons	responsible
for	for	for
our	our	our
country	countri	country
s	s	s
mass	mass	mass
shootings	shoot	shooting
.	.	.
We	we	We
are	are	are
talking	talk	talking
about	about	about
radical	radic	radical
Islam	islam	Islam
!	!	!
Gohmert	gohmert	Gohmert
yelled	yell	yelled
,	,	,
waving	wave	waving
his	his	his
finger	finger	finger
at	at	at
posters	poster	poster
featuring	featur	featuring
photos	photo	photo
of	of	of
the	the	the
victims	victim	victim
of	of	of
the	the	the
recent	recent	recent
mass	mass	mass
shooting	shoot	shooting
at	at	at
