Conservatives	conserv	Conservatives
claim	claim	claim
that	that	that
voter	voter	voter
ID	id	ID
is	is	is
necessary	necessari	necessary
to	to	to
catch	catch	catch
illegal	illeg	illegal
voters	voter	voter
,	,	,
but	but	but
it	it	it
turns	turn	turn
out	out	out
they	they	they
re	re	re
the	the	the
only	onli	only
ones	one	one
creating	creat	creating
fake	fake	fake
IDs	id	IDs
to	to	to
use	use	use
on	on	on
Election	elect	Election
Day	day	Day
.	.	.
Trump	trump	Trump
supporters	support	supporter
are	are	are
taking	take	taking
Trump	trump	Trump
s	s	s
call	call	call
to	to	to
monitor	monitor	monitor
polling	poll	polling
places	place	place
so	so	so
seriously	serious	seriously
that	that	that
they	they	they
are	are	are
creating	creat	creating
fake	fake	fake
ID	id	ID
badges	badg	badge
in	in	in
order	order	order
to	to	to
infiltrate	infiltr	infiltrate
polling	poll	polling
locations	locat	location
across	across	across
the	the	the
country	countri	country
and	and	and
intimidate	intimid	intimidate
voters	voter	voter
by	by	by
interrogating	interrog	interrogating
them	them	them
,	,	,
confusing	confus	confusing
them	them	them
,	,	,
and	and	and
filming	film	filming
them	them	them
all	all	all
of	of	of
which	which	which
are	are	are
illegal	illeg	illegal
.	.	.
But	but	But
,	,	,
Trump	trump	Trump
s	s	s
deplorables	deplor	deplorables
are	are	are
doing	do	doing
this	this	this
in	in	in
droves	drove	drove
with	with	with
the	the	the
help	help	help
of	of	of
a	a	a
right	right	right
-wing	-wing	-wing
group	group	group
known	known	known
as	as	a
Vote	vote	Vote
Protectors	protector	Protectors
.	.	.
The	the	The
group	group	group
,	,	,
which	which	which
is	is	is
affiliated	affili	affiliated
with	with	with
top	top	top
Trump	trump	Trump
ally	alli	ally
Roger	roger	Roger
Stone	stone	Stone
,	,	,
is	is	is
giving	give	giving
people	peopl	people
the	the	the
ability	abil	ability
to	to	to
intimidate	intimid	intimidate
voters	voter	voter
on	on	on
Election	elect	Election
Day	day	Day
.	.	.
They	they	They
are	are	are
literally	liter	literally
teaching	teach	teaching
them	them	them
to	to	to
create	creat	create
their	their	their
own	own	own
fake	fake	fake
badge	badg	badge
,	,	,
which	which	which
is	is	is
designed	design	designed
to	to	to
give	give	give
them	them	them
access	access	access
to	to	to
voters	voter	voter
both	both	both
inside	insid	inside
and	and	and
outside	outsid	outside
the	the	the
polling	poll	polling
places	place	place
where	where	where
citizens	citizen	citizen
cast	cast	cast
their	their	their
votes	vote	vote
.	.	.
According	accord	According
to	to	to
the	the	the
Huffington	huffington	Huffington
Post	post	Post
,	,	,
Stone	stone	Stone
s	s	s
group	group	group
created	creat	created
an	an	an
official	offici	official
-looking	-look	-looking
ID	id	ID
badge	badg	badge
for	for	for
its	it	it
volunteers	volunt	volunteer
to	to	to
wear	wear	wear
,	,	,
and	and	and
its	it	it
volunteers	volunt	volunteer
planned	plan	planned
to	to	to
videotape	videotap	videotape
voters	voter	voter
and	and	and
conduct	conduct	conduct
fake	fake	fake
exit	exit	exit
polls	poll	poll
,	,	,
efforts	effort	effort
that	that	that
election	elect	election
experts	expert	expert
say	say	say
risks	risk	risk
intimidating	intimid	intimidating
and	and	and
confusing	confus	confusing
voters	voter	voter
.	.	.
Or	or	Or
at	at	at
least	least	least
that	that	that
s	s	s
what	what	what
the	the	the
group	group	group
was	was	wa
planning	plan	planning
to	to	to
do	do	do
before	befor	before
The	the	The
Huffington	huffington	Huffington
Post	post	Post
asked	ask	asked
Stone	stone	Stone
about	about	about
it	it	it
on	on	on
Tuesday	tuesday	Tuesday
.	.	.
The	the	The
controversial	controversi	controversial
Trump	trump	Trump
ally	alli	ally
,	,	,
long	long	long
known	known	known
for	for	for
his	his	his
bare	bare	bare
-knuckled	-knuckl	-knuckled
political	polit	political
tactics	tactic	tactic
,	,	,
said	said	said
that	that	that
key	key	key
proposals	propos	proposal
on	on	on
his	his	his
group	group	group
s	s	s
websites	websit	website
were	were	were
there	there	there
without	without	without
his	his	his
knowledge	knowledg	knowledge
,	,	,
and	and	and
assured	assur	assured
HuffPost	huffpost	HuffPost
that	that	that
he	he	he
would	would	would
operate	oper	operate
within	within	within
the	the	the
confines	confin	confines
of	of	of
election	elect	election
law	law	law
.	.	.
In	in	In
fact	fact	fact
,	,	,
after	after	after
HuffPo	huffpo	HuffPo
confronted	confront	confronted
Stone	stone	Stone
with	with	with
evidence	evid	evidence
that	that	that
these	these	these
kinds	kind	kind
of	of	of
tactics	tactic	tactic
were	were	were
being	be	being
pursued	pursu	pursued
by	by	by
the	the	the
website	websit	website
,	,	,
he	he	he
acknowledged	acknowledg	acknowledged
that	that	that
