Judge	judg	Judge
Napolitano	napolitano	Napolitano
had	had	had
this	this	this
to	to	to
say	say	say
about	about	about
the	the	the
DNC	dnc	DNC
s	s	s
Muslim	muslim	Muslim
IT	it	IT
worker	worker	worker
He	he	He
was	was	wa
arrested	arrest	arrested
for	for	for
some	some	some
financial	financi	financial
crime	crime	crime
.	.	.

That	that	That
s	s	s
the	the	the
tip	tip	tip
of	of	of
the	the	the
iceberg	iceberg	iceberg
.	.	.

The	the	The
real	real	real
crime	crime	crime
against	against	against
him	him	him
was	was	wa
that	that	that
he	he	he
had	had	had
contact	contact	contact
,	,	,
he	he	he
had	had	had
access	access	access
to	to	to
emails	email	email
of	of	of
every	everi	every
member	member	member
of	of	of
Congress	congress	Congress
and	and	and
he	he	he
sold	sold	sold
what	what	what
he	he	he
found	found	found
in	in	in
there	there	there
.	.	.

What	what	What
did	did	did
he	he	he
sell	sell	sell
and	and	and
to	to	to
whom	whom	whom
did	did	did
he	he	he
sell	sell	sell
it	it	it
.	.	.

That	that	That
s	s	s
what	what	what
the	the	the
FBI	fbi	FBI
wants	want	want
to	to	to
know	know	know
.	.	.

This	this	This
may	may	may
be	be	be
a	a	a
very	veri	very
,	,	,
very	veri	very
serious	serious	serious
national	nation	national
security	secur	security
investigation	investig	investigation
.	.	.

We	we	We
ve	ve	ve
been	been	been
reporting	report	reporting
this	this	this
scandal	scandal	scandal
for	for	for
months	month	month
but	but	but
it	it	it
s	s	s
just	just	just
now	now	now
heating	heat	heating
up	up	up
.	.	.

The	the	The
most	most	most
of	of	of
the	the	the
main	main	main
stream	stream	stream
media	media	medium
has	has	ha
been	been	been
silent	silent	silent
on	on	on
this	this	this
serious	serious	serious
national	nation	national
security	secur	security
breach	breach	breach
within	within	within
the	the	the
DNC	dnc	DNC
.	.	.

The	the	The
FBI	fbi	FBI
is	is	is
investigating	investig	investigating
who	who	who
was	was	wa
given	given	given
top	top	top
secret	secret	secret
information	inform	information
by	by	by
the	the	the
DNC	dnc	DNC
IT	it	IT
workers	worker	worker
who	who	who
had	had	had
email	email	email
access	access	access
to	to	to
everyone	everyon	everyone
in	in	in
Congress	congress	Congress
!	!	!
The	the	The
puzzling	puzzl	puzzling
part	part	part
of	of	of
this	this	this
entire	entir	entire
scandal	scandal	scandal
is	is	is
that	that	that
the	the	the
payment	payment	payment
was	was	wa
outrageous	outrag	outrageous
!	!	!

Over	over	Over
4	4	4
million	million	million
was	was	wa
given	given	given
to	to	to
this	this	this
family	famili	family
and	and	and
associates	associ	associate
!	!	!
THE	the	THE
DAILY	daili	DAILY
CALLER	caller	CALLER
REPORTED	report	REPORTED
ON	on	ON
THIS	this	THIS
BREACH	breach	BREACH
OF	of	OF
SECURITY	secur	SECURITY
WAY	way	WAY
BACK	back	BACK
IN	in	IN
FEBRUARY	februari	FEBRUARY
WHEN	when	WHEN
THE	the	THE
BROTHERS	brother	BROTHERS
WERE	were	WERE
FIRED	fire	FIRED
Three	three	Three
brothers	brother	brother
who	who	who
managed	manag	managed
office	offic	office
information	inform	information
technology	technolog	technology
for	for	for
members	member	member
of	of	of
the	the	the
House	hous	House
Permanent	perman	Permanent
Select	select	Select
Committee	committe	Committee
on	on	on
Intelligence	intellig	Intelligence
and	and	and
other	other	other
lawmakers	lawmak	lawmaker
were	were	were
abruptly	abrupt	abruptly
relieved	reliev	relieved
of	of	of
their	their	their
duties	duti	duty
on	on	on
suspicion	suspicion	suspicion
that	that	that
they	they	they
accessed	access	accessed
congressional	congression	congressional
computers	comput	computer
without	without	without
permission	permiss	permission
.	.	.
Brothers	brother	Brothers
Abid	abid	Abid
,	,	,
Imran	imran	Imran
,	,	,
and	and	and
Jamal	jamal	Jamal
Awan	awan	Awan
were	were	were
barred	bar	barred
from	from	from
computer	comput	computer
networks	network	network
at	at	at
the	the	the
House	hous	House
of	of	of
Representatives	repres	Representatives
Thursday	thursday	Thursday
,	,	,
The	the	The
Daily	daili	Daily
Caller	caller	Caller
News	news	News
Foundation	foundat	Foundation
