During	dure	During
a	a	a
sit	sit	sit
down	down	down
with	with	with
Trump	trump	Trump
voters	voter	voter
,	,	,
CNN	cnn	CNN
got	got	got
their	their	their
take	take	take
on	on	on
the	the	the
alleged	alleg	alleged
president	presid	president
s	s	s
first	first	first
100	100	100
days	day	day
.	.	.
With	with	With
polls	poll	poll
showing	show	showing
Trump	trump	Trump
as	as	a
the	the	the
most	most	most
unpopular	unpopular	unpopular
president	presid	president
in	in	in
history	histori	history
,	,	,
some	some	some
of	of	of
the	the	the
former	former	former
reality	realiti	reality
show	show	show
star	star	star
s	s	s
most	most	most
ardent	ardent	ardent
supporters	support	supporter
have	have	have
stood	stood	stood
by	by	by
him	him	him
but	but	but
others	other	others
are	are	are
fed	fed	fed
up	up	up
.	.	.
One	one	One
Trump	trump	Trump
supporter	support	supporter
has	has	ha
had	had	had
it	it	it
with	with	with
Trump	trump	Trump
s	s	s
broken	broken	broken
promises	promis	promise
,	,	,
such	such	such
as	as	a
the	the	the
vow	vow	vow
to	to	to
work	work	work
on	on	on
the	the	the
opioid	opioid	opioid
epidemic	epidem	epidemic
spreading	spread	spreading
across	across	across
America	america	America
.	.	.
Another	anoth	Another
Trump	trump	Trump
voter	voter	voter
,	,	,
Scott	scott	Scott
McCommons	mccommon	McCommons
,	,	,
said	said	said
that	that	that
he	he	he
was	was	wa
disappointed	disappoint	disappointed
with	with	with
Trump	trump	Trump
s	s	s
first	first	first
100	100	100
days	day	day
,	,	,
calling	call	calling
it	it	it
was	was	wa
a	a	a
disaster	disast	disaster
.	.	.
He	he	He
s	s	s
got	got	got
enough	enough	enough
time	time	time
to	to	to
get	get	get
on	on	on
Twitter	twitter	Twitter
,	,	,
and	and	and
rant	rant	rant
and	and	and
rave	rave	rave
,	,	,
and	and	and
on	on	on
top	top	top
of	of	of
that	that	that
lie	lie	lie
on	on	on
Twitter	twitter	Twitter
,	,	,
he	he	he
said	said	said
.	.	.
I	i	I
voted	vote	voted
for	for	for
the	the	the
man	man	man
to	to	to
make	make	make
America	america	America
great	great	great
again	again	again
,	,	,
and	and	and
I	i	I
m	m	m
willing	will	willing
to	to	to
give	give	give
him	him	him
a	a	a
chance	chanc	chance
,	,	,
but	but	but
he	he	he
s	s	s
not	not	not
doing	do	doing
what	what	what
I	i	I
thought	thought	thought
,	,	,
that	that	that
he	he	he
made	made	made
promises	promis	promise
at	at	at
rallies	ralli	rally
that	that	that
I	i	I
went	went	went
to	to	to
.	.	.
I	i	I
expected	expect	expected
him	him	him
to	to	to
work	work	work
a	a	a
little	littl	little
harder	harder	harder
on	on	on
health	health	health
care	care	care
,	,	,
he	he	he
continued	continu	continued
.	.	.
Be	be	Be
a	a	a
little	littl	little
more	more	more
reasonable	reason	reasonable
instead	instead	instead
of	of	of
threatening	threaten	threatening
people	peopl	people
.	.	.
That	that	That
s	s	s
unpresidential	unpresidenti	unpresidential
.	.	.
I	i	I
voted	vote	voted
to	to	to
send	send	send
him	him	him
to	to	to
Washington	washington	Washington
strictly	strict	strictly
because	becaus	because
I	i	I
thought	thought	thought
he	he	he
would	would	would
make	make	make
change	chang	change
,	,	,
nobody	nobodi	nobody
would	would	would
push	push	push
him	him	him
around	around	around
.	.	.
He	he	He
s	s	s
used	use	used
his	his	his
power	power	power
against	against	against
people	peopl	people
,	,	,
I	i	I
think	think	think
that	that	that
s	s	s
wrong	wrong	wrong
.	.	.
gt	gt	gt
s	s	s
been	been	been
a	a	a
disaster	disast	disaster
,	,	,
I	i	I
think	think	think
,	,	,
in	in	in
the	the	the
first	first	first
100	100	100
days	day	day
.	.	.
If	if	If
I	i	I
were	were	were
to	to	to
vote	vote	vote
tomorrow	tomorrow	tomorrow
,	,	,
I	i	I
would	would	would
not	not	not
vote	vote	vote
for	for	for
him	him	him
,	,	,
he	he	he
added	ad	added
.	.	.
Watch	watch	Watch
courtesy	courtesi	courtesy
of	of	of
CNN	cnn	CNN
As	as	As
the	the	the
CNN	cnn	CNN
host	host	host
pointed	point	pointed
out	out	out
,	,	,
Trump	trump	Trump
campaigned	campaign	campaigned
as	as	a
the	the	the
ultimate	ultim	ultimate
deal	deal	deal
maker	maker	maker
.	.	.
One	one	One
strong	strong	strong
supporter	support	supporter
of	of	of
Trump	trump	Trump
s	s	s
blamed	blame	blamed
House	hous	House
Speaker	speaker	Speaker
Paul	paul	Paul
Ryan	ryan	Ryan
for	for	for
that	that	that
.	.	.
McCommons	mccommon	McCommons
said	said	said
Trump	trump	Trump
isn	isn	isn
t	t	t
willing	will	willing
to	to	to
sit	sit	sit
down	down	down
at	at	at
the	the	the
table	tabl	table
and	and	and
negotiate	negoti	negotiate
.	.	.
If	if	If
only	onli	only
Trump	trump	Trump
supporters	support	supporter
were	were	were
warned	warn	warned
that	that	that
the	the	the
alleged	alleg	alleged
billionaire	billionair	billionaire
was	was	wa
a	a	a
con	con	con
man	man	man
.	.	.
Oh	oh	Oh
wait	wait	wait
,	,	,
they	they	they
were	were	were
.	.	.
And	and	And
now	now	now
,	,	,
here	here	here
we	we	we
are	are	are
having	have	having
to	to	to
deal	deal	deal
with	with	with
a	a	a
hot	hot	hot
mess	mess	mess
as	as	a
Donald	donald	Donald
Trump	trump	Trump
once	onc	once
again	again	again
targets	target	target
millions	million	million
of	of	of
Americans	american	Americans
health	health	health
care	care	care
while	while	while
still	still	still
insisting	insist	insisting
that	that	that
Mexico	mexico	Mexico
will	will	will
pay	pay	pay
for	for	for
his	his	his
vanity	vaniti	vanity
-wall	-wall	-wall
.	.	.
Image	imag	Image
via	via	via
screen	screen	screen
capture	captur	capture
