White	white	White
House	hous	House
deputy	deputi	deputy
press	press	press
secretary	secretari	secretary
Sarah	sarah	Sarah
Huckabee	huckabe	Huckabee
Sanders	sander	Sanders
made	made	made
more	more	more
sense	sens	sense
on	on	on
Saturday	saturday	Saturday
than	than	than
she	she	she
has	has	ha
in	in	in
her	her	her
numerous	numer	numerous
defenses	defens	defense
of	of	of
Donald	donald	Donald
Trump	trump	Trump
.	.	.

Anchor	anchor	Anchor
,	,	,
traffic	traffic	traffic
light	light	light
,	,	,
traffic	traffic	traffic
light	light	light
,	,	,
traffic	traffic	traffic
light	light	light
,	,	,
traffic	traffic	traffic
light	light	light
,	,	,
anchor	anchor	anchor
,	,	,
traffic	traffic	traffic
light	light	light
,	,	,
traffic	traffic	traffic
light	light	light
,	,	,
traffic	traffic	traffic
light	light	light
,	,	,
traffic	traffic	traffic
light	light	light
,	,	,
traffic	traffic	traffic
light	light	light
,	,	,
traffic	traffic	traffic
light	light	light
,	,	,
traffic	traffic	traffic
light	light	light
,	,	,
map	map	map
,	,	,
map	map	map
,	,	,
map	map	map
,	,	,
map	map	map
,	,	,
map	map	map
,	,	,
map	map	map
,	,	,
castle	castl	castle
,	,	,
map	map	map
,	,	,
map	map	map
,	,	,
castle	castl	castle
,	,	,
castle	castl	castle
,	,	,
castle	castl	castle
,	,	,
traffic	traffic	traffic
light	light	light
,	,	,
9	9	9
,	,	,
statue	statu	statue
,	,	,
airplane	airplan	airplane
,	,	,
shrine	shrine	shrine
,	,	,
house	hous	house
,	,	,
#,	#,	#,
traffic	traffic	traffic
light	light	light
,	,	,
lolaklkk	lolaklkk	lolaklkk
,	,	,
traffic	traffic	traffic
light	light	light
,	,	,
traffic	traffic	traffic
light	light	light
,	,	,
fountain	fountain	fountain
,	,	,
monorail	monorail	monorail
,	,	,
traffic	traffic	traffic
light	light	light
,	,	,
train	train	train
,	,	,
boat	boat	boat
,	,	,
train	train	train
,	,	,
she	she	she
wrote	wrote	wrote
perhaps	perhap	perhaps
the	the	the
most	most	most
coherent	coher	coherent
statement	statement	statement
the	the	the
Trump	trump	Trump
administration	administr	administration
has	has	ha
ever	ever	ever
released	releas	released
.	.	.
What	what	What
did	did	did
she	she	she
mean	mean	mean
by	by	by
this	this	this
?	?	?

Who	who	Who
the	the	the
hell	hell	hell
knows	know	know
but	but	but
Twitter	twitter	Twitter
loves	love	love
it	it	it
This	this	This
is	is	is
the	the	the
most	most	most
coherent	coher	coherent
statement	statement	statement
to	to	to
come	come	come
from	from	from
the	the	the
Trump	trump	Trump
administration	administr	administration
.	.	.

David	david	David
Blaustein	blaustein	Blaustein
@blaustein	@blaustein	@blaustein
June	june	June
10	10	10
,	,	,
2017IMO	2017imo	2017IMO
it	it	it
means	mean	mean
we	we	we
are	are	are
planning	plan	planning
to	to	to
sell	sell	sell
the	the	the
infrastructure	infrastructur	infrastructure
of	of	of
the	the	the
United	unit	United
States	state	States
to	to	to
Russia	russia	Russia
and	and	and
China	china	China
for	for	for
our	our	our
personal	person	personal
enrichment	enrich	enrichment
Dave	dave	Dave
@SandleDavid	@sandledavid	@SandleDavid
June	june	June
10	10	10
,	,	,
2017Somewhere	2017somewher	2017Somewhere
in	in	in
there	there	there
she	she	she
said	said	said
,	,	,
Trump	trump	Trump
is	is	is
a	a	a
liar	liar	liar
.	.	.

Schumi777	schumi777	Schumi777
@schumii777	@schumii777	@schumii777
June	june	June
10	10	10
,	,	,
2017Having	2017have	2017Having
trouble	troubl	trouble
translating	translat	translating
this	this	this
into	into	into
its	it	it
native	nativ	native
Russian	russian	Russian
Stephen	stephen	Stephen
Grant	grant	Grant
@stephencgrant	@stephencgr	@stephencgrant
June	june	June
10	10	10
,	,	,
2017Is	2017is	2017Is
lolaklkk	lolaklkk	lolaklkk
the	the	the
next	next	next
covfefe	covfef	covfefe
?	?	?

Lotus	lotus	Lotus
Prince	princ	Prince
@LotusPrince	@lotusprinc	@LotusPrince
June	june	June
10	10	10
,	,	,
2017pic	2017pic	2017pic
.	.	.
twitter	twitter	twitter
.	.	.
com	com	com
UDs6wOIkQo	uds6woikqo	UDs6wOIkQo
LucyFur	lucyfur	LucyFur
the	the	the
Cat	cat	Cat
@LucyFurTweets	@lucyfurtweet	@LucyFurTweets
June	june	June
10	10	10
,	,	,
2017Sarah	2017sarah	2017Sarah
Huckabee	huckabe	Huckabee
Sanders	sander	Sanders
just	just	just
leaked	leak	leaked
John	john	John
McCain	mccain	McCain
s	s	s
Comey	comey	Comey
testimony	testimoni	testimony
prep	prep	prep
notes	note	note
.	.	.

Produkt	produkt	Produkt
@ProduKtJRG	@produktjrg	@ProduKtJRG
June	june	June
10	10	10
,	,	,
2017I	2017i	2017I
just	just	just
love	love	love
how	how	how
professional	profession	professional
this	this	this
administration	administr	administration
is	is	is
,	,	,
bless	bless	bless
their	their	their
hearts	heart	heart
!	!	!

Gerriann	gerriann	Gerriann
C	c	C
Jackson	jackson	Jackson
@gerriannj	@gerriannj	@gerriannj
June	june	June
10	10	10
,	,	,
2017This	2017this	2017This
will	will	will
not	not	not
fit	fit	fit
on	on	on
a	a	a
t	t	t
-shirt	-shirt	-shirt
.	.	.

Susan	susan	Susan
Oliver	oliv	Oliver
@SeekingSusie	@seekingsusi	@SeekingSusie
June	june	June
10	10	10
,	,	,
2017It	2017it	2017It
s	s	s
refreshing	refresh	refreshing
to	to	to
see	see	see
this	this	this
kind	kind	kind
of	of	of
honesty	honesti	honesty
out	out	out
of	of	of
you	you	you
.	.	.

Tina	tina	Tina
O	o	O
Shea	shea	Shea
@stickymama	@stickymama	@stickymama
June	june	June
10	10	10
,	,	,
2017I	2017i	2017I
think	think	think
she	she	she
s	s	s
trying	tri	trying
to	to	to
tell	tell	tell
us	us	u
something	someth	something
pic.twitter.com/SbqMQodmPR	pic.twitter.com/sbqmqodmpr	pic.twitter.com/SbqMQodmPR
t	t	t
@taylqrgang	@taylqrgang	@taylqrgang
June	june	June
10	10	10
,	,	,
2017Meanwhile	2017meanwhil	2017Meanwhile
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?

?	?	?
?	?	?

?	?	?
?	?	?

?	?	?
?	?	?

?	?	?
?	?	?

?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?

?	?	?
?	?	?

?	?	?
?	?	?
?	?	?
?	?	?
?	?	?

?	?	?
?	?	?
?	?	?
?	?	?
?	?	?

?	?	?
?	?	?
?	?	?

?	?	?
?	?	?
?	?	?
?	?	?
?	?	?

Lena	lena	Lena
Arice	aric	Arice
Lucas	luca	Lucas
@LenaAriceLucas	@lenaariceluca	@LenaAriceLucas
June	june	June
10	10	10
,	,	,
2017And	2017and	2017And
then	then	then
this	this	this
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?

just	just	just
saying	say	saying
?	?	?

Martin	martin	Martin
Gilmour	gilmour	Gilmour
@Sports_care1st	@sports_care1st	@Sports_care1st
June	june	June
10	10	10
,	,	,
2017This	2017this	2017This
happens	happen	happens
when	when	when
I	i	I
drunk	drunk	drunk
tweet	tweet	tweet
too	too	too
California	california	California
Girl	girl	Girl
@FightingMad1	@fightingmad1	@FightingMad1
June	june	June
10	10	10
,	,	,
2017pic	2017pic	2017pic
.	.	.
twitter	twitter	twitter
.	.	.
com	com	com
mrnJEuKiEb	mrnjeukieb	mrnJEuKiEb
America	america	America
@Natali52475190	@natali52475190	@Natali52475190
June	june	June
10	10	10
,	,	,
2017Will	2017will	2017Will
we	we	we
ever	ever	ever
know	know	know
the	the	the
meaning	mean	meaning
of	of	of
this	this	this
tweet	tweet	tweet
?	?	?

Possibly	possibl	Possibly
not	not	not
it	it	it
appears	appear	appears
be	be	be
be	be	be
written	written	written
in	in	in
an	an	an
ancient	ancient	ancient
tongue	tongu	tongue
spoken	spoken	spoken
only	onli	only
by	by	by
the	the	the
people	peopl	people
of	of	of
the	the	the
lost	lost	lost
city	citi	city
of	of	of
Covefefe	covefef	Covefefe
.	.	.

But	but	But
we	we	we
can	can	can
safely	safe	safely
assume	assum	assume
that	that	that
she	she	she
was	was	wa
trying	tri	trying
to	to	to
tell	tell	tell
us	us	u
the	the	the
pee	pee	pee
pee	pee	pee
tapes	tape	tape
are	are	are
real	real	real
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
screengrab	screengrab	screengrab

