Months	month	Months
ago	ago	ago
,	,	,
former	former	former
First	first	First
Lady	ladi	Lady
Laura	laura	Laura
Bush	bush	Bush
shocked	shock	shocked
Americans	american	Americans
when	when	when
she	she	she
said	said	said
she	she	she
d	d	d
rather	rather	rather
vote	vote	vote
for	for	for
Democratic	democrat	Democratic
candidate	candid	candidate
Hillary	hillari	Hillary
Clinton	clinton	Clinton
than	than	than
a	a	a
Republican	republican	Republican
this	this	this
election	elect	election
.	.	.
For	for	For
the	the	the
most	most	most
part	part	part
,	,	,
former	former	former
presidential	presidenti	presidential
candidate	candid	candidate
Jeb	jeb	Jeb
Bush	bush	Bush
and	and	and
former	former	former
presidents	presid	president
George	georg	George
W	w	W
.	.	.
Bush	bush	Bush
and	and	and
George	georg	George
H	h	H
.	.	.
W	w	W
.	.	.
Bush	bush	Bush
have	have	have
opted	opt	opted
to	to	to
stay	stay	stay
out	out	out
of	of	of
this	this	this
election	elect	election
until	until	until
now	now	now
.	.	.
Word	word	Word
of	of	of
George	georg	George
H	h	H
.	.	.
W	w	W
.	.	.
Bush	bush	Bush
s	s	s
decision	decis	decision
to	to	to
snub	snub	snub
the	the	the
GOP	gop	GOP
by	by	by
not	not	not
voting	vote	voting
for	for	for
its	it	it
disastrous	disastr	disastrous
Republican	republican	Republican
nominee	nomine	nominee
just	just	just
recently	recent	recently
broke	broke	broke
,	,	,
and	and	and
it	it	it
s	s	s
a	a	a
super	super	super
provocative	provoc	provocative
move	move	move
because	becaus	because
not	not	not
only	onli	only
is	is	is
Bush	bush	Bush
refusing	refus	refusing
to	to	to
support	support	support
his	his	his
party	parti	party
,	,	,
but	but	but
he	he	he
is	is	is
voting	vote	voting
for	for	for
the	the	the
Democratic	democrat	Democratic
Party	parti	Party
instead	instead	instead
.	.	.
It	it	It
s	s	s
a	a	a
controversial	controversi	controversial
decision	decis	decision
,	,	,
but	but	but
obviously	obvious	obviously
Bush	bush	Bush
recognizes	recogn	recognizes
that	that	that
it	it	it
s	s	s
the	the	the
smartest	smartest	smartest
choice	choic	choice
for	for	for
the	the	the
future	futur	future
of	of	of
this	this	this
country	countri	country
.	.	.
The	the	The
Trump	trump	Trump
campaign	campaign	campaign
,	,	,
as	as	a
you	you	you
can	can	can
imagine	imagin	imagine
,	,	,
isn	isn	isn
t	t	t
taking	take	taking
this	this	this
lightly	light	lightly
.	.	.
In	in	In
an	an	an
interview	interview	interview
with	with	with
CNN	cnn	CNN
s	s	s
Erin	erin	Erin
Burnett	burnett	Burnett
,	,	,
Trump	trump	Trump
campaign	campaign	campaign
manager	manag	manager
Kellyanne	kellyann	Kellyanne
Conway	conway	Conway
reacted	react	reacted
to	to	to
the	the	the
elder	elder	elder
Bush	bush	Bush
s	s	s
voting	vote	voting
decision	decis	decision
and	and	and
couldn	couldn	couldn
t	t	t
have	have	have
demonstrated	demonstr	demonstrated
any	ani	any
better	better	better
how	how	how
immature	immatur	immature
and	and	and
bitter	bitter	bitter
the	the	the
campaign	campaign	campaign
was	was	wa
about	about	about
it	it	it
.	.	.
Conway	conway	Conway
said	said	said
that	that	that
although	although	although
she	she	she
respects	respect	respect
Bush	bush	Bush
s	s	s
choice	choic	choice
,	,	,
it	it	it
s	s	s
ironic	iron	ironic
that	that	that
he	he	he
s	s	s
voting	vote	voting
for	for	for
the	the	the
wife	wife	wife
of	of	of
the	the	the
man	man	man
who	who	who
knocked	knock	knocked
him	him	him
out	out	out
of	of	of
the	the	the
race	race	race
in	in	in
1992	1992	1992
.	.	.
Conway	conway	Conway
also	also	also
chalked	chalk	chalked
up	up	up
Bush	bush	Bush
s	s	s
decision	decis	decision
to	to	to
vote	vote	vote
for	for	for
Clinton	clinton	Clinton
to	to	to
his	his	his
emotions	emot	emotion
and	and	and
hurt	hurt	hurt
feelings	feel	feeling
over	over	over
his	his	his
son	son	son
s	s	s
loss	loss	loss
to	to	to
Trump	trump	Trump
in	in	in
the	the	the
primaries	primari	primary
.	.	.
She	she	She
said	said	said
This	this	This
was	was	wa
a	a	a
bruising	bruis	bruising
primary	primari	primary
,	,	,
and	and	and
Jeb	jeb	Jeb
Bush	bush	Bush
really	realli	really
failed	fail	failed
all	all	all
expectations	expect	expectation
I	i	I
know	know	know
there	there	there
are	are	are
a	a	a
lot	lot	lot
of	of	of
hurt	hurt	hurt
feelings	feel	feeling
there	there	there
.	.	.
You	you	You
can	can	can
watch	watch	watch
the	the	the
interview	interview	interview
below	below	below
Jeb	jeb	Jeb
Bush	bush	Bush
really	realli	really
failed	fail	failed
there	there	there
are	are	are
a	a	a
lot	lot	lot
of	of	of
hurt	hurt	hurt
feelings	feel	feeling
@KellyannePolls	@kellyannepol	@KellyannePolls
on	on	on
Bush	bush	Bush
41	41	41
voting	vote	voting
#Clinton	#clinton	#Clinton
https://t.co/iyhiLRgrPL	https://t.co/iyhilrgrpl	https://t.co/iyhiLRgrPL
OutFrontCNN	outfrontcnn	OutFrontCNN
@OutFrontCNN	@outfrontcnn	@OutFrontCNN
September	septemb	September
20	20	20
,	,	,
2016This	2016this	2016This
response	respons	response
from	from	from
the	the	the
Trump	trump	Trump
campaign	campaign	campaign
is	is	is
exactly	exact	exactly
what	what	what
we	we	we
d	d	d
expect	expect	expect
it	it	it
to	to	to
be	be	be
.	.	.
The	the	The
Bush	bush	Bush
family	famili	family
is	is	is
making	make	making
a	a	a
responsible	respons	responsible
,	,	,
informed	inform	informed
decision	decis	decision
during	dure	during
this	this	this
election	elect	election
,	,	,
and	and	and
that	that	that
is	is	is
way	way	way
too	too	too
much	much	much
for	for	for
Trump	trump	Trump
and	and	and
his	his	his
minions	minion	minion
to	to	to
wrap	wrap	wrap
their	their	their
feeble	feebl	feeble
minds	mind	mind
around	around	around
.	.	.
This	this	This
election	elect	election
is	is	is
no	no	no
joke	joke	joke
it	it	it
s	s	s
about	about	about
far	far	far
more	more	more
than	than	than
Republican	republican	Republican
and	and	and
Democrat	democrat	Democrat
parties	parti	party
.	.	.
It	it	It
s	s	s
about	about	about
saving	save	saving
the	the	the
country	countri	country
from	from	from
a	a	a
candidate	candid	candidate
that	that	that
will	will	will
destroy	destroy	destroy
it	it	it
and	and	and
the	the	the
Bush	bush	Bush
s	s	s
are	are	are
smart	smart	smart
enough	enough	enough
to	to	to
recognize	recogn	recognize
that	that	that
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Joe	joe	Joe
Mahoney	mahoney	Mahoney
Getty	getti	Getty
Images	imag	Images
