Larry	larri	Larry
Lindsey	lindsey	Lindsey
fought	fought	fought
hard	hard	hard
for	for	for
Trump	trump	Trump
in	in	in
Colorado	colorado	Colorado
during	dure	during
the	the	the
primaries	primari	primary
.	.	.
He	he	He
passed	pass	passed
away	away	away
hours	hour	hour
after	after	after
recording	record	recording
his	his	his
final	final	final
goodbye	goodby	goodbye
.	.	.
RIP	rip	RIP
patriot	patriot	patriot
.	.	.
President	presid	President
Trump	trump	Trump
,	,	,
Vice	vice	Vice
President	presid	President
Pence	penc	Pence
and	and	and
General	general	General
Mattis	matti	Mattis
,	,	,
I	i	I
would	would	would
like	like	like
to	to	to
say	say	say
that	that	that
the	the	the
greatest	greatest	greatest
honor	honor	honor
of	of	of
my	my	my
life	life	life
has	has	ha
been	been	been
to	to	to
wage	wage	wage
this	this	this
battle	battl	battle
with	with	with
you	you	you
.	.	.
I	i	I
have	have	have
been	been	been
prouder	prouder	prouder
of	of	of
being	be	being
a	a	a
Marine	marin	Marine
than	than	than
anything	anyth	anything
I	i	I
have	have	have
ever	ever	ever
done	done	done
in	in	in
my	my	my
life	life	life
.	.	.
Having	have	Having
a	a	a
hand	hand	hand
in	in	in
some	some	some
small	small	small
way	way	way
in	in	in
fighting	fight	fighting
for	for	for
my	my	my
country	countri	country
has	has	ha
meant	meant	meant
the	the	the
world	world	world
to	to	to
me	me	me
.	.	.
There	there	There
is	is	is
no	no	no
greater	greater	greater
honor	honor	honor
for	for	for
me	me	me
,	,	,
to	to	to
have	have	have
great	great	great
men	men	men
like	like	like
you	you	you
leading	lead	leading
this	this	this
country	countri	country
back	back	back
to	to	to
its	it	it
foundation	foundat	foundation
and	and	and
back	back	back
to	to	to
God	god	God
.	.	.
President	presid	President
Trump	trump	Trump
,	,	,
I	i	I
have	have	have
no	no	no
doubt	doubt	doubt
in	in	in
my	my	my
heart	heart	heart
and	and	and
in	in	in
my	my	my
mind	mind	mind
,	,	,
that	that	that
you	you	you
will	will	will
be	be	be
perhaps	perhap	perhaps
the	the	the
greatest	greatest	greatest
President	presid	President
in	in	in
the	the	the
history	histori	history
of	of	of
our	our	our
country	countri	country
.	.	.
Vice	vice	Vice
President	presid	President
Pence	penc	Pence
,	,	,
I	i	I
am	am	am
so	so	so
honored	honor	honored
to	to	to
call	call	call
you	you	you
my	my	my
Vice	vice	Vice
President	presid	President
.	.	.
You	you	You
are	are	are
an	an	an
incredibly	incred	incredibly
good	good	good
man	man	man
and	and	and
probably	probabl	probably
the	the	the
only	onli	only
Vice	vice	Vice
President	presid	President
in	in	in
probably	probabl	probably
150	150	150
years	year	year
to	to	to
have	have	have
any	ani	any
brains	brain	brain
,	,	,
and	and	and
I	i	I
appreciate	appreci	appreciate
that	that	that
from	from	from
you	you	you
.	.	.
The	the	The
candor	candor	candor
and	and	and
the	the	the
honesty	honesti	honesty
from	from	from
both	both	both
of	of	of
you	you	you
men	men	men
is	is	is
much	much	much
needed	need	needed
at	at	at
this	this	this
day	day	day
and	and	and
time	time	time
.	.	.
General	general	General
Mattis	matti	Mattis
,	,	,
sir	sir	sir
,	,	,
it	it	it
appears	appear	appears
that	that	that
I	i	I
am	am	am
now	now	now
out	out	out
of	of	of
ammunition	ammunit	ammunition
,	,	,
but	but	but
I	i	I
continue	continu	continue
to	to	to
fight	fight	fight
with	with	with
my	my	my
last	last	last
breath	breath	breath
.	.	.
I	i	I
do	do	do
not	not	not
fear	fear	fear
death	death	death
,	,	,
because	becaus	because
I	i	I
know	know	know
where	where	where
I	i	I
m	m	m
going	go	going
and	and	and
I	i	I
m	m	m
only	onli	only
going	go	going
home	home	home
for	for	for
a	a	a
rest	rest	rest
.	.	.
It	it	It
s	s	s
you	you	you
people	peopl	people
here	here	here
,	,	,
the	the	the
good	good	good
people	peopl	people
of	of	of
America	america	America
for	for	for
whom	whom	whom
I	i	I
cry	cri	cry
,	,	,
my	my	my
loved	love	loved
ones	one	one
and	and	and
my	my	my
friends	friend	friend
and	and	and
the	the	the
sacrifices	sacrific	sacrifice
they	they	they
must	must	must
continue	continu	continue
to	to	to
make	make	make
in	in	in
this	this	this
fight	fight	fight
to	to	to
restore	restor	restore
our	our	our
country	countri	country
.	.	.
Dying	die	Dying
is	is	is
the	the	the
easy	easi	easy
part	part	part
.	.	.
Dying	die	Dying
is	is	is
the	the	the
comforting	comfort	comforting
part	part	part
if	if	if
you	you	you
know	know	know
who	who	who
your	your	your
God	god	God
is	is	is
and	and	and
you	you	you
know	know	know
that	that	that
he	he	he
holds	hold	hold
your	your	your
hand	hand	hand
,	,	,
and	and	and
I	i	I
do	do	do
.	.	.
I	i	I
praise	prais	praise
God	god	God
for	for	for
a	a	a
wonderful	wonder	wonderful
life	life	life
,	,	,
so	so	so
many	mani	many
wonderful	wonder	wonderful
blessings	bless	blessing
that	that	that
I	i	I
have	have	have
known	known	known
and	and	and
so	so	so
many	mani	many
wonderfully	wonder	wonderfully
kind	kind	kind
and	and	and
loving	love	loving
people	peopl	people
in	in	in
this	this	this
country	countri	country
whom	whom	whom
I	i	I
have	have	have
met	met	met
during	dure	during
my	my	my
fight	fight	fight
for	for	for
this	this	this
country	countri	country
.	.	.
I	i	I
want	want	want
you	you	you
to	to	to
know	know	know
,	,	,
each	each	each
and	and	and
every	everi	every
one	one	one
of	of	of
you	you	you
that	that	that
we	we	we
have	have	have
taken	taken	taken
on	on	on
a	a	a
challenge	challeng	challenge
that	that	that
has	has	ha
only	onli	only
just	just	just
begun	begun	begun
.	.	.
The	the	The
real	real	real
battle	battl	battle
lies	lie	lie
ahead	ahead	ahead
.	.	.
And	and	And
General	general	General
Mattis	matti	Mattis
,	,	,
I	i	I
have	have	have
only	onli	only
one	one	one
request	request	request
sir	sir	sir
,	,	,
and	and	and
that	that	that
is	is	is
,	,	,
Give	give	Give
em	em	em
hell	hell	hell
.	.	.
Semper	semper	Semper
fi	fi	fi
.	.	.
God	god	God
bless	bless	bless
.	.	.
Larry	larri	Larry
Lindsey	lindsey	Lindsey
fought	fought	fought
hard	hard	hard
for	for	for
Trump	trump	Trump
in	in	in
Colorado	colorado	Colorado
during	dure	during
the	the	the
primaries	primari	primary
.	.	.
He	he	He
passed	pass	passed
away	away	away
hours	hour	hour
after	after	after
recording	record	recording
his	his	his
final	final	final
goodbye	goodby	goodbye
