Ben	ben	Ben
Shapiro	shapiro	Shapiro
makes	make	make
the	the	the
best	best	best
case	case	case
yet	yet	yet
for	for	for
why	whi	why
Americans	american	Americans
should	should	should
support	support	support
Kim	kim	Kim
Davis	davi	Davis
who	who	who
s	s	s
in	in	in
jail	jail	jail
for	for	for
refusing	refus	refusing
to	to	to
give	give	give
out	out	out
same	same	same
-sex	-sex	-sex
marriage	marriag	marriage
licenses	licens	license
Her	her	Her
arrest	arrest	arrest
represents	repres	represents
tyranny	tyranni	tyranny
not	not	not
because	becaus	because
there	there	there
is	is	is
no	no	no
legal	legal	legal
authority	author	authority
to	to	to
arrest	arrest	arrest
,	,	,
or	or	or
because	becaus	because
freedom	freedom	freedom
of	of	of
religion	religion	religion
trumps	trump	trump
rule	rule	rule
of	of	of
law	law	law
,	,	,
but	but	but
because	becaus	because
selective	select	selective
use	use	use
of	of	of
legal	legal	legal
authority	author	authority
is	is	is
tyranny	tyranni	tyranny
.	.	.

As	as	As
of	of	of
Friday	friday	Friday
morning	morn	morning
,	,	,
Kentucky	kentucki	Kentucky
county	counti	county
clerk	clerk	clerk
Kim	kim	Kim
Davis	davi	Davis
sits	sit	sits
in	in	in
jail	jail	jail
for	for	for
her	her	her
refusal	refus	refusal
to	to	to
hand	hand	hand
out	out	out
state	state	state
licenses	licens	license
for	for	for
same	same	same
-sex	-sex	-sex
marriages	marriag	marriage
.	.	.

She	she	She
cited	cite	cited
her	her	her
First	first	First
Amendment	amend	Amendment
religious	religi	religious
liberty	liberti	liberty
in	in	in
her	her	her
defense	defens	defense
.	.	.

She	she	She
was	was	wa
arrested	arrest	arrested
after	after	after
being	be	being
held	held	held
in	in	in
contempt	contempt	contempt
by	by	by
a	a	a
federal	feder	federal
judge	judg	judge
,	,	,
District	district	District
Judge	judg	Judge
David	david	David
L	l	L
.	.	.

Bunning	bun	Bunning
.	.	.
Her	her	Her
arrest	arrest	arrest
represents	repres	represents
tyranny	tyranni	tyranny
not	not	not
because	becaus	because
there	there	there
is	is	is
no	no	no
legal	legal	legal
authority	author	authority
to	to	to
arrest	arrest	arrest
,	,	,
or	or	or
because	becaus	because
freedom	freedom	freedom
of	of	of
religion	religion	religion
trumps	trump	trump
rule	rule	rule
of	of	of
law	law	law
,	,	,
but	but	but
because	becaus	because
selective	select	selective
use	use	use
of	of	of
legal	legal	legal
authority	author	authority
is	is	is
tyranny	tyranni	tyranny
.	.	.

And	and	And
Kim	kim	Kim
Davis	davi	Davis
is	is	is
right	right	right
to	to	to
risk	risk	risk
jail	jail	jail
in	in	in
defiance	defianc	defiance
of	of	of
federal	feder	federal
lawlessness	lawless	lawlessness
.	.	.

God	god	God
bless	bless	bless
her	her	her
for	for	for
that	that	that
bravery	braveri	bravery
.	.	.
There	there	There
are	are	are
three	three	three
issues	issu	issue
to	to	to
contemplate	contempl	contemplate
here	here	here
.	.	.

First	first	First
,	,	,
legally	legal	legally
,	,	,
does	doe	doe
the	the	the
government	govern	government
have	have	have
the	the	the
authority	author	authority
to	to	to
jail	jail	jail
Davis	davi	Davis
?	?	?

Second	second	Second
,	,	,
morally	moral	morally
,	,	,
does	doe	doe
the	the	the
government	govern	government
have	have	have
the	the	the
authority	author	authority
to	to	to
put	put	put
Davis	davi	Davis
in	in	in
jail	jail	jail
?	?	?

Third	third	Third
,	,	,
morally	moral	morally
,	,	,
should	should	should
Davis	davi	Davis
have	have	have
gone	gone	gone
to	to	to
jail	jail	jail
rather	rather	rather
than	than	than
quitting	quit	quitting
?	?	?
Legal	legal	Legal
Authority	author	Authority
.	.	.

The	the	The
government	govern	government
has	has	ha
the	the	the
legal	legal	legal
authority	author	authority
to	to	to
put	put	put
Davis	davi	Davis
in	in	in
jail	jail	jail
.	.	.

The	the	The
First	first	First
Amendment	amend	Amendment
does	doe	doe
not	not	not
protect	protect	protect
the	the	the
employment	employ	employment
of	of	of
people	peopl	people
who	who	who
violate	violat	violate
their	their	their
job	job	job
descriptions	descript	description
as	as	a
a	a	a
general	general	general
rule	rule	rule
;	;	;
when	when	when
it	it	it
comes	come	come
to	to	to
government	govern	government
jobs	job	job
,	,	,
the	the	the
First	first	First
Amendment	amend	Amendment
does	doe	doe
not	not	not
protect	protect	protect
your	your	your
ability	abil	ability
to	to	to
disobey	disobey	disobey
the	the	the
law	law	law
.	.	.

Of	of	Of
course	cours	course
,	,	,
the	the	the
government	govern	government
also	also	also
had	had	had
the	the	the
authority	author	authority
to	to	to
put	put	put
Martin	martin	Martin
Luther	luther	Luther
King	king	King
Jr	jr	Jr
.	.	.
in	in	in
jail	jail	jail
for	for	for
unlicensed	unlicens	unlicensed
protests	protest	protest
.	.	.

That	that	That
didn	didn	didn
t	t	t
make	make	make
the	the	the
jailing	jail	jailing
or	or	or
the	the	the
underlying	under	underlying
law	law	law
being	be	being
protested	protest	protested
morally	moral	morally
right	right	right
.	.	.
Moral	moral	Moral
Authority	author	Authority
.	.	.

The	the	The
government	govern	government
may	may	may
have	have	have
legal	legal	legal
authority	author	authority
to	to	to
jail	jail	jail
Davis	davi	Davis
,	,	,
but	but	but
it	it	it
has	has	ha
no	no	no
moral	moral	moral
authority	author	authority
.	.	.

This	this	This
government	govern	government
has	has	ha
become	becom	become
an	an	an
immoral	immor	immoral
force	forc	force
,	,	,
a	a	a
club	club	club
wielded	wield	wielded
against	against	against
people	peopl	people
of	of	of
certain	certain	certain
political	polit	political
and	and	and
religious	religi	religious
perspectives	perspect	perspective
.	.	.

Supreme	suprem	Supreme
Court	court	Court
