Representative	repres	Representative
Ron	ron	Ron
Simmons	simmon	Simmons
,	,	,
R	r	R
-Carrollton	-carrollton	-Carrollton
,	,	,
is	is	is
back	back	back
at	at	at
it	it	it
again	again	again
,	,	,
this	this	this
time	time	time
bringing	bring	bringing
with	with	with
him	him	him
TWO	two	TWO
anti	anti	anti
-LGBT	-lgbt	-LGBT
bathroom	bathroom	bathroom
bills	bill	bill
to	to	to
the	the	the
special	special	special
legislative	legisl	legislative
session	session	session
that	that	that
will	will	will
take	take	take
place	place	place
next	next	next
month	month	month
in	in	in
Texas	texa	Texas
.	.	.
In	in	In
the	the	the
regular	regular	regular
session	session	session
that	that	that
took	took	took
place	place	place
,	,	,
Simmons	simmon	Simmons
introduced	introduc	introduced
an	an	an
anti	anti	anti
-LGBT	-lgbt	-LGBT
measure	measur	measure
that	that	that
failed	fail	failed
.	.	.

Unfortunately	unfortun	Unfortunately
,	,	,
he	he	he
didn	didn	didn
t	t	t
learn	learn	learn
from	from	from
this	this	this
failure	failur	failure
as	as	a
he	he	he
said	said	said
one	one	one
of	of	of
the	the	the
bills	bill	bill
will	will	will
be	be	be
the	the	the
same	same	same
.	.	.
Yes	yes	Yes
,	,	,
you	you	you
read	read	read
that	that	that
right	right	right
.	.	.

One	one	One
of	of	of
the	the	the
bills	bill	bill
he	he	he
s	s	s
bringing	bring	bringing
to	to	to
the	the	the
table	tabl	table
is	is	is
going	go	going
to	to	to
be	be	be
the	the	the
same	same	same
thing	thing	thing
that	that	that
was	was	wa
already	alreadi	already
shot	shot	shot
down	down	down
once	onc	once
.	.	.
Speaking	speak	Speaking
to	to	to
the	the	the
Dallas	dalla	Dallas
Morning	morn	Morning
News	news	News
,	,	,
Simmons	simmon	Simmons
said	said	said
I	i	I
am	am	am
going	go	going
to	to	to
file	file	file
two	two	two
versions	version	version
.	.	.

One	one	One
that	that	that
just	just	just
does	doe	doe
schools	school	school
and	and	and
one	one	one
that	that	that
does	doe	doe
political	polit	political
subdivisions	subdivis	subdivision
.	.	.

He	he	He
added	ad	added
that	that	that
it	it	it
will	will	will
be	be	be
filed	file	filed
within	within	within
minutes	minut	minute
of	of	of
the	the	the
session	session	session
starting	start	starting
.	.	.
I	i	I
m	m	m
still	still	still
scratching	scratch	scratching
my	my	my
head	head	head
as	as	a
to	to	to
why	whi	why
