Tony	toni	Tony
Schwartz	schwartz	Schwartz
is	is	is
a	a	a
man	man	man
who	who	who
knows	know	know
Donald	donald	Donald
Trump	trump	Trump
well	well	well
.	.	.
He	he	He
spent	spent	spent
nearly	near	nearly
two	two	two
years	year	year
glued	glu	glued
to	to	to
Trump	trump	Trump
s	s	s
side	side	side
as	as	a
they	they	they
wrote	wrote	wrote
Trump	trump	Trump
s	s	s
famous	famous	famous
book	book	book
,	,	,
The	the	The
Art	art	Art
of	of	of
the	the	the
Deal	deal	Deal
.	.	.
During	dure	During
this	this	this
time	time	time
,	,	,
Schwartz	schwartz	Schwartz
learned	learn	learned
some	some	some
very	veri	very
disturbing	disturb	disturbing
things	thing	thing
about	about	about
Trump	trump	Trump
s	s	s
broken	broken	broken
personality	person	personality
,	,	,
and	and	and
for	for	for
this	this	this
reason	reason	reason
,	,	,
felt	felt	felt
deep	deep	deep
remorse	remors	remorse
for	for	for
helping	help	helping
to	to	to
make	make	make
Trump	trump	Trump
as	as	a
famous	famous	famous
as	as	a
he	he	he
is	is	is
.	.	.
During	dure	During
the	the	the
2016	2016	2016
presidential	presidenti	presidential
campaign	campaign	campaign
,	,	,
Schwartz	schwartz	Schwartz
tirelessly	tireless	tirelessly
warned	warn	warned
America	america	America
that	that	that
this	this	this
man	man	man
was	was	wa
dangerous	danger	dangerous
,	,	,
that	that	that
he	he	he
had	had	had
no	no	no
conscience	conscienc	conscience
,	,	,
that	that	that
he	he	he
had	had	had
no	no	no
soul	soul	soul
,	,	,
that	that	that
he	he	he
would	would	would
be	be	be
gravely	grave	gravely
dangerous	danger	dangerous
as	as	a
president	presid	president
.	.	.
Now	now	Now
that	that	that
a	a	a
Trump	trump	Trump
presidency	presid	presidency
has	has	ha
come	come	come
to	to	to
pass	pass	pas
,	,	,
and	and	and
the	the	the
Trump	trump	Trump
White	white	White
House	hous	House
is	is	is
mired	mire	mired
in	in	in
deep	deep	deep
scandal	scandal	scandal
,	,	,
Schwartz	schwartz	Schwartz
is	is	is
speaking	speak	speaking
out	out	out
again	again	again
,	,	,
to	to	to
warn	warn	warn
the	the	the
nation	nation	nation
and	and	and
world	world	world
about	about	about
Trump	trump	Trump
s	s	s
dangerous	danger	dangerous
mental	mental	mental
state	state	state
.	.	.
Schwartz	schwartz	Schwartz
has	has	ha
written	written	written
a	a	a
piece	piec	piece
in	in	in
the	the	the
Washington	washington	Washington
Post	post	Post
explaining	explain	explaining
Trump	trump	Trump
s	s	s
recent	recent	recent
behavior	behavior	behavior
,	,	,
who	who	who
the	the	the
man	man	man
is	is	is
,	,	,
his	his	his
current	current	current
state	state	state
of	of	of
mind	mind	mind
,	,	,
and	and	and
the	the	the
impulsive	impuls	impulsive
and	and	and
dangerous	danger	dangerous
actions	action	action
that	that	that
are	are	are
sure	sure	sure
to	to	to
come	come	come
.	.	.
On	on	On
Wednesday	wednesday	Wednesday
evening	even	evening
,	,	,
Schwartz	schwartz	Schwartz
appeared	appear	appeared
on	on	on
CNN	cnn	CNN
s	s	s
Anderson	anderson	Anderson
Cooper	cooper	Cooper
360	360	360
.	.	.
He	he	He
told	told	told
host	host	host
Anderson	anderson	Anderson
Cooper	cooper	Cooper
of	of	of
Trump	trump	Trump
s	s	s
likely	like	likely
mental	mental	mental
state	state	state
regarding	regard	regarding
the	the	the
series	seri	series
of	of	of
blows	blow	blow
and	and	and
events	event	event
relating	relat	relating
to	to	to
the	the	the
incompetence	incompet	incompetence
of	of	of
his	his	his
administration	administr	administration
,	,	,
and	and	and
especially	especi	especially
the	the	the
Trump	trump	Trump
Russia	russia	Russia
collusion	collus	collusion
investigation	investig	investigation
I	i	I
think	think	think
he	he	he
s	s	s
reacting	react	reacting
from	from	from
a	a	a
survival	surviv	survival
place	place	place
.	.	.
He	he	He
s	s	s
in	in	in
pure	pure	pure
defensive	defens	defensive
mode	mode	mode
.	.	.
I	i	I
think	think	think
that	that	that
he	he	he
s	s	s
being	be	being
run	run	run
by	by	by
the	the	the
part	part	part
of	of	of
his	his	his
brain	brain	brain
that	that	that
s	s	s
reactive	reactiv	reactive
and	and	and
impulsive	impuls	impulsive
,	,	,
not	not	not
capable	capabl	capable
of	of	of
reflection	reflect	reflection
.	.	.
The	the	The
sense	sens	sense
of	of	of
siege	sieg	siege
that	that	that
he	he	he
feels	feel	feel
because	becaus	because
his	his	his
sense	sens	sense
of	of	of
self	self	self
-worth	-worth	-worth
is	is	is
so	so	so
,	,	,
so	so	so
vulnerable	vulner	vulnerable
that	that	that
the	the	the
series	seri	series
of	of	of
things	thing	thing
that	that	that
have	have	have
happened	happen	happened
are	are	are
overwhelming	overwhelm	overwhelming
to	to	to
him	him	him
.	.	.
In	in	In
other	other	other
words	word	word
,	,	,
right	right	right
now	now	now
,	,	,
Trump	trump	Trump
is	is	is
like	like	like
a	a	a
caged	cage	caged
animal	anim	animal
who	who	who
is	is	is
feeling	feel	feeling
attacked	attack	attacked
,	,	,
and	and	and
he	he	he
is	is	is
not	not	not
thinking	think	thinking
clearly	clear	clearly
at	at	at
all	all	all
.	.	.
It	it	It
s	s	s
pure	pure	pure
impulse	impuls	impulse
and	and	and
reaction	reaction	reaction
.	.	.
Trump	trump	Trump
is	is	is
dangerously	danger	dangerously
impulsive	impuls	impulsive
on	on	on
a	a	a
good	good	good
day	day	day
.	.	.
There	there	There
s	s	s
no	no	no
telling	tell	telling
what	what	what
he	he	he
is	is	is
capable	capabl	capable
of	of	of
when	when	when
he	he	he
is	is	is
feeling	feel	feeling
this	this	this
attacked	attack	attacked
and	and	and
aggrieved	aggriev	aggrieved
.	.	.
These	these	These
are	are	are
dangerous	danger	dangerous
times	time	time
,	,	,
America	america	America
.	.	.
The	the	The
man	man	man
who	who	who
is	is	is
supposedly	suppos	supposedly
leading	lead	leading
us	us	u
is	is	is
desperate	desper	desperate
and	and	and
unhinged	unhing	unhinged
.	.	.
Hopefully	hope	Hopefully
,	,	,
someone	someon	someone
in	in	in
a	a	a
position	posit	position
to	to	to
do	do	do
something	someth	something
about	about	about
him	him	him
steps	step	step
up	up	up
,	,	,
for	for	for
the	the	the
good	good	good
of	of	of
the	the	the
nation	nation	nation
and	and	and
the	the	the
world	world	world
.	.	.
Watch	watch	Watch
Tony	toni	Tony
Schwartz	schwartz	Schwartz
s	s	s
remarks	remark	remark
below	below	below
Co	co	Co
-author	-author	-author
of	of	of
The	the	The
Art	art	Art
of	of	of
Deal	deal	Deal
on	on	on
Trump	trump	Trump
I	i	I
think	think	think
he	he	he
s	s	s
in	in	in
a	a	a
pretty	pretti	pretty
significant	signific	significant
meltdown	meltdown	meltdown
https://t.co/YZ32bCBsdM	https://t.co/yz32bcbsdm	https://t.co/YZ32bCBsdM
https://t.co/rpTGglpp5H	https://t.co/rptgglpp5h	https://t.co/rpTGglpp5H
Anderson	anderson	Anderson
Cooper	cooper	Cooper
360	360	360
@AC360	@ac360	@AC360
May	may	May
18	18	18
,	,	,
2017Featured	2017featur	2017Featured
image	imag	image
via	via	via
Win	win	Win
McNamee	mcname	McNamee
Getty	getti	Getty
Images	imag	Images
