Californians	californian	Californians
have	have	have
a	a	a
choice	choic	choice
ahead	ahead	ahead
of	of	of
them	them	them
.	.	.

In	in	In
November	novemb	November
,	,	,
citizens	citizen	citizen
of	of	of
the	the	the
Golden	golden	Golden
State	state	State
will	will	will
decide	decid	decide
whether	whether	whether
or	or	or
not	not	not
to	to	to
legalize	legal	legalize
marijuana	marijuana	marijuana
for	for	for
recreational	recreat	recreational
purposes	purpos	purpose
.	.	.

One	one	One
of	of	of
the	the	the
most	most	most
compelling	compel	compelling
arguments	argument	argument
proponents	propon	proponent
of	of	of
marijuana	marijuana	marijuana
legalization	legal	legalization
have	have	have
used	use	used
in	in	in
previous	previous	previous
efforts	effort	effort
to	to	to
legalize	legal	legalize
marijuana	marijuana	marijuana
in	in	in
other	other	other
states	state	state
,	,	,
is	is	is
that	that	that
it	it	it
will	will	will
bring	bring	bring
in	in	in
extra	extra	extra
money	money	money
for	for	for
the	the	the
state	state	state
s	s	s
budget	budget	budget
.	.	.
On	on	On
that	that	that
front	front	front
,	,	,
there	there	there
is	is	is
plenty	plenti	plenty
of	of	of
evidence	evid	evidence
to	to	to
support	support	support
that	that	that
argument	argument	argument
.	.	.

Oregon	oregon	Oregon
saw	saw	saw
a	a	a
jaw	jaw	jaw
-dropping	-drop	-dropping
amount	amount	amount
of	of	of
extra	extra	extra
revenue	revenu	revenue
after	after	after
they	they	they
legalized	legal	legalized
marijuana	marijuana	marijuana
.	.	.

Officials	offici	Officials
in	in	in
Oregon	oregon	Oregon
expected	expect	expected
to	to	to
bring	bring	bring
in	in	in
2	2	2
million	million	million
dollars	dollar	dollar
in	in	in
tax	tax	tax
revenue	revenu	revenue
after	after	after
their	their	their
first	first	first
year	year	year
of	of	of
legal	legal	legal
weed	weed	weed
.	.	.

They	they	They
nearly	near	nearly
doubled	doubl	doubled
their	their	their
expectation	expect	expectation
bringing	bring	bringing
in	in	in
an	an	an
astounding	astound	astounding
3	3	3
.	.	.
48	48	48
million	million	million
dollars	dollar	dollar
in	in	in
new	new	new
tax	tax	tax
revenue	revenu	revenue
.	.	.
So	so	So
how	how	how
much	much	much
is	is	is
California	california	California
expected	expect	expected
to	to	to
bring	bring	bring
in	in	in
should	should	should
they	they	they
choose	choos	choose
to	to	to
legalize	legal	legalize
recreational	recreat	recreational
marijuana	marijuana	marijuana
?	?	?

Reuters	reuter	Reuters
reports	report	report
that	that	that
California	california	California
could	could	could
take	take	take
in	in	in
an	an	an
additional	addit	additional
1	1	1
billion	billion	billion
dollars	dollar	dollar
a	a	a
year	year	year
With	with	With
a	a	a
population	popul	population
of	of	of
nearly	near	nearly
40	40	40
million	million	million
people	peopl	people
,	,	,
and	and	and
a	a	a
thriving	thrive	thriving
medical	medic	medical
marijuana	marijuana	marijuana
trade	trade	trade
legalized	legal	legalized
20	20	20
years	year	year
ago	ago	ago
,	,	,
California	california	California
already	alreadi	already
has	has	ha
the	the	the
United	unit	United
States	state	States
largest	largest	largest
legal	legal	legal
marijuana	marijuana	marijuana
market	market	market
.	.	.

Legalization	legal	Legalization
of	of	of
recreational	recreat	recreational
pot	pot	pot
would	would	would
generate	generat	generate
an	an	an
estimated	estim	estimated
1	1	1
billion	billion	billion
in	in	in
additional	addit	additional
taxes	tax	tax
per	per	per
year	year	year
.	.	.

Other	other	Other
states	state	state
that	that	that
have	have	have
legalized	legal	legalized
recreational	recreat	recreational
marijuana	marijuana	marijuana
have	have	have
received	receiv	received
similar	similar	similar
tax	tax	tax
windfalls	windfal	windfall
.	.	.

Colorado	colorado	Colorado
,	,	,
the	the	the
first	first	first
state	state	state
in	in	in
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
to	to	to
legalize	legal	legalize
marijuana	marijuana	marijuana
,	,	,
took	took	took
in	in	in
135	135	135
million	million	million
dollars	dollar	dollar
in	in	in
taxes	tax	tax
and	and	and
fees	fee	fee
in	in	in
2015	2015	2015
.	.	.

Colorado	colorado	Colorado
is	is	is
pumping	pump	pumping
most	most	most
of	of	of
their	their	their
new	new	new
tax	tax	tax
dollars	dollar	dollar
into	into	into
schools	school	school
and	and	and
other	other	other
education	educ	education
initiatives	initi	initiative
.	.	.
The	the	The
state	state	state
of	of	of
Washington	washington	Washington
raised	rais	raised
67	67	67
.	.	.
5	5	5
million	million	million
dollars	dollar	dollar
in	in	in
tax	tax	tax
revenue	revenu	revenue
from	from	from
recreational	recreat	recreational
marijuana	marijuana	marijuana
in	in	in
2015	2015	2015
.	.	.

They	they	They
are	are	are
expected	expect	expected
to	to	to
raise	rais	raise
more	more	more
than	than	than
1	1	1
billion	billion	billion
dollars	dollar	dollar
over	over	over
four	four	four
years	year	year
.	.	.

This	this	This
money	money	money
goes	goe	go
into	into	into
Washington	washington	Washington
s	s	s
general	general	general
fund	fund	fund
and	and	and
to	to	to
help	help	help
fund	fund	fund
health	health	health
services	servic	service
.	.	.
Legalizing	legal	Legalizing
marijuana	marijuana	marijuana
would	would	would
also	also	also
save	save	save
California	california	California
a	a	a
lot	lot	lot
of	of	of
money	money	money
due	due	due
to	to	to
no	no	no
longer	longer	longer
having	have	having
to	to	to
pay	pay	pay
the	the	the
enormous	enorm	enormous
cost	cost	cost
of	of	of
enforcing	enforc	enforcing
current	current	current
marijuana	marijuana	marijuana
laws	law	law
.	.	.

In	in	In
2012	2012	2012
,	,	,
over	over	over
21	21	21
,	,	,
000	000	000
people	peopl	people
were	were	were
arrested	arrest	arrested
for	for	for
crimes	crime	crime
related	relat	related
to	to	to
marijuana	marijuana	marijuana
criminalization	crimin	criminalization
.	.	.

The	the	The
number	number	number
of	of	of
overall	overal	overall
arrests	arrest	arrest
especially	especi	especially
felony	feloni	felony
arrests	arrest	arrest
has	has	ha
plummeted	plummet	plummeted
over	over	over
the	the	the
years	year	year
after	after	after
changes	chang	change
were	were	were
made	made	made
to	to	to
the	the	the
California	california	California
s	s	s
marijuana	marijuana	marijuana
laws	law	law
.	.	.

However	howev	However
,	,	,
the	the	the
cost	cost	cost
both	both	both
budgetary	budgetari	budgetary
and	and	and
human	human	human
of	of	of
marijuana	marijuana	marijuana
criminalization	crimin	criminalization
is	is	is
still	still	still
a	a	a
huge	huge	huge
financial	financi	financial
burden	burden	burden
for	for	for
the	the	the
citizens	citizen	citizen
of	of	of
California	california	California
to	to	to
bear	bear	bear
.	.	.
It	it	It
s	s	s
time	time	time
for	for	for
California	california	California
,	,	,
as	as	a
well	well	well
as	as	a
the	the	the
rest	rest	rest
of	of	of
the	the	the
nation	nation	nation
for	for	for
that	that	that
matter	matter	matter
,	,	,
to	to	to
end	end	end
marijuana	marijuana	marijuana
prohibition	prohibit	prohibition
once	onc	once
and	and	and
for	for	for
all	all	all
.	.	.

We	we	We
cannot	cannot	cannot
afford	afford	afford
not	not	not
to	to	to
.	.	.
Featured	featur	Featured
image	imag	image
from	from	from
David	david	David
McNew	mcnew	McNew
Getty	getti	Getty
Images	imag	Images

